"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",4206020,0
"2023-05-14 00:00:00",4206020,12775
"2023-05-13 00:00:00",4193245,6612
"2023-05-12 00:00:00",4186633,6348
"2023-05-11 00:00:00",4180285,0
"2023-05-10 00:00:00",4180285,6505
"2023-05-09 00:00:00",4173780,9209
"2023-05-08 00:00:00",4164571,9209
"2023-05-07 00:00:00",4155362,6949
"2023-05-06 00:00:00",4148413,7002
"2023-05-05 00:00:00",4141411,0
"2023-05-04 00:00:00",4141411,13795
"2023-05-03 00:00:00",4127616,6671
"2023-05-02 00:00:00",4120945,5937
"2023-05-01 00:00:00",4115008,6953
"2023-04-30 00:00:00",4108055,6953
"2023-04-29 00:00:00",4101102,7087
"2023-04-28 00:00:00",4094015,7052
"2023-04-27 00:00:00",4086963,7079
"2023-04-26 00:00:00",4079884,6947
"2023-04-25 00:00:00",4072937,5964
"2023-04-24 00:00:00",4066973,6688
"2023-04-23 00:00:00",4060285,7365
"2023-04-22 00:00:00",4052920,7649
"2023-04-21 00:00:00",4045271,7435
"2023-04-20 00:00:00",4037836,7270
"2023-04-19 00:00:00",4030566,6736
"2023-04-18 00:00:00",4023831,6736
"2023-04-17 00:00:00",4017095,7133
"2023-04-16 00:00:00",4009962,0
"2023-04-15 00:00:00",4009962,15217
"2023-04-14 00:00:00",3994745,7282
"2023-04-13 00:00:00",3987463,7538
"2023-04-12 00:00:00",3979925,7086
"2023-04-11 00:00:00",3972839,6239
"2023-04-10 00:00:00",3966600,6998
"2023-04-09 00:00:00",3959602,0
"2023-04-08 00:00:00",3959602,15693
"2023-04-07 00:00:00",3943909,7816
"2023-04-06 00:00:00",3936093,7692
"2023-04-05 00:00:00",3928401,0
"2023-04-04 00:00:00",3928401,14476
"2023-04-03 00:00:00",3913925,7524
"2023-04-02 00:00:00",3906401,8232
"2023-04-01 00:00:00",3898169,0
"2023-03-31 00:00:00",3898169,8083
"2023-03-30 00:00:00",3890086,16211
"2023-03-29 00:00:00",3873875,7870
"2023-03-28 00:00:00",3866005,6897
"2023-03-27 00:00:00",3859108,0
"2023-03-26 00:00:00",3859108,16431
"2023-03-25 00:00:00",3842677,8119
"2023-03-24 00:00:00",3834558,8181
"2023-03-23 00:00:00",3826377,7874
"2023-03-22 00:00:00",3818503,7869
"2023-03-21 00:00:00",3810634,7014
"2023-03-20 00:00:00",3803620,7414
"2023-03-19 00:00:00",3796206,0
