Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 22, 2022","16,267","43,572,372",20,"30,275,352"
"Nov 24, 2022","16,430","40,389,938",20,"30,302,886"
"Nov 25, 2022","16,554","41,027,728",20,"30,313,786"
"Nov 26, 2022","16,613","41,432,456",20,"30,320,979"
"Nov 27, 2022","16,719","41,418,285",20,"30,327,848"
"Nov 28, 2022","16,896","41,444,737",20,"30,335,350"
"Nov 29, 2022","17,000","41,478,202",20,"30,342,234"
"Nov 30, 2022","17,128","41,888,182",20,"30,349,199"
"Dec 01, 2022","17,215","41,901,926",21,"30,361,617"
"Dec 02, 2022","17,309","41,802,311",21,"30,369,810"
"Dec 03, 2022","17,164","41,789,266",21,"30,375,644"
"Dec 04, 2022","17,162","41,507,008",21,"30,382,483"
"Dec 05, 2022","16,990","41,365,574",14,"3,996,570"
"Dec 06, 2022","17,026","41,399,482",21,"30,392,835"
"Dec 07, 2022","16,882","40,720,421",21,"30,400,941"
"Dec 08, 2022","16,877","40,487,302",21,"30,408,692"
"Dec 09, 2022","16,797","40,453,114",21,"30,408,692"
"Dec 10, 2022","16,886","40,391,188",20,"30,012,467"
"Dec 11, 2022","17,001","40,401,045",20,"30,018,962"
"Dec 12, 2022","17,184","40,497,120",20,"30,024,209"
"Dec 13, 2022","17,315","40,401,817",20,"30,029,714"
"Dec 14, 2022","17,477","40,467,521",20,"30,035,604"
"Dec 15, 2022","17,524","40,429,987",20,"30,042,309"
"Dec 16, 2022","17,667","40,080,640",20,"29,646,002"
"Dec 17, 2022","17,701","39,551,316",20,"29,651,041"
"Dec 18, 2022","17,811","39,519,170",20,"29,657,318"
"Dec 19, 2022","17,946","39,654,382",20,"29,664,273"
"Dec 20, 2022","17,957","39,638,836",20,"29,671,086"
"Dec 21, 2022","17,987","37,659,829",20,"29,677,600"
"Dec 22, 2022","18,030","37,609,940",20,"29,683,721"
"Dec 23, 2022","18,041","37,581,384",20,"29,690,765"
"Dec 24, 2022","17,790","37,398,679",20,"29,695,947"
"Dec 25, 2022","17,530","37,350,525",20,"29,702,073"
"Dec 26, 2022","17,374","37,367,994",20,"29,711,989"
"Dec 27, 2022","17,186","37,358,654",20,"29,720,030"
"Dec 28, 2022","17,055","37,588,158",21,"29,741,975"
"Dec 29, 2022","16,841","37,483,687",21,"29,748,703"
"Dec 30, 2022","16,695","37,601,406",22,"29,758,806"
"Dec 31, 2022","16,545","37,610,725",22,"29,765,359"
"Jan 01, 2023","16,299","37,534,941",22,"29,776,419"
"Jan 02, 2023","16,329","37,438,086",22,"29,783,373"
"Jan 03, 2023","16,111","37,561,025",22,"29,788,993"
"Jan 04, 2023","15,823","37,372,339",22,"29,795,922"
"Jan 05, 2023","15,498","37,054,269",22,"29,802,425"
"Jan 06, 2023","15,300","37,001,771",22,"29,808,720"
"Jan 07, 2023","15,292","37,006,473",22,"29,814,633"
"Jan 08, 2023","15,298","37,016,956",22,"29,821,338"
"Jan 09, 2023","15,291","37,024,642",22,"29,828,437"
"Jan 10, 2023","15,495","37,338,803",22,"29,836,891"
"Jan 11, 2023","15,793","37,716,493",22,"29,844,029"
"Jan 12, 2023","15,914","37,785,104",22,"29,850,972"
"Jan 13, 2023","16,047","38,013,254",22,"29,857,708"
"Jan 14, 2023","16,105","37,840,689",22,"29,862,912"
"Jan 15, 2023","16,207","37,969,420",22,"29,869,135"
"Jan 16, 2023","23,865","38,137,834",23,"29,873,308"
"Jan 17, 2023","23,912","38,142,844",23,"29,879,045"
"Jan 18, 2023","23,960","38,228,267",23,"29,884,794"
"Jan 19, 2023","24,002","38,236,624",23,"29,890,869"
