"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",9887266,18312
"2023-05-14 00:00:00",9868954,0
"2023-05-13 00:00:00",9868954,30842
"2023-05-12 00:00:00",9838112,30842
"2023-05-11 00:00:00",9807270,0
"2023-05-10 00:00:00",9807270,40296
"2023-05-09 00:00:00",9766974,17459
"2023-05-08 00:00:00",9749515,19528
"2023-05-07 00:00:00",9729987,21094
"2023-05-06 00:00:00",9708893,21367
"2023-05-05 00:00:00",9687526,0
"2023-05-04 00:00:00",9687526,42503
"2023-05-03 00:00:00",9645023,20630
"2023-05-02 00:00:00",9624393,19122
"2023-05-01 00:00:00",9605271,19122
"2023-04-30 00:00:00",9586149,22750
"2023-04-29 00:00:00",9563399,22821
"2023-04-28 00:00:00",9540578,23411
"2023-04-27 00:00:00",9517167,22438
"2023-04-26 00:00:00",9494729,21501
"2023-04-25 00:00:00",9473228,19117
"2023-04-24 00:00:00",9454112,19117
"2023-04-23 00:00:00",9434995,21767
"2023-04-22 00:00:00",9413228,21773
"2023-04-21 00:00:00",9391455,21283
"2023-04-20 00:00:00",9370172,21842
"2023-04-19 00:00:00",9348330,21339
"2023-04-18 00:00:00",9326991,0
"2023-04-17 00:00:00",9326991,38955
"2023-04-16 00:00:00",9288036,0
"2023-04-15 00:00:00",9288036,22472
"2023-04-14 00:00:00",9265564,43503
"2023-04-13 00:00:00",9222061,21348
"2023-04-12 00:00:00",9200713,19450
"2023-04-11 00:00:00",9181263,16761
"2023-04-10 00:00:00",9164502,0
"2023-04-09 00:00:00",9164502,18960
"2023-04-08 00:00:00",9145542,20347
"2023-04-07 00:00:00",9125195,43741
"2023-04-06 00:00:00",9081454,21560
"2023-04-05 00:00:00",9059894,20829
"2023-04-04 00:00:00",9039065,18458
"2023-04-03 00:00:00",9020607,20207
"2023-04-02 00:00:00",9000400,22342
"2023-04-01 00:00:00",8978058,22498
"2023-03-31 00:00:00",8955560,21582
"2023-03-30 00:00:00",8933978,21671
"2023-03-29 00:00:00",8912307,21535
"2023-03-28 00:00:00",8890772,18335
"2023-03-27 00:00:00",8872437,20380
"2023-03-26 00:00:00",8852057,0
"2023-03-25 00:00:00",8852057,44030
"2023-03-24 00:00:00",8808027,22296
"2023-03-23 00:00:00",8785731,22302
"2023-03-22 00:00:00",8763429,21748
"2023-03-21 00:00:00",8741681,0
"2023-03-20 00:00:00",8741681,39272
"2023-03-19 00:00:00",8702409,21486
"2023-03-18 00:00:00",8680923,21765
"2023-03-17 00:00:00",8659158,0
"2023-03-16 00:00:00",8659158,21449
"2023-03-15 00:00:00",8637709,42766
"2023-03-14 00:00:00",8594943,0
"2023-03-13 00:00:00",8594943,40229
"2023-03-12 00:00:00",8554714,22871
"2023-03-11 00:00:00",8531843,23098
"2023-03-10 00:00:00",8508745,22759
