Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",85,"13,665",,
"Oct 15, 2022","4,722","679,130",,
"Oct 16, 2022","5,146","700,473",1,360
"Oct 17, 2022","5,472","711,442",1,360
"Oct 18, 2022","5,718","722,100",1,360
"Oct 19, 2022","5,877","695,920",1,360
"Oct 20, 2022","6,036","749,255",1,360
"Oct 21, 2022","6,157","753,171",1,360
"Oct 22, 2022","6,251","755,294",1,360
"Oct 23, 2022","6,308","698,253",1,360
"Oct 24, 2022","6,386","683,767",1,360
"Oct 25, 2022","6,458","691,337",1,360
"Oct 26, 2022","6,513","694,426",1,360
"Oct 27, 2022","6,568","697,792",1,360
"Oct 28, 2022","6,610","704,142",1,360
"Oct 29, 2022","6,638","702,045",1,360
"Oct 30, 2022","6,667","703,089",1,360
"Oct 31, 2022","6,691","704,175",1,360
"Nov 01, 2022","6,712","704,719",1,360
"Nov 02, 2022","6,725","705,073",1,360
"Nov 03, 2022","6,751","709,523",1,360
"Nov 04, 2022","6,783","711,051",1,360
"Nov 05, 2022","6,799","712,267",1,360
"Nov 06, 2022","6,818","715,307",1,360
"Nov 07, 2022","6,835","713,865",1,360
"Nov 08, 2022","6,842","714,263",1,360
"Nov 09, 2022","6,853","716,219",1,360
"Nov 10, 2022","6,862","747,454",1,360
"Nov 11, 2022","6,867","748,753",1,360
"Nov 12, 2022","6,869","749,397",1,360
"Nov 13, 2022","6,869","749,673",1,360
"Nov 14, 2022","6,874","757,650",1,360
"Nov 15, 2022","6,869","757,568",1,360
"Nov 16, 2022","6,868","758,526",1,360
"Nov 17, 2022","6,855","758,581",1,360
"Nov 18, 2022","6,726","755,375",1,359
"Nov 19, 2022","6,737","757,399",1,359
"Nov 20, 2022","6,752","761,176",1,359
"Nov 21, 2022","6,792","759,554",1,359
"Nov 22, 2022","6,815","761,102",1,359
"Nov 23, 2022","6,818","762,310",2,"1,393"
"Nov 24, 2022","6,834","763,160",2,"1,398"
"Nov 25, 2022","6,853","763,156",2,"1,403"
"Nov 26, 2022","6,856","763,495",2,"1,403"
"Nov 27, 2022","6,880","764,401",2,"1,406"
"Nov 28, 2022","6,903","764,190",2,"1,409"
"Nov 29, 2022","6,929","764,977",2,"1,412"
"Nov 30, 2022","6,943","765,854",2,"1,413"
"Dec 01, 2022","6,946","764,291",2,"1,413"
"Dec 02, 2022","6,952","765,789",2,"1,418"
"Dec 03, 2022","6,868","763,012",2,"1,418"
"Dec 04, 2022","6,832","745,754",2,"1,420"
"Dec 05, 2022","6,732","725,793",2,"1,421"
"Dec 06, 2022","6,719","763,382",2,"1,421"
"Dec 07, 2022","6,633","759,969",2,"1,423"
"Dec 08, 2022","6,602","754,446",2,"1,425"
"Dec 09, 2022","6,564","716,535",2,"1,425"
"Dec 10, 2022","6,589","801,612",2,"1,429"
"Dec 11, 2022","6,602","754,836",2,"1,429"
"Dec 12, 2022","6,669","786,417",2,"1,431"
"Dec 13, 2022","6,693","775,155",2,"1,433"
"Dec 14, 2022","6,737","763,688",2,"1,432"
"Dec 15, 2022","6,730","756,217",2,"1,435"
"Dec 16, 2022","6,783","775,994",2,"1,435"
"Dec 17, 2022","6,766","723,972",2,"1,435"
"Dec 18, 2022","6,802","754,749",2,"1,435"
"Dec 19, 2022","6,846","752,036",2,"1,441"
"Dec 20, 2022","6,854","738,418",2,"1,444"
"Dec 21, 2022","6,874","768,520",2,"1,444"
"Dec 22, 2022","6,879","788,225",2,"1,446"
"Dec 23, 2022","6,872","766,908",2,"1,449"
"Dec 24, 2022","6,746","724,157",2,"1,449"
"Dec 25, 2022","6,619","737,212",2,"1,451"
"Dec 26, 2022","6,519","740,264",2,"1,459"
"Dec 27, 2022","6,406","750,013",2,"1,460"
"Dec 28, 2022","6,308","770,335",2,"1,462"
"Dec 29, 2022","6,188","739,312",2,"1,464"
"Dec 30, 2022","6,107","759,927",2,"1,463"
"Dec 31, 2022","6,025","782,309",2,"1,463"
"Jan 01, 2023","5,910","728,151",2,"1,465"
"Jan 02, 2023","5,916","770,670",2,"1,466"
"Jan 03, 2023","5,816","742,594",2,"1,469"
"Jan 04, 2023","5,706","653,632",2,"1,468"
"Jan 05, 2023","5,569","635,707",2,"1,468"
"Jan 06, 2023","5,457","598,310",2,"1,471"
"Jan 07, 2023","5,448","597,959",2,"1,471"
"Jan 08, 2023","5,451","598,048",2,"1,471"
"Jan 09, 2023","5,449","597,985",2,"1,474"
"Jan 10, 2023","5,524","701,601",2,"1,474"
"Jan 11, 2023","5,613","792,792",2,"1,482"
"Jan 12, 2023","5,659","798,621",2,"1,483"
"Jan 13, 2023","5,686","802,353",2,"1,484"
"Jan 14, 2023","5,712","805,472",2,"1,484"
"Jan 15, 2023","5,745","808,109",2,"1,487"
"Jan 16, 2023","8,484","846,766",2,"1,492"
"Jan 17, 2023","8,487","859,660",2,"1,492"
"Jan 18, 2023","8,496","860,153",2,"1,494"
"Jan 19, 2023","8,498","860,378",2,"1,493"
"Jan 20, 2023","8,501","861,499",2,"1,493"
"Jan 21, 2023","8,503","861,777",2,"1,495"
"Jan 22, 2023","8,504","862,237",2,"1,495"
"Jan 23, 2023","8,504","862,489",2,"1,496"
"Jan 24, 2023","8,509","863,201",2,"1,496"
"Jan 25, 2023","8,511","863,616",2,"1,497"
"Jan 26, 2023","8,512","863,891",2,"1,497"
"Jan 27, 2023","8,512","864,305",2,"1,497"
"Jan 28, 2023","8,516","864,711",2,"1,496"
"Jan 29, 2023","8,513","864,797",2,"1,497"
"Jan 30, 2023","8,512","864,990",2,"1,501"
"Jan 31, 2023","8,518","865,347",2,"1,501"
"Feb 01, 2023","8,517","867,464",2,"1,502"
"Feb 02, 2023","8,518","867,660",2,"1,502"
"Feb 03, 2023","8,523","867,906",2,"1,504"
"Feb 04, 2023","8,523","868,937",2,"1,507"
"Feb 05, 2023","8,526","869,442",2,"1,508"
"Feb 06, 2023","8,521","869,834",2,"1,509"
"Feb 07, 2023","8,522","870,231",2,"1,508"
"Feb 08, 2023","8,527","870,745",2,"1,512"
"Feb 09, 2023","8,532","871,497",2,"1,511"
"Feb 10, 2023","8,536","872,292",2,"1,514"
"Feb 11, 2023","8,538","872,930",2,"1,515"
"Feb 12, 2023","8,534","873,380",2,"1,518"
"Feb 13, 2023","8,534","873,789",2,"1,520"
"Feb 14, 2023","8,536","874,432",2,"1,521"
"Feb 15, 2023","8,532","874,732",2,"1,521"
"Feb 16, 2023","8,530","875,092",2,"1,522"
"Feb 17, 2023","8,529","875,636",2,"1,524"
"Feb 18, 2023","8,536","876,027",2,"1,523"
"Feb 19, 2023","8,532","876,291",2,"1,524"
"Feb 20, 2023","8,526","876,636",2,"1,526"
"Feb 21, 2023","8,523","876,760",2,"1,525"
"Feb 22, 2023","8,517","877,032",2,"1,525"
"Feb 23, 2023","8,515","876,581",2,"1,529"
"Feb 24, 2023","8,514","876,766",2,"1,529"
"Feb 25, 2023","8,512","877,009",2,"1,531"
"Feb 26, 2023","8,509","877,371",2,"1,531"
"Feb 27, 2023","8,506","877,531",2,"1,528"
"Mar 01, 2023","8,492","877,743",2,"1,529"
"Mar 02, 2023","8,505","878,186",2,"1,530"
"Mar 03, 2023","8,522","878,520",2,"1,533"
"Mar 04, 2023","8,535","878,370",2,"1,536"
"Mar 05, 2023","8,542","878,698",2,"1,544"
"Mar 06, 2023","8,556","879,554",2,"1,546"
"Mar 07, 2023","8,573","880,519",2,"1,548"
"Mar 08, 2023","8,586","875,196",2,"1,550"
"Mar 09, 2023","8,587","875,453",2,"1,552"
"Mar 10, 2023","8,593","874,066",2,"1,552"
"Mar 11, 2023","8,606","876,470",2,"1,554"
"Mar 12, 2023","8,609","876,652",2,"1,553"
"Mar 13, 2023","8,621","876,825",2,"1,558"
"Mar 14, 2023","8,634","876,762",2,"1,563"
"Mar 15, 2023","8,644","877,030",2,"1,563"
"Mar 16, 2023","8,653","877,279",2,"1,566"
"Mar 17, 2023","8,656","877,731",2,"1,566"
"Mar 18, 2023","8,660","877,920",2,"1,566"
"Mar 19, 2023","8,668","877,067",2,"1,568"
"Mar 20, 2023","8,668","876,330",2,"1,570"
"Mar 21, 2023","8,671","876,470",2,"1,571"
"Mar 22, 2023","8,676","877,754",2,"1,572"
"Mar 23, 2023","8,678","878,206",2,"1,575"
"Mar 24, 2023","8,685","878,654",2,"1,576"
"Mar 25, 2023","8,691","879,033",2,"1,576"
"Mar 26, 2023","8,694","878,086",2,"1,576"
"Mar 27, 2023","8,707","879,049",2,"1,577"
"Mar 28, 2023","8,712","879,177",2,"1,577"
"Mar 29, 2023","8,718","880,400",2,"1,577"
"Mar 30, 2023","8,730","880,733",2,"1,579"
