Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",61,"11,292",,
"Oct 15, 2022","4,382","721,148",,
"Oct 16, 2022","4,798","768,161",1,360
"Oct 17, 2022","5,133","784,731",1,360
"Oct 18, 2022","5,396","796,834",1,360
"Oct 19, 2022","5,573","814,148",1,360
"Oct 20, 2022","5,735","823,500",1,360
"Oct 21, 2022","5,875","826,567",1,360
"Oct 22, 2022","5,971","828,952",1,360
"Oct 23, 2022","6,034","760,987",1,360
"Oct 24, 2022","6,116","743,984",1,360
"Oct 25, 2022","6,199","748,616",1,360
"Oct 26, 2022","6,272","749,960",1,360
"Oct 27, 2022","6,334","753,397",1,360
"Oct 28, 2022","6,387","754,777",1,360
"Oct 29, 2022","6,422","753,599",1,360
"Oct 30, 2022","6,472","756,711",1,360
"Oct 31, 2022","6,507","757,196",1,360
"Nov 01, 2022","6,542","757,807",1,360
"Nov 02, 2022","6,566","759,584",1,360
"Nov 03, 2022","6,605","764,025",1,360
"Nov 04, 2022","6,650","765,634",1,360
"Nov 05, 2022","6,670","773,830",1,360
"Nov 06, 2022","6,685","775,645",1,360
"Nov 07, 2022","6,707","801,646",1,360
"Nov 08, 2022","6,735","802,022",1,360
"Nov 09, 2022","6,761","801,782",1,360
"Nov 10, 2022","6,778","803,978",1,360
"Nov 11, 2022","6,790","804,460",1,360
"Nov 12, 2022","6,794","804,706",1,360
"Nov 13, 2022","6,799","803,990",1,360
"Nov 14, 2022","6,805","811,893",1,360
"Nov 15, 2022","6,800","811,941",1,360
"Nov 16, 2022","6,795","811,924",1,360
"Nov 17, 2022","6,781","812,320",1,360
"Nov 18, 2022","6,625","810,615",1,359
"Nov 19, 2022","6,645","810,986",1,359
"Nov 20, 2022","6,669","811,442",1,359
"Nov 21, 2022","6,727","810,962",1,359
"Nov 22, 2022","6,754","812,512",1,359
"Nov 23, 2022","6,767","812,186",1,359
"Nov 24, 2022","6,794","813,049",1,359
"Nov 25, 2022","6,815","811,781",1,359
"Nov 26, 2022","6,818","773,577",1,359
"Nov 27, 2022","6,840","773,792",1,359
"Nov 28, 2022","6,865","783,609",1,359
