Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",53,"4,843",,
"Oct 15, 2022","3,601","597,156",,
"Oct 16, 2022","3,909","630,585",1,360
"Oct 17, 2022","4,161","709,547",1,360
"Oct 18, 2022","4,329","715,681",1,360
"Oct 19, 2022","4,454","769,770",1,360
"Oct 20, 2022","4,583","771,492",1,360
"Oct 21, 2022","4,686","672,976",1,360
"Oct 22, 2022","4,749","674,417",1,360
"Oct 23, 2022","4,792","609,833",1,360
"Oct 24, 2022","4,837","593,421",1,360
"Oct 25, 2022","4,884","599,184",1,360
"Oct 26, 2022","4,930","600,016",1,360
"Oct 27, 2022","4,983","705,412",1,360
"Oct 28, 2022","5,014","708,396",1,360
"Oct 29, 2022","5,039","604,557",1,360
"Oct 30, 2022","5,058","566,842",1,360
"Oct 31, 2022","5,081","567,706",1,360
"Nov 01, 2022","5,101","568,079",1,360
"Nov 02, 2022","5,115","566,746",1,360
"Nov 03, 2022","5,126","565,844",1,360
"Nov 04, 2022","5,153","567,005",1,360
"Nov 05, 2022","5,163","568,917",1,360
"Nov 06, 2022","5,174","570,455",1,360
"Nov 07, 2022","5,189","571,325",1,360
"Nov 08, 2022","5,205","571,458",1,360
"Nov 09, 2022","5,218","572,133",1,360
"Nov 10, 2022","5,228","574,963",1,360
"Nov 11, 2022","5,237","575,358",1,360
"Nov 12, 2022","5,235","575,395",1,360
"Nov 13, 2022","5,237","574,534",1,360
"Nov 14, 2022","5,240","582,477",1,360
"Nov 15, 2022","5,236","582,979",1,360
"Nov 16, 2022","5,230","583,433",1,360
"Nov 17, 2022","5,219","583,501",1,360
"Nov 18, 2022","5,115","582,388",1,359
"Nov 19, 2022","5,131","582,509",1,359
"Nov 20, 2022","5,146","582,396",1,359
"Nov 21, 2022","5,173","582,893",1,359
"Nov 22, 2022","5,189","582,996",1,359
"Nov 23, 2022","5,195","583,084",1,359
"Nov 24, 2022","5,210","583,503",1,359
"Nov 25, 2022","5,224","582,375",1,359
"Nov 26, 2022","5,222","582,282",1,359
"Nov 27, 2022","5,237","582,974",1,359
"Nov 28, 2022","5,260","583,187",1,359
"Nov 29, 2022","5,273","583,871",1,359
"Nov 30, 2022","5,281","584,460",1,359
"Dec 01, 2022","5,292","584,269",1,359
"Dec 02, 2022","5,296","584,286",1,359
"Dec 03, 2022","5,228","582,938",1,359
"Dec 04, 2022","5,197","574,819",1,359
"Dec 05, 2022","5,110","562,766",1,359
"Dec 06, 2022","5,100","578,103",1,359
"Dec 07, 2022","5,028","575,122",1,359
"Dec 08, 2022","5,007","575,021",1,359
"Dec 09, 2022","4,982","570,628",1,359
"Dec 10, 2022","5,003","616,623",1,359
"Dec 11, 2022","5,005","576,454",1,359
"Dec 12, 2022","5,051","593,808",1,359
"Dec 13, 2022","5,079","591,120",1,359
"Dec 14, 2022","5,125","588,491",1,359
"Dec 15, 2022","5,125","587,830",1,359
"Dec 16, 2022","5,174","596,154",1,359
"Dec 17, 2022","5,165","595,965",1,359
"Dec 18, 2022","5,195","605,301",1,359
"Dec 19, 2022","5,226","593,676",1,359
"Dec 20, 2022","5,228","587,018",1,359
"Dec 21, 2022","5,244","595,237",1,359
"Dec 22, 2022","5,240","595,630",1,359
"Dec 23, 2022","5,235","576,718",1,359
"Dec 24, 2022","5,145","571,780",1,359
"Dec 25, 2022","5,051","569,218",1,359
"Dec 26, 2022","4,977","583,029",1,359
"Dec 27, 2022","4,887","594,231",1,359
"Dec 28, 2022","4,798","593,093",1,359
"Dec 29, 2022","4,715","593,869",1,359
"Dec 30, 2022","4,651","617,120",1,359
"Dec 31, 2022","4,595","604,939",1,359
"Jan 01, 2023","4,486","564,321",1,359
"Jan 02, 2023","4,489","610,872",1,359
"Jan 03, 2023","4,411","594,155",1,359
"Jan 04, 2023","4,335","517,661",1,359
"Jan 05, 2023","4,246","495,916",1,359
"Jan 06, 2023","4,167","485,626",1,359
"Jan 07, 2023","4,161","485,542",1,359
"Jan 08, 2023","4,166","485,581",1,359
"Jan 09, 2023","4,161","484,645",1,359
"Jan 10, 2023","4,214","547,475",1,359
"Jan 11, 2023","4,280","569,585",1,359
"Jan 12, 2023","4,313","573,719",1,359
"Jan 13, 2023","4,336","622,430",1,359
"Jan 14, 2023","4,356","624,547",1,359
"Jan 15, 2023","4,381","625,988",1,359
"Jan 16, 2023","6,502","659,609",1,359
"Jan 17, 2023","6,501","659,784",1,359
"Jan 18, 2023","6,503","659,968",1,359
"Jan 19, 2023","6,509","660,088",1,359
"Jan 20, 2023","6,509","660,308",1,359
"Jan 21, 2023","6,510","660,506",1,359
"Jan 22, 2023","6,516","660,966",1,359
"Jan 23, 2023","6,517","661,147",1,359
"Jan 24, 2023","6,519","661,476",1,359
"Jan 25, 2023","6,521","661,654",1,359
"Jan 26, 2023","6,523","661,775",1,359
"Jan 27, 2023","6,524","661,928",1,359
"Jan 28, 2023","6,521","661,982",1,359
"Jan 29, 2023","6,519","662,141",1,359
"Jan 30, 2023","6,518","658,674",1,359
"Jan 31, 2023","6,518","658,797",1,359
"Feb 01, 2023","6,515","660,701",1,359
"Feb 02, 2023","6,515","661,143",2,816
"Feb 03, 2023","6,520","662,118",2,817
"Feb 04, 2023","6,517","662,944",3,"1,383"
