"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",7358925,12955
"2023-05-14 00:00:00",7345970,0
"2023-05-13 00:00:00",7345970,21675
"2023-05-12 00:00:00",7324296,21675
"2023-05-11 00:00:00",7302621,0
"2023-05-10 00:00:00",7302621,27663
"2023-05-09 00:00:00",7274958,12264
"2023-05-08 00:00:00",7262694,13720
"2023-05-07 00:00:00",7248974,14962
"2023-05-06 00:00:00",7234012,14678
"2023-05-05 00:00:00",7219334,0
"2023-05-04 00:00:00",7219334,29653
"2023-05-03 00:00:00",7189681,14337
"2023-05-02 00:00:00",7175344,13596
"2023-05-01 00:00:00",7161749,13596
"2023-04-30 00:00:00",7148153,15513
"2023-04-29 00:00:00",7132640,15466
"2023-04-28 00:00:00",7117174,15926
"2023-04-27 00:00:00",7101248,15664
"2023-04-26 00:00:00",7085584,14737
"2023-04-25 00:00:00",7070847,13513
"2023-04-24 00:00:00",7057335,13513
"2023-04-23 00:00:00",7043822,14872
"2023-04-22 00:00:00",7028950,14806
"2023-04-21 00:00:00",7014144,14764
"2023-04-20 00:00:00",6999380,15020
"2023-04-19 00:00:00",6984360,14686
"2023-04-18 00:00:00",6969674,0
"2023-04-17 00:00:00",6969674,27179
"2023-04-16 00:00:00",6942495,0
"2023-04-15 00:00:00",6942495,15466
"2023-04-14 00:00:00",6927029,30533
"2023-04-13 00:00:00",6896496,14789
"2023-04-12 00:00:00",6881707,13724
"2023-04-11 00:00:00",6867983,11796
"2023-04-10 00:00:00",6856187,0
"2023-04-09 00:00:00",6856187,13885
"2023-04-08 00:00:00",6842302,14603
"2023-04-07 00:00:00",6827699,30838
"2023-04-06 00:00:00",6796861,14709
"2023-04-05 00:00:00",6782152,14785
"2023-04-04 00:00:00",6767367,13194
"2023-04-03 00:00:00",6754173,14454
"2023-04-02 00:00:00",6739719,15627
"2023-04-01 00:00:00",6724092,15677
"2023-03-31 00:00:00",6708415,15432
"2023-03-30 00:00:00",6692983,15639
"2023-03-29 00:00:00",6677344,15230
"2023-03-28 00:00:00",6662114,13664
"2023-03-27 00:00:00",6648450,14623
"2023-03-26 00:00:00",6633827,0
"2023-03-25 00:00:00",6633827,31202
"2023-03-24 00:00:00",6602625,15503
