Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 15, 2022","8,214","23,962,935",3,"16,930,706"
"Oct 16, 2022","9,034","24,159,673",4,"16,934,112"
"Oct 17, 2022","9,789","24,365,259",4,"16,937,431"
"Oct 18, 2022","10,453","26,372,993",4,"16,939,580"
"Oct 19, 2022","10,955","26,468,210",4,"16,942,166"
"Oct 20, 2022","11,424","26,802,861",4,"16,944,993"
"Oct 21, 2022","11,860","28,124,072",4,"16,948,158"
"Oct 22, 2022","12,119","28,526,218",4,"16,950,528"
"Oct 23, 2022","12,372","24,910,154",4,"16,953,624"
"Oct 24, 2022","12,624","24,849,003",4,"16,956,370"
"Oct 25, 2022","12,843","24,883,019",4,"16,958,967"
"Oct 26, 2022","13,038","25,027,391",4,"16,962,166"
"Oct 27, 2022","13,240","25,214,927",4,"16,965,310"
"Oct 28, 2022","13,413","34,607,111",5,"26,320,194"
"Oct 29, 2022","13,517","34,918,181",5,"26,327,031"
"Oct 30, 2022","13,617","34,848,262",5,"26,332,093"
"Oct 31, 2022","13,719","34,767,941",5,"26,336,756"
"Nov 01, 2022","13,834","34,782,307",5,"26,341,734"
"Nov 02, 2022","13,947","34,799,624",5,"26,347,210"
"Nov 03, 2022","14,055","36,753,902",5,"26,353,160"
"Nov 04, 2022","14,204","36,932,672",5,"26,359,072"
"Nov 05, 2022","14,287","36,947,600",5,"26,366,166"
"Nov 06, 2022","14,369","36,979,655",5,"26,372,644"
"Nov 07, 2022","14,473","36,892,510",5,"26,378,486"
"Nov 08, 2022","14,543","37,120,968",5,"26,385,469"
"Nov 09, 2022","14,588","37,147,802",5,"26,392,887"
"Nov 10, 2022","14,634","34,801,228",5,"26,399,185"
"Nov 11, 2022","14,661","34,953,370",5,"26,405,134"
"Nov 12, 2022","14,683","35,083,779",5,"26,411,179"
"Nov 13, 2022","14,705","33,806,221",4,"25,313,636"
"Nov 14, 2022","14,727","33,849,460",4,"25,317,601"
"Nov 15, 2022","14,733","33,868,106",4,"25,322,004"
"Nov 16, 2022","14,747","33,860,520",4,"25,327,052"
"Nov 17, 2022","14,731","33,817,403",4,"25,332,195"
"Nov 18, 2022","14,330","33,785,085",4,"25,331,245"
"Nov 19, 2022","14,358","33,875,296",4,"25,332,949"
"Nov 20, 2022","14,439","33,880,791",4,"25,337,425"
"Nov 21, 2022","14,591","33,823,949",4,"25,340,674"
"Nov 22, 2022","14,681","33,846,580",4,"25,338,707"
