"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",44968273,106486
"2023-05-14 00:00:00",44861787,0
"2023-05-13 00:00:00",44861787,187673
"2023-05-12 00:00:00",44674115,187673
"2023-05-11 00:00:00",44486442,0
"2023-05-10 00:00:00",44486442,246950
"2023-05-09 00:00:00",44239492,99212
"2023-05-08 00:00:00",44140280,114268
"2023-05-07 00:00:00",44026012,129489
"2023-05-06 00:00:00",43896523,132305
"2023-05-05 00:00:00",43764218,0
"2023-05-04 00:00:00",43764218,265944
"2023-05-03 00:00:00",43498274,124883
"2023-05-02 00:00:00",43373391,111872
"2023-05-01 00:00:00",43261520,111872
"2023-04-30 00:00:00",43149648,136513
"2023-04-29 00:00:00",43013135,133600
"2023-04-28 00:00:00",42879535,133156
"2023-04-27 00:00:00",42746379,132355
"2023-04-26 00:00:00",42614024,126412
"2023-04-25 00:00:00",42487612,105670
"2023-04-24 00:00:00",42381943,105670
"2023-04-23 00:00:00",42276273,128272
"2023-04-22 00:00:00",42148001,126224
"2023-04-21 00:00:00",42021777,125226
"2023-04-20 00:00:00",41896551,125898
"2023-04-19 00:00:00",41770653,121490
"2023-04-18 00:00:00",41649163,0
"2023-04-17 00:00:00",41649163,211337
"2023-04-16 00:00:00",41437826,0
"2023-04-15 00:00:00",41437826,126902
"2023-04-14 00:00:00",41310924,252096
"2023-04-13 00:00:00",41058828,126940
"2023-04-12 00:00:00",40931888,113936
"2023-04-11 00:00:00",40817952,92503
"2023-04-10 00:00:00",40725449,0
"2023-04-09 00:00:00",40725449,109221
"2023-04-08 00:00:00",40616228,118673
"2023-04-07 00:00:00",40497555,258545
"2023-04-06 00:00:00",40239010,128582
"2023-04-05 00:00:00",40110428,124096
"2023-04-04 00:00:00",39986332,101861
"2023-04-03 00:00:00",39884471,115651
"2023-04-02 00:00:00",39768820,129572
"2023-04-01 00:00:00",39639248,133075
"2023-03-31 00:00:00",39506173,134188
"2023-03-30 00:00:00",39371985,132480
"2023-03-29 00:00:00",39239505,126787
"2023-03-28 00:00:00",39112718,106377
"2023-03-27 00:00:00",39006341,119768
"2023-03-26 00:00:00",38886573,0
"2023-03-25 00:00:00",38886573,266889
"2023-03-24 00:00:00",38619684,136976
"2023-03-23 00:00:00",38482708,137265
"2023-03-22 00:00:00",38345443,129532
"2023-03-21 00:00:00",38215911,0
"2023-03-20 00:00:00",38215911,221846
