Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Nov 22, 2022","8,727","859,897",1,359
"Nov 29, 2022","8,892","867,556",1,359
"Nov 30, 2022","8,917","868,668",1,359
"Dec 01, 2022","8,925","866,625",1,359
"Dec 02, 2022","8,935","866,801",1,359
"Dec 03, 2022","8,836","851,764",1,359
"Dec 04, 2022","8,792","840,273",1,359
"Dec 05, 2022","8,665","825,058",1,359
"Dec 06, 2022","8,659","861,079",1,359
"Dec 07, 2022","8,535","856,017",1,359
"Dec 08, 2022","8,492","850,734",1,359
"Dec 09, 2022","8,446","830,281",1,359
"Dec 10, 2022","8,477","892,144",1,359
"Dec 11, 2022","8,513","812,638",1,359
"Dec 12, 2022","8,584","879,625",1,359
"Dec 13, 2022","8,625","854,081",1,359
"Dec 14, 2022","8,690","844,866",1,359
"Dec 15, 2022","8,687","818,759",1,359
"Dec 16, 2022","8,755","851,260",1,359
"Dec 17, 2022","8,756","844,177",1,359
"Dec 18, 2022","8,793","834,650",1,359
"Dec 19, 2022","8,845","823,921",1,359
"Dec 20, 2022","8,845","838,340",1,359
"Dec 21, 2022","8,862","880,072",1,359
"Dec 22, 2022","8,872","864,865",1,359
"Dec 23, 2022","8,862","837,255",1,359
"Dec 24, 2022","8,731","821,597",1,359
"Dec 25, 2022","8,560","833,200",1,359
"Dec 26, 2022","8,440","820,293",1,359
"Dec 27, 2022","8,292","838,554",1,359
"Dec 28, 2022","8,177","858,569",1,359
"Dec 29, 2022","8,027","868,308",1,359
"Dec 30, 2022","7,920","873,441",1,359
"Dec 31, 2022","7,836","878,256",1,359
"Jan 01, 2023","7,687","836,231",1,359
"Jan 02, 2023","7,678","837,529",1,359
"Jan 03, 2023","7,552","818,217",1,359
"Jan 04, 2023","7,420","757,559",1,359
"Jan 05, 2023","7,240","733,264",1,359
"Jan 06, 2023","7,119","706,477",1,359
"Jan 07, 2023","7,112","704,458",1,359
"Jan 08, 2023","7,115","704,524",1,359
"Jan 09, 2023","7,110","704,581",1,359
"Jan 10, 2023","7,193","851,157",1,359
"Jan 11, 2023","7,306","918,883",1,359
"Jan 12, 2023","7,358","926,529",1,359
"Jan 13, 2023","7,399","933,925",1,359
"Jan 14, 2023","7,422","932,236",1,359
"Jan 15, 2023","7,458","937,251",1,359
"Jan 16, 2023","10,951","986,029",1,359
"Jan 17, 2023","10,951","999,061",1,359
"Jan 18, 2023","10,960","999,538",1,359
"Jan 19, 2023","10,963","1,000,026",1,359
"Jan 20, 2023","10,964","1,001,191",1,359
"Jan 21, 2023","10,966","984,712",1,359
"Jan 22, 2023","10,971","985,441",1,359
"Jan 23, 2023","10,971","984,116",1,359
"Jan 24, 2023","10,973","984,826",1,359
"Jan 25, 2023","10,975","985,283",1,359
"Jan 26, 2023","10,978","985,886",1,359
"Jan 27, 2023","10,981","986,236",1,359
"Jan 28, 2023","10,983","986,788",1,359
"Jan 29, 2023","10,989","987,392",1,359
"Jan 30, 2023","10,988","987,707",1,359
"Jan 31, 2023","10,988","991,164",1,359
"Feb 01, 2023","10,986","990,403",1,359
"Feb 02, 2023","10,985","992,915",1,359
"Feb 03, 2023","10,989","992,983",1,359
"Feb 04, 2023","10,983","996,425",1,359
"Feb 05, 2023","10,982","997,190",1,359
"Feb 06, 2023","10,982","997,953",1,359
"Feb 07, 2023","10,987","998,613",1,359
"Feb 08, 2023","10,991","999,308",1,359
"Feb 09, 2023","10,997","999,903",1,359
"Feb 10, 2023","10,994","1,000,759",1,359
"Feb 11, 2023","10,993","1,004,451",1,359
"Feb 12, 2023","10,991","1,002,853",1,359
"Feb 13, 2023","10,992","1,003,428",1,359
"Feb 14, 2023","10,996","1,004,348",1,359
"Feb 15, 2023","11,000","1,004,815",1,359
"Feb 16, 2023","10,997","1,005,344",1,359
"Feb 17, 2023","10,997","1,006,010",1,359
"Feb 18, 2023","10,999","1,006,534",1,359
"Feb 19, 2023","10,997","1,006,884",1,359
"Feb 20, 2023","10,993","1,008,462",1,359
"Feb 21, 2023","10,991","1,008,780",1,359
"Feb 22, 2023","10,984","1,009,034",1,359
"Feb 23, 2023","10,982","1,009,327",1,359
"Feb 24, 2023","10,980","1,009,690",1,359
"Feb 25, 2023","10,975","1,009,971",1,359
"Feb 26, 2023","10,974","1,011,288",1,359
"Feb 27, 2023","10,968","1,011,455",1,358
"Mar 01, 2023","10,947","1,012,098",1,358
"Mar 02, 2023","10,972","1,013,111",1,358
"Mar 03, 2023","10,985","1,012,931",1,358
"Mar 04, 2023","11,004","1,012,774",1,358
"Mar 05, 2023","11,012","1,010,736",1,358
"Mar 06, 2023","11,026","1,011,735",1,358
"Mar 07, 2023","11,054","1,009,250",1,358
"Mar 08, 2023","11,070","1,007,798",1,358
"Mar 09, 2023","11,073","1,008,296",1,358
"Mar 10, 2023","11,086","1,006,894",1,358
"Mar 11, 2023","11,103","1,008,601",1,358
"Mar 12, 2023","11,116","960,257",1,358
"Mar 13, 2023","11,133","958,487",1,358
"Mar 14, 2023","11,150","963,143",1,358
"Mar 15, 2023","11,161","963,650",1,358
"Mar 16, 2023","11,172","963,930",1,358
"Mar 17, 2023","11,181","964,960",1,358
"Mar 18, 2023","11,194","967,634",1,358
"Mar 19, 2023","11,199","967,321",1,358
"Mar 20, 2023","11,207","967,823",1,358
"Mar 21, 2023","11,213","968,560",1,358
"Mar 22, 2023","11,220","968,288",1,358
"Mar 23, 2023","11,227","969,274",1,358
"Mar 24, 2023","11,244","970,740",1,358
"Mar 25, 2023","11,269","971,755",1,358
"Mar 26, 2023","11,277","972,276",1,358
"Mar 27, 2023","11,289","973,402",1,358
"Mar 28, 2023","11,301","973,802",1,358
"Mar 29, 2023","11,312","974,464",1,358
"Mar 30, 2023","11,335","975,080",1,358
"Mar 31, 2023","11,348","975,892",1,358
"Apr 01, 2023","11,368","977,754",1,358
"Apr 02, 2023","11,384","978,410",1,358
"Apr 03, 2023","11,396","979,117",1,358
"Apr 04, 2023","11,414","978,057",1,358
"Apr 05, 2023","11,432","978,840",1,358
"Apr 06, 2023","11,439","979,455",1,358
"Apr 07, 2023","11,459","982,894",1,358
"Apr 08, 2023","11,479","983,554",1,358
"Apr 09, 2023","11,501","984,284",1,358
"Apr 10, 2023","11,520","984,716",1,358
"Apr 11, 2023","11,541","985,487",1,358
"Apr 12, 2023","11,549","986,164",1,358
"Apr 13, 2023","11,567","986,894",1,358
"Apr 14, 2023","11,591","987,440",1,358
"Apr 15, 2023","11,612","988,053",1,358
"Apr 16, 2023","11,632","989,091",1,358
"Apr 17, 2023","11,655","990,021",1,358
"Apr 18, 2023","11,673","990,718",1,358
"Apr 19, 2023","11,707","991,593",1,358
"Apr 20, 2023","11,739","989,524",1,358
"Apr 21, 2023","11,774","994,369",1,358
"Apr 22, 2023","11,806","995,637",1,358
"Apr 23, 2023","11,838","997,101",1,358
"Apr 24, 2023","11,864","997,590",1,358
"Apr 25, 2023","11,889","998,109",1,358
"Apr 26, 2023","11,909","999,490",1,358
"Apr 27, 2023","11,936","1,001,555",1,358
"Apr 28, 2023","11,962","1,001,848",1,358
"Apr 29, 2023","11,994","1,002,371",1,358
"Apr 30, 2023","12,025","1,002,847",1,358
"May 01, 2023","12,060","1,003,485",1,358
"May 02, 2023","12,089","1,004,012",1,358
"May 03, 2023","12,106","1,004,538",1,358
"May 04, 2023","12,136","1,006,156",1,358
"May 05, 2023","12,161","1,011,725",1,358
"May 06, 2023","12,190","1,013,207",1,358
"May 07, 2023","12,211","1,010,211",1,358
"May 08, 2023","12,225","1,013,165",1,358
"May 09, 2023","12,249","1,016,305",1,358
"May 10, 2023","12,276","1,016,306",1,358
"May 11, 2023","12,296","1,019,133",1,358
"May 12, 2023","12,320","1,021,409",1,358
"May 13, 2023","12,351","1,021,730",1,358
"May 14, 2023","12,369","1,022,149",1,358
"May 15, 2023","12,392","1,022,750",1,358
Invalid date,,,,
