"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",12408411,24864
"2023-05-14 00:00:00",12383547,0
"2023-05-13 00:00:00",12383547,41008
"2023-05-12 00:00:00",12342539,41008
"2023-05-11 00:00:00",12301531,0
"2023-05-10 00:00:00",12301531,52929
"2023-05-09 00:00:00",12248602,23160
"2023-05-08 00:00:00",12225442,25635
"2023-05-07 00:00:00",12199807,27360
"2023-05-06 00:00:00",12172447,27766
"2023-05-05 00:00:00",12144681,0
"2023-05-04 00:00:00",12144681,53155
"2023-05-03 00:00:00",12091526,25660
"2023-05-02 00:00:00",12065866,24623
"2023-05-01 00:00:00",12041243,24623
"2023-04-30 00:00:00",12016620,28245
"2023-04-29 00:00:00",11988375,27649
"2023-04-28 00:00:00",11960726,28321
"2023-04-27 00:00:00",11932405,27740
"2023-04-26 00:00:00",11904665,27313
"2023-04-25 00:00:00",11877352,23808
"2023-04-24 00:00:00",11853545,23808
"2023-04-23 00:00:00",11829737,27204
"2023-04-22 00:00:00",11802533,27431
"2023-04-21 00:00:00",11775102,27039
"2023-04-20 00:00:00",11748063,27158
"2023-04-19 00:00:00",11720905,26834
"2023-04-18 00:00:00",11694071,0
"2023-04-17 00:00:00",11694071,50218
"2023-04-16 00:00:00",11643853,0
"2023-04-15 00:00:00",11643853,28997
"2023-04-14 00:00:00",11614856,56645
"2023-04-13 00:00:00",11558211,29691
"2023-04-12 00:00:00",11528520,27979
"2023-04-11 00:00:00",11500541,24218
"2023-04-10 00:00:00",11476323,0
"2023-04-09 00:00:00",11476323,27711
"2023-04-08 00:00:00",11448612,29063
"2023-04-07 00:00:00",11419549,59508
"2023-04-06 00:00:00",11360041,29109
"2023-04-05 00:00:00",11330932,29112
"2023-04-04 00:00:00",11301820,25629
"2023-04-03 00:00:00",11276191,27809
"2023-04-02 00:00:00",11248382,30880
"2023-04-01 00:00:00",11217502,33015
"2023-03-31 00:00:00",11184487,33222
"2023-03-30 00:00:00",11151265,33041
"2023-03-29 00:00:00",11118224,32287
"2023-03-28 00:00:00",11085937,28878
"2023-03-27 00:00:00",11057059,31305
"2023-03-26 00:00:00",11025754,0
"2023-03-25 00:00:00",11025754,66210
"2023-03-24 00:00:00",10959544,31993
"2023-03-23 00:00:00",10927551,32391
"2023-03-22 00:00:00",10895160,31934
"2023-03-21 00:00:00",10863226,0
"2023-03-20 00:00:00",10863226,57135
"2023-03-19 00:00:00",10806091,32485
"2023-03-18 00:00:00",10773606,32724
"2023-03-17 00:00:00",10740882,0
"2023-03-16 00:00:00",10740882,34391
"2023-03-15 00:00:00",10706491,68481
"2023-03-14 00:00:00",10638010,0
"2023-03-13 00:00:00",10638010,66793
"2023-03-12 00:00:00",10571217,38515
"2023-03-11 00:00:00",10532702,38711
"2023-03-10 00:00:00",10493991,40548
"2023-03-09 00:00:00",10453443,41300
"2023-03-08 00:00:00",10412143,40566
"2023-03-07 00:00:00",10371577,34797
"2023-03-06 00:00:00",10336780,38076
"2023-03-05 00:00:00",10298704,42559
"2023-03-04 00:00:00",10256145,38761
"2023-03-03 00:00:00",10217384,0
"2023-03-02 00:00:00",10217384,70705
"2023-03-01 00:00:00",10146679,34620
"2023-02-28 00:00:00",10112059,0
"2023-02-27 00:00:00",10112059,61874
"2023-02-26 00:00:00",10050185,33979
"2023-02-25 00:00:00",10016206,34905
