Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",56,"4,786",,
"Oct 15, 2022","3,383","556,310",,
"Oct 16, 2022","3,696","576,942",1,360
"Oct 17, 2022","3,932","687,988",1,360
"Oct 18, 2022","4,102","695,397",1,360
"Oct 19, 2022","4,228","597,204",1,360
"Oct 20, 2022","4,349","599,616",1,360
"Oct 21, 2022","4,440","602,846",1,360
"Oct 22, 2022","4,500","604,294",1,360
"Oct 23, 2022","4,542","539,505",1,360
"Oct 24, 2022","4,597","522,574",1,360
"Oct 25, 2022","4,650","529,787",1,360
"Oct 26, 2022","4,689","533,454",1,360
"Oct 27, 2022","4,740","535,966",1,360
"Oct 28, 2022","4,767","541,722",1,360
"Oct 29, 2022","4,793","539,472",1,360
"Oct 30, 2022","4,820","502,503",1,360
"Oct 31, 2022","4,838","502,844",1,360
"Nov 01, 2022","4,856","503,048",1,360
"Nov 02, 2022","4,873","504,321",1,360
"Nov 03, 2022","4,894","508,569",1,360
"Nov 04, 2022","4,921","511,072",1,360
"Nov 05, 2022","4,929","511,208",1,360
"Nov 06, 2022","4,942","512,892",1,360
"Nov 07, 2022","4,957","513,927",1,360
"Nov 08, 2022","4,967","513,957",1,360
"Nov 09, 2022","4,973","514,826",1,360
"Nov 10, 2022","4,978","516,622",1,360
"Nov 11, 2022","4,979","516,858",1,360
"Nov 12, 2022","4,974","516,803",1,360
"Nov 13, 2022","4,980","516,976",1,360
"Nov 14, 2022","4,982","524,911",1,360
"Nov 15, 2022","4,979","524,920",1,360
"Nov 16, 2022","4,973","525,310",1,360
"Nov 17, 2022","4,964","524,796",1,360
"Nov 18, 2022","4,865","523,711",1,359
"Nov 19, 2022","4,876","523,825",1,359
"Nov 20, 2022","4,890","518,984",1,359
"Nov 21, 2022","4,914","519,399",1,359
"Nov 22, 2022","4,926","519,481",1,359
"Nov 23, 2022","4,931","528,314",1,359
"Nov 24, 2022","4,940","529,009",1,359
"Nov 25, 2022","4,955","527,650",1,359
"Nov 26, 2022","4,960","527,608",1,359
"Nov 27, 2022","4,970","529,589",1,359
"Nov 28, 2022","4,983","529,934",1,359
"Nov 29, 2022","5,000","530,609",1,359
"Nov 30, 2022","5,010","531,575",1,359
"Dec 01, 2022","5,014","531,166",1,359
"Dec 02, 2022","5,018","531,600",1,359
"Dec 03, 2022","4,958","528,606",1,359
"Dec 04, 2022","4,930","523,689",1,359
"Dec 05, 2022","4,849","500,531",1,359
"Dec 06, 2022","4,836","526,359",1,359
"Dec 07, 2022","4,772","525,148",1,359
"Dec 08, 2022","4,748","525,209",1,359
"Dec 09, 2022","4,722","516,448",1,359
"Dec 10, 2022","4,734","586,107",1,359
"Dec 11, 2022","4,739","533,649",1,359
"Dec 12, 2022","4,779","564,464",1,359
"Dec 13, 2022","4,805","556,191",1,359
"Dec 14, 2022","4,843","549,945",1,359
"Dec 15, 2022","4,835","521,561",1,359
"Dec 16, 2022","4,878","566,788",1,359
"Dec 17, 2022","4,867","569,214",1,359
"Dec 18, 2022","4,894","571,935",1,359
"Dec 19, 2022","4,921","560,202",1,359
"Dec 20, 2022","4,923","555,697",1,359
"Dec 21, 2022","4,933","565,558",1,359
"Dec 22, 2022","4,939","570,698",1,359
"Dec 23, 2022","4,940","534,429",1,359
"Dec 24, 2022","4,855","518,725",1,359
"Dec 25, 2022","4,768","540,475",1,359
"Dec 26, 2022","4,706","544,088",1,359
"Dec 27, 2022","4,613","554,160",1,359
"Dec 28, 2022","4,534","559,010",1,359
"Dec 29, 2022","4,444","558,349",1,359
"Dec 30, 2022","4,380","586,570",1,359
"Dec 31, 2022","4,312","577,569",1,359
"Jan 01, 2023","4,222","532,969",1,359
"Jan 02, 2023","4,222","566,759",1,359
"Jan 03, 2023","4,152","560,451",1,359
"Jan 04, 2023","4,068","528,074",1,359
"Jan 05, 2023","3,961","477,276",1,359
"Jan 06, 2023","3,891","473,734",1,359
"Jan 07, 2023","3,888","473,660",1,359
"Jan 08, 2023","3,891","473,679",1,359
"Jan 09, 2023","3,889","473,591",1,359
"Jan 10, 2023","3,936","538,206",1,359
"Jan 11, 2023","4,009","587,609",1,359
"Jan 12, 2023","4,040","591,602",1,359
"Jan 13, 2023","4,055","591,711",1,359
"Jan 14, 2023","4,076","593,827",1,359
"Jan 15, 2023","4,101","595,309",1,359
"Jan 16, 2023","6,194","624,369",1,359
"Jan 17, 2023","6,194","625,036",1,359
"Jan 18, 2023","6,197","625,391",1,359
"Jan 19, 2023","6,201","625,500",1,359
"Jan 20, 2023","6,201","625,445",1,359
"Jan 21, 2023","6,203","625,616",1,359
"Jan 22, 2023","6,205","625,818",1,359
"Jan 23, 2023","6,206","626,013",1,359
"Jan 24, 2023","6,209","626,479",1,359
"Jan 25, 2023","6,215","626,764",1,359
"Jan 26, 2023","6,215","626,917",1,359
"Jan 27, 2023","6,213","627,105",1,359
"Jan 28, 2023","6,213","627,267",1,359
"Jan 29, 2023","6,217","627,469",1,359
"Jan 30, 2023","6,218","627,703",1,359
"Jan 31, 2023","6,223","632,404",1,359
"Feb 01, 2023","6,223","632,606",1,359
"Feb 02, 2023","6,222","632,745",1,359
"Feb 03, 2023","6,223","632,912",1,359
"Feb 04, 2023","6,221","633,157",1,359
"Feb 05, 2023","6,223","633,541",1,359
"Feb 06, 2023","6,218","633,629",1,359
"Feb 07, 2023","6,218","634,111",1,359
"Feb 08, 2023","6,224","634,506",1,359
"Feb 09, 2023","6,230","634,824",1,359
"Feb 10, 2023","6,228","635,321",1,359
"Feb 11, 2023","6,228","635,747",1,359
"Feb 12, 2023","6,228","636,102",1,359
"Feb 13, 2023","6,230","636,389",1,359
"Feb 14, 2023","6,231","636,898",1,359
"Feb 15, 2023","6,233","637,177",1,359
"Feb 16, 2023","6,232","628,366",1,359
"Feb 17, 2023","6,230","628,775",1,359
"Feb 18, 2023","6,232","629,027",1,359
"Feb 19, 2023","6,230","629,172",1,359
"Feb 20, 2023","6,229","629,932",1,359
"Feb 21, 2023","6,229","630,073",1,359
"Feb 22, 2023","6,225","630,176",1,359
"Feb 23, 2023","6,223","629,993",1,359
"Feb 24, 2023","6,221","630,107",1,359
"Feb 25, 2023","6,218","630,124",1,359
"Feb 26, 2023","6,217","630,402",1,359
"Feb 27, 2023","6,215","630,553",1,358
"Mar 01, 2023","6,200","630,644",1,358
"Mar 02, 2023","6,215","630,943",1,358
"Mar 03, 2023","6,225","630,255",1,358
