Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 14, 2022",62,"7,730",,
"Oct 15, 2022","3,956","576,471",,
"Oct 16, 2022","4,309","606,815",1,360
"Oct 17, 2022","4,596","646,147",1,360
"Oct 18, 2022","4,814","656,996",1,360
"Oct 19, 2022","4,959","623,355",1,360
"Oct 20, 2022","5,099","632,046",1,360
"Oct 21, 2022","5,209","635,509",1,360
"Oct 22, 2022","5,287","609,413",1,360
"Oct 23, 2022","5,336","544,643",1,360
"Oct 24, 2022","5,411","529,803",1,360
"Oct 25, 2022","5,470","535,544",1,360
"Oct 26, 2022","5,529","537,264",1,360
"Oct 27, 2022","5,589","540,757",1,360
"Oct 28, 2022","5,635","547,764",1,360
"Oct 29, 2022","5,658","543,101",1,360
"Oct 30, 2022","5,683","543,895",1,360
"Oct 31, 2022","5,710","545,958",1,360
"Nov 01, 2022","5,730","546,279",1,360
"Nov 02, 2022","5,759","546,664",1,360
"Nov 03, 2022","5,781","550,979",1,360
"Nov 04, 2022","5,806","551,374",1,360
"Nov 05, 2022","5,822","552,147",1,360
"Nov 06, 2022","5,840","554,756",1,360
"Nov 07, 2022","5,860","556,238",1,360
"Nov 08, 2022","5,872","556,453",1,360
"Nov 09, 2022","5,882","556,981",1,360
"Nov 10, 2022","5,893","557,439",1,360
"Nov 11, 2022","5,899","585,475",1,360
"Nov 12, 2022","5,896","585,363",1,360
"Nov 13, 2022","5,897","584,558",1,360
"Nov 14, 2022","5,899","592,542",1,360
"Nov 15, 2022","5,894","592,578",1,360
"Nov 16, 2022","5,893","593,018",1,360
"Nov 17, 2022","5,884","593,061",1,360
"Nov 18, 2022","5,763","589,932",1,359
"Nov 19, 2022","5,775","591,669",1,359
"Nov 20, 2022","5,790","588,999",1,359
"Nov 21, 2022","5,836","595,042",1,359
"Nov 22, 2022","5,854","597,916",1,359
"Nov 23, 2022","5,856","596,716",1,359
"Nov 24, 2022","5,864","597,398",1,359
"Nov 25, 2022","5,880","595,682",1,359
"Nov 26, 2022","5,877","595,572",1,359
"Nov 27, 2022","5,905","590,927",1,359
"Nov 28, 2022","5,936","598,193",1,359
"Nov 29, 2022","5,953","598,931",1,359
"Nov 30, 2022","5,969","599,799",1,359
"Dec 01, 2022","5,975","598,377",1,359
"Dec 02, 2022","5,982","599,826",1,359
"Dec 03, 2022","5,907","591,924",1,359
"Dec 04, 2022","5,874","589,771",1,359
"Dec 05, 2022","5,770","562,545",1,359
"Dec 06, 2022","5,754","591,914",1,359
"Dec 07, 2022","5,672","591,649",1,359
"Dec 08, 2022","5,654","589,533",1,359
"Dec 09, 2022","5,618","573,662",1,359
"Dec 10, 2022","5,637","625,889",1,359
"Dec 11, 2022","5,643","577,322",1,359
"Dec 12, 2022","5,690","605,554",1,359
"Dec 13, 2022","5,710","600,009",1,359
"Dec 14, 2022","5,755","597,818",1,359
"Dec 15, 2022","5,754","593,922",1,359
"Dec 16, 2022","5,808","609,714",1,359
"Dec 17, 2022","5,804","579,582",1,359
"Dec 18, 2022","5,831","597,503",1,359
"Dec 19, 2022","5,865","590,311",1,359
"Dec 20, 2022","5,871","590,430",1,359
"Dec 21, 2022","5,882","599,614",1,359
"Dec 22, 2022","5,878","609,054",1,359
"Dec 23, 2022","5,875","588,609",1,359
"Dec 24, 2022","5,774","567,692",1,359
"Dec 25, 2022","5,676","585,855",1,359
"Dec 26, 2022","5,594","587,695",1,359
"Dec 27, 2022","5,487","587,965",1,359
"Dec 28, 2022","5,395","591,082",1,359
"Dec 29, 2022","5,290","561,571",1,359
"Dec 30, 2022","5,205","589,202",1,359
"Dec 31, 2022","5,129","609,616",1,359
"Jan 01, 2023","5,009","568,949",1,359
"Jan 02, 2023","5,010","599,582",1,359
"Jan 03, 2023","4,930","594,669",1,359
"Jan 04, 2023","4,839","532,756",1,359
"Jan 05, 2023","4,702","515,997",1,359
"Jan 06, 2023","4,618","499,632",1,359
"Jan 07, 2023","4,614","499,556",1,359
"Jan 08, 2023","4,617","499,644",1,359
"Jan 09, 2023","4,618","499,566",1,359
"Jan 10, 2023","4,681","575,118",1,359
"Jan 11, 2023","4,752","626,124",1,359
"Jan 12, 2023","4,789","631,641",1,359
"Jan 13, 2023","4,820","638,974",1,359
"Jan 14, 2023","4,842","640,654",1,359
"Jan 15, 2023","4,868","641,100",1,359
"Jan 16, 2023","7,333","675,897",1,359
"Jan 17, 2023","7,334","676,040",1,359
"Jan 18, 2023","7,340","676,483",1,359
"Jan 19, 2023","7,342","676,616",1,359
"Jan 20, 2023","7,346","702,174",1,359
"Jan 21, 2023","7,349","702,545",1,359
"Jan 22, 2023","7,353","702,945",1,359
