Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 15, 2022",217,"529,266",,
"Jul 16, 2022",293,"1,139,425",1,"604,773"
"Jul 17, 2022",344,"1,563,149",2,"605,922"
"Jul 18, 2022",405,"1,582,317",2,"606,860"
"Jul 19, 2022",436,"1,582,962",2,"607,839"
"Jul 20, 2022",455,"1,594,269",2,"608,780"
"Jul 21, 2022",491,"1,597,079",2,"609,581"
"Jul 22, 2022",521,"1,594,144",2,"610,570"
"Jul 23, 2022",534,"1,680,278",3,"612,899"
"Jul 24, 2022",546,"1,682,790",3,"613,602"
"Jul 25, 2022",560,"1,683,533",3,"614,283"
"Jul 26, 2022",577,"1,642,561",3,"614,974"
"Jul 27, 2022",589,"1,642,459",3,"615,621"
"Jul 28, 2022",600,"1,646,605",3,"616,272"
"Jul 29, 2022",620,"1,651,714",3,"617,002"
"Jul 30, 2022",628,"1,636,793",3,"618,400"
"Jul 31, 2022",641,"1,718,284",3,"619,270"
"Aug 01, 2022",656,"1,717,006",3,"620,014"
"Aug 02, 2022",666,"1,725,339",3,"620,574"
"Aug 03, 2022",671,"1,639,116",3,"621,095"
"Aug 04, 2022",676,"1,638,267",3,"621,654"
"Aug 05, 2022",692,"1,725,595",3,"622,124"
"Aug 06, 2022",697,"1,721,656",3,"622,785"
"Aug 07, 2022",696,"1,014,844",2,"1,634"
"Aug 08, 2022",703,"1,017,435",2,"1,636"
"Aug 09, 2022",709,"1,104,435",2,"1,637"
"Aug 10, 2022",718,"1,104,195",2,"1,639"
"Aug 11, 2022",724,"1,018,953",2,"1,641"
"Aug 12, 2022",731,"979,179",2,"1,644"
"Aug 13, 2022",739,"981,152",2,"1,646"
"Aug 14, 2022",739,"984,729",2,"1,646"
"Aug 15, 2022",742,"1,072,878",2,"1,647"
"Aug 16, 2022",740,"1,063,795",2,"1,649"
"Aug 17, 2022",741,"1,065,925",2,"1,650"
"Aug 18, 2022",750,"1,072,787",2,"1,650"
"Aug 19, 2022",750,"974,920",2,"1,649"
"Aug 20, 2022",757,"970,137",2,"1,651"
"Aug 21, 2022",760,"1,063,091",2,"1,651"
"Aug 22, 2022",766,"1,064,455",2,"1,655"
"Aug 23, 2022",764,"974,593",2,"1,657"
"Aug 24, 2022",768,"974,802",2,"1,658"
"Aug 25, 2022",772,"1,065,304",2,"1,659"
"Aug 26, 2022",776,"1,065,222",2,"1,661"
"Aug 27, 2022",773,"971,316",2,"1,661"
"Aug 28, 2022",776,"969,719",2,"1,663"
"Aug 29, 2022",780,"971,385",2,"1,667"
"Aug 30, 2022",785,"971,637",2,"1,665"
"Aug 31, 2022",793,"970,439",2,"1,667"
"Sep 01, 2022",802,"975,369",2,"1,666"
"Sep 02, 2022",807,"977,626",2,"1,666"
"Sep 03, 2022",812,"975,316",2,"1,663"
"Sep 04, 2022",816,"979,275",2,"1,661"
"Sep 05, 2022",817,"978,031",2,"1,661"
"Sep 06, 2022",821,"972,162",2,"1,660"
"Sep 07, 2022",822,"972,395",2,"1,660"
"Sep 08, 2022",827,"973,311",2,"1,662"
"Sep 09, 2022",828,"972,121",2,"1,663"
"Sep 10, 2022",828,"1,059,902",2,"1,664"
"Sep 11, 2022",828,"1,061,450",2,"1,669"
"Sep 12, 2022",831,"1,079,594",2,"1,668"
"Sep 13, 2022",835,"989,355",2,"1,669"
"Sep 14, 2022",836,"988,273",2,"1,669"
"Sep 15, 2022",839,"969,542",2,"1,669"
"Sep 16, 2022",845,"969,817",2,"1,669"
"Sep 17, 2022",843,"970,071",2,"1,673"
"Sep 18, 2022",849,"970,492",2,"1,673"
"Sep 19, 2022",854,"971,384",2,"1,676"
"Sep 20, 2022",856,"971,775",2,"1,678"
"Sep 21, 2022",862,"973,494",2,"1,678"
"Sep 22, 2022",863,"974,184",2,"1,680"
"Sep 23, 2022",867,"974,691",2,"1,681"
"Sep 24, 2022",869,"975,051",2,"1,683"
"Sep 25, 2022",871,"975,368",2,"1,685"
"Sep 26, 2022",875,"974,950",2,"1,688"
"Sep 27, 2022",876,"975,476",2,"1,689"
"Sep 28, 2022",879,"977,663",2,"1,694"
"Sep 29, 2022",881,"977,986",2,"1,698"
"Sep 30, 2022",880,"977,521",2,"1,698"
"Oct 01, 2022",881,"977,862",2,"1,700"
"Oct 02, 2022",879,"977,492",2,"1,700"
"Oct 03, 2022",886,"982,503",2,"1,702"
"Oct 04, 2022",890,"982,844",2,"1,705"
"Oct 05, 2022",892,"983,922",2,"1,709"
"Oct 06, 2022",889,"984,089",2,"1,714"
"Oct 07, 2022",896,"987,421",2,"1,718"
"Oct 08, 2022",898,"987,963",2,"1,719"
"Oct 09, 2022",896,"989,399",2,"1,721"
"Oct 10, 2022",901,"1,176,437",2,"1,720"
"Oct 11, 2022",899,"1,172,562",2,"1,722"
"Oct 12, 2022",897,"1,099,620",2,"1,722"
"Oct 13, 2022",896,"1,099,310",2,"1,726"
"Oct 14, 2022",898,"1,100,066",2,"1,732"
"Oct 15, 2022",901,"1,274,231",2,"1,737"
"Oct 16, 2022",901,"1,168,698",2,"1,738"
"Oct 17, 2022",900,"987,927",2,"1,738"
"Oct 18, 2022",901,"986,859",2,"1,737"
"Oct 19, 2022",902,"987,142",2,"1,740"
"Oct 20, 2022",901,"987,399",2,"1,742"
"Oct 21, 2022",907,"999,201",2,"1,743"
"Oct 22, 2022",905,"999,618",2,"1,743"
"Oct 23, 2022",906,"1,000,858",2,"1,745"
"Oct 24, 2022",905,"1,001,022",2,"1,747"
"Oct 25, 2022",904,"1,000,530",2,"1,748"
"Oct 26, 2022",907,"1,001,266",2,"1,747"
"Oct 27, 2022",909,"1,001,709",2,"1,748"
"Oct 28, 2022",910,"1,002,700",2,"1,749"
"Oct 29, 2022",912,"1,004,953",2,"1,751"
"Oct 30, 2022",910,"1,005,698",2,"1,752"
"Oct 31, 2022",910,"1,003,879",2,"1,752"
"Nov 01, 2022",909,"1,006,062",2,"1,754"
"Nov 02, 2022",912,"1,006,931",2,"1,753"
"Nov 03, 2022",911,"1,004,973",2,"1,752"
"Nov 04, 2022",911,"1,004,441",2,"1,753"
"Nov 05, 2022",914,"1,004,633",2,"1,755"
"Nov 06, 2022",915,"1,005,561",2,"1,755"
"Nov 07, 2022",915,"1,007,789",2,"1,757"
"Nov 08, 2022",915,"1,007,875",2,"1,758"
"Nov 09, 2022",913,"1,005,275",2,"1,758"
"Nov 10, 2022",914,"1,005,425",2,"1,758"
"Nov 11, 2022",914,"1,005,569",2,"1,759"
"Nov 12, 2022",912,"1,005,727",2,"1,761"
"Nov 13, 2022",912,"1,005,899",2,"1,761"
"Nov 14, 2022",911,"1,006,061",2,"1,762"
"Nov 15, 2022",908,"1,006,154",2,"1,763"
"Nov 16, 2022",914,"1,006,481",2,"1,764"
"Nov 17, 2022",914,"1,006,580",2,"1,765"
"Nov 18, 2022",902,"1,005,925",2,"1,764"
"Nov 19, 2022",900,"1,005,819",2,"1,762"
"Nov 20, 2022",902,"1,006,043",2,"1,766"
"Nov 21, 2022",907,"1,006,296",2,"1,767"
"Nov 22, 2022",909,"1,006,535",2,"1,770"
"Nov 23, 2022",908,"1,006,901",2,"1,772"
"Nov 24, 2022",911,"1,007,222",2,"1,776"
"Nov 25, 2022",916,"1,007,711",2,"1,777"
"Nov 26, 2022",916,"1,007,600",2,"1,779"
"Nov 27, 2022",918,"1,008,490",2,"1,783"
"Nov 28, 2022",917,"1,008,670",2,"1,786"
"Nov 29, 2022",913,"1,008,747",2,"1,788"
"Nov 30, 2022",915,"1,008,801",2,"1,789"
"Dec 01, 2022",918,"1,008,873",2,"1,788"
"Dec 02, 2022",921,"1,007,772",2,"1,789"
"Dec 03, 2022",913,"1,007,454",2,"1,794"
"Dec 04, 2022",914,"1,006,374",2,"1,796"
"Dec 05, 2022",903,"1,007,033",1,216
"Dec 06, 2022",902,"1,009,023",2,"1,799"
"Dec 07, 2022",899,"1,009,261",2,"1,802"
"Dec 08, 2022",895,"1,009,336",2,"1,802"
"Dec 09, 2022",889,"1,008,913",2,"1,802"
"Dec 10, 2022",889,"1,009,719",2,"1,816"
"Dec 11, 2022",885,"1,014,467",2,"1,816"
"Dec 12, 2022",880,"1,013,548",2,"1,815"
"Dec 13, 2022",879,"1,013,722",2,"1,815"
"Dec 14, 2022",876,"1,013,601",2,"1,815"
"Dec 15, 2022",875,"1,013,616",2,"1,815"
"Dec 16, 2022",880,"1,012,720",2,"1,828"
"Dec 17, 2022",880,"1,012,196",2,"1,829"
"Dec 18, 2022",888,"1,024,973",2,"1,830"
"Dec 19, 2022",893,"1,025,816",2,"1,831"
"Dec 20, 2022",891,"1,009,585",2,"1,833"
"Dec 21, 2022",897,"1,026,091",2,"1,835"
"Dec 22, 2022",899,"1,025,000",2,"1,837"
"Dec 23, 2022",894,"1,022,619",2,"1,838"
"Dec 24, 2022",884,"1,020,979",2,"1,838"
"Dec 25, 2022",880,"1,007,061",2,"1,840"
"Dec 26, 2022",872,"1,023,721",2,"1,845"
"Dec 27, 2022",877,"1,025,922",2,"1,846"
"Dec 28, 2022",874,"1,030,153",2,"1,845"
"Dec 29, 2022",864,"1,026,104",2,"1,847"
"Dec 30, 2022",858,"1,025,925",2,"1,847"
"Dec 31, 2022",849,"1,021,785",2,"1,847"
"Jan 01, 2023",841,"1,024,511",2,"1,851"
"Jan 02, 2023",846,"1,026,977",2,"1,854"
"Jan 03, 2023",841,"1,023,487",1,215
"Jan 04, 2023",834,"1,023,746",1,215
"Jan 05, 2023",822,"1,020,634",1,215
"Jan 06, 2023",809,"1,020,542",1,215
"Jan 07, 2023",810,"1,020,518",1,215
"Jan 08, 2023",811,"1,020,548",1,215
"Jan 09, 2023",812,"1,021,106",1,215
"Jan 10, 2023",823,"1,028,141",2,"1,868"
"Jan 11, 2023",837,"1,031,454",2,"1,870"
"Jan 12, 2023",841,"1,032,529",2,"1,872"
"Jan 13, 2023",845,"1,032,002",2,"1,874"
"Jan 14, 2023",847,"1,032,197",2,"1,877"
"Jan 15, 2023",852,"1,033,271",2,"1,883"
