"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",10349504,23270
"2023-05-13 00:00:00",10326234,20838
"2023-05-12 00:00:00",10305396,19822
"2023-05-11 00:00:00",10285574,0
"2023-05-10 00:00:00",10285574,18588
"2023-05-09 00:00:00",10266986,25376
"2023-05-08 00:00:00",10241611,25376
"2023-05-07 00:00:00",10216235,19293
"2023-05-06 00:00:00",10196942,19996
"2023-05-05 00:00:00",10176946,0
"2023-05-04 00:00:00",10176946,36383
"2023-05-03 00:00:00",10140563,0
"2023-05-02 00:00:00",10140563,32919
"2023-05-01 00:00:00",10107644,0
"2023-04-30 00:00:00",10107644,29888
"2023-04-29 00:00:00",10077756,29888
"2023-04-28 00:00:00",10047868,20013
"2023-04-27 00:00:00",10027856,20013
"2023-04-26 00:00:00",10007843,18432
"2023-04-25 00:00:00",9989412,18432
"2023-04-24 00:00:00",9970980,22283
"2023-04-23 00:00:00",9948697,22698
"2023-04-22 00:00:00",9925999,19168
"2023-04-21 00:00:00",9906831,19168
"2023-04-20 00:00:00",9887663,17405
"2023-04-19 00:00:00",9870259,17405
"2023-04-18 00:00:00",9852854,16634
"2023-04-17 00:00:00",9836220,19713
"2023-04-16 00:00:00",9816507,19295
"2023-04-15 00:00:00",9797212,18303
"2023-04-14 00:00:00",9778909,17973
"2023-04-13 00:00:00",9760936,17275
"2023-04-12 00:00:00",9743661,16689
"2023-04-11 00:00:00",9726972,15631
"2023-04-10 00:00:00",9711341,18965
"2023-04-09 00:00:00",9692376,0
"2023-04-08 00:00:00",9692376,38929
"2023-04-07 00:00:00",9653447,18950
"2023-04-06 00:00:00",9634497,18252
"2023-04-05 00:00:00",9616245,18007
"2023-04-04 00:00:00",9598238,17964
"2023-04-03 00:00:00",9580274,20976
"2023-04-02 00:00:00",9559298,21134
"2023-04-01 00:00:00",9538164,21383
"2023-03-31 00:00:00",9516781,0
"2023-03-30 00:00:00",9516781,43548
"2023-03-29 00:00:00",9473233,0
"2023-03-28 00:00:00",9473233,20962
"2023-03-27 00:00:00",9452271,44542
"2023-03-26 00:00:00",9407729,25116
"2023-03-25 00:00:00",9382613,23337
"2023-03-24 00:00:00",9359276,21685
"2023-03-23 00:00:00",9337591,20421
"2023-03-22 00:00:00",9317170,19708
"2023-03-21 00:00:00",9297462,0
"2023-03-20 00:00:00",9297462,43724
"2023-03-19 00:00:00",9253738,0
"2023-03-18 00:00:00",9253738,54158
"2023-03-17 00:00:00",9199580,28214
"2023-03-16 00:00:00",9171366,25607
"2023-03-15 00:00:00",9145759,0
"2023-03-14 00:00:00",9145759,25036
"2023-03-13 00:00:00",9120723,52159
"2023-03-12 00:00:00",9068564,28394
"2023-03-11 00:00:00",9040170,29148
"2023-03-10 00:00:00",9011022,31692
"2023-03-09 00:00:00",8979330,31133
"2023-03-08 00:00:00",8948197,25839
"2023-03-07 00:00:00",8922358,24826
"2023-03-06 00:00:00",8897532,28555
"2023-03-05 00:00:00",8868977,29640
"2023-03-04 00:00:00",8839337,26769
"2023-03-03 00:00:00",8812568,26038
"2023-03-02 00:00:00",8786530,26258
"2023-03-01 00:00:00",8760272,25114
"2023-02-28 00:00:00",8735158,23141
"2023-02-27 00:00:00",8712017,0
"2023-02-26 00:00:00",8712017,57603
"2023-02-25 00:00:00",8654414,30107
"2023-02-24 00:00:00",8624307,27239
"2023-02-23 00:00:00",8597068,27057
"2023-02-22 00:00:00",8570011,27622
"2023-02-21 00:00:00",8542389,26277
"2023-02-20 00:00:00",8516112,31916
"2023-02-19 00:00:00",8484196,32548
"2023-02-18 00:00:00",8451648,30692
"2023-02-17 00:00:00",8420956,31694
"2023-02-16 00:00:00",8389262,33167
"2023-02-15 00:00:00",8356095,30243
"2023-02-14 00:00:00",8325852,31663
"2023-02-13 00:00:00",8294189,35683
"2023-02-12 00:00:00",8258506,38025
"2023-02-11 00:00:00",8220481,0
"2023-02-10 00:00:00",8220481,65041
"2023-02-09 00:00:00",8155440,36285
"2023-02-08 00:00:00",8119155,0
"2023-02-07 00:00:00",8119155,35201
"2023-02-06 00:00:00",8083954,18466
"2023-02-05 00:00:00",8065488,40920
"2023-02-04 00:00:00",8024568,19111
"2023-02-03 00:00:00",8005457,17761
"2023-02-02 00:00:00",7987696,16611
"2023-02-01 00:00:00",7971085,15872
"2023-01-31 00:00:00",7955213,15447
"2023-01-30 00:00:00",7939766,18653
