Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 16, 2022",275,"965,180",,
"Jul 17, 2022",329,"965,360",1,218
"Jul 18, 2022",384,"973,141",1,218
"Jul 19, 2022",426,"995,474",1,218
"Jul 20, 2022",448,"999,615",1,218
"Jul 21, 2022",477,"999,763",1,218
"Jul 22, 2022",498,"1,009,220",1,218
"Jul 23, 2022",514,"1,009,102",1,218
"Jul 24, 2022",517,"1,008,169",1,218
"Jul 25, 2022",531,"1,008,516",1,218
"Jul 26, 2022",541,"1,010,414",1,218
"Jul 27, 2022",551,"1,011,705",1,218
"Jul 28, 2022",566,"991,235",1,218
"Jul 29, 2022",579,"996,577",1,218
"Jul 30, 2022",587,"980,450",1,218
"Jul 31, 2022",595,"980,515",1,218
"Aug 01, 2022",607,"980,518",1,218
"Aug 02, 2022",618,"981,338",1,218
"Aug 03, 2022",620,"986,990",1,218
"Aug 04, 2022",631,"987,400",1,218
"Aug 05, 2022",638,"988,132",1,218
"Aug 06, 2022",639,"982,058",1,218
"Aug 07, 2022",638,"982,392",1,218
"Aug 08, 2022",642,"982,206",1,218
"Aug 09, 2022",644,"982,678",1,218
"Aug 10, 2022",651,"982,967",1,218
"Aug 11, 2022",662,"989,059",1,218
"Aug 12, 2022",668,"989,493",1,218
"Aug 13, 2022",673,"984,424",1,218
"Aug 14, 2022",672,"984,274",1,218
"Aug 15, 2022",672,"986,862",1,218
"Aug 16, 2022",670,"986,598",1,218
"Aug 17, 2022",671,"986,988",1,218
"Aug 18, 2022",681,"988,305",1,218
"Aug 19, 2022",683,"988,935",1,218
"Aug 20, 2022",687,"989,248",1,218
"Aug 21, 2022",690,"989,670",1,218
"Aug 22, 2022",695,"989,999",1,218
"Aug 23, 2022",697,"990,389",1,218
"Aug 24, 2022",701,"990,651",1,218
"Aug 25, 2022",702,"990,824",1,218
"Aug 26, 2022",702,"991,177",1,218
"Aug 27, 2022",701,"991,462",1,218
"Aug 28, 2022",699,"991,747",1,218
"Aug 29, 2022",700,"991,318",1,218
"Aug 30, 2022",701,"992,618",1,218
"Aug 31, 2022",706,"992,772",1,218
"Sep 01, 2022",712,"993,502",1,217
"Sep 02, 2022",711,"993,495",1,217
"Sep 03, 2022",715,"993,763",1,217
"Sep 04, 2022",713,"986,779",1,217
"Sep 05, 2022",715,"987,003",1,217
"Sep 06, 2022",716,"984,967",1,217
"Sep 07, 2022",714,"985,091",1,217
"Sep 08, 2022",715,"985,475",1,217
"Sep 09, 2022",717,"985,725",1,217
"Sep 10, 2022",717,"985,891",1,217
"Sep 11, 2022",715,"985,925",1,217
"Sep 12, 2022",715,"985,589",1,217
"Sep 13, 2022",719,"985,822",1,217
"Sep 14, 2022",723,"986,080",1,217
