"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",11925885,26039
"2023-05-13 00:00:00",11899846,22807
"2023-05-12 00:00:00",11877039,25615
"2023-05-11 00:00:00",11851424,0
"2023-05-10 00:00:00",11851424,23860
"2023-05-09 00:00:00",11827564,33508
"2023-05-08 00:00:00",11794056,33508
"2023-05-07 00:00:00",11760548,25435
"2023-05-06 00:00:00",11735113,26210
"2023-05-05 00:00:00",11708903,0
"2023-05-04 00:00:00",11708903,23829
"2023-05-03 00:00:00",11685074,22430
"2023-05-02 00:00:00",11662644,42387
"2023-05-01 00:00:00",11620257,0
"2023-04-30 00:00:00",11620257,37315
"2023-04-29 00:00:00",11582942,37315
"2023-04-28 00:00:00",11545627,24933
"2023-04-27 00:00:00",11520694,24933
"2023-04-26 00:00:00",11495761,22926
"2023-04-25 00:00:00",11472835,22926
"2023-04-24 00:00:00",11449909,27925
"2023-04-23 00:00:00",11421984,27946
"2023-04-22 00:00:00",11394038,23392
"2023-04-21 00:00:00",11370646,23392
"2023-04-20 00:00:00",11347254,22361
"2023-04-19 00:00:00",11324894,22361
"2023-04-18 00:00:00",11302533,21707
"2023-04-17 00:00:00",11280826,26148
"2023-04-16 00:00:00",11254678,26945
"2023-04-15 00:00:00",11227733,25516
"2023-04-14 00:00:00",11202217,25241
"2023-04-13 00:00:00",11176976,23447
"2023-04-12 00:00:00",11153529,22222
"2023-04-11 00:00:00",11131307,21330
"2023-04-10 00:00:00",11109977,25698
"2023-04-09 00:00:00",11084279,0
"2023-04-08 00:00:00",11084279,52111
"2023-04-07 00:00:00",11032168,25242
"2023-04-06 00:00:00",11006926,24573
"2023-04-05 00:00:00",10982353,23651
"2023-04-04 00:00:00",10958702,23320
"2023-04-03 00:00:00",10935382,27974
"2023-04-02 00:00:00",10907408,27953
"2023-04-01 00:00:00",10879455,27028
"2023-03-31 00:00:00",10852427,0
"2023-03-30 00:00:00",10852427,53158
"2023-03-29 00:00:00",10799269,0
"2023-03-28 00:00:00",10799269,25202
"2023-03-27 00:00:00",10774067,56541
"2023-03-26 00:00:00",10717526,31337
"2023-03-25 00:00:00",10686189,29784
"2023-03-24 00:00:00",10656405,29301
"2023-03-23 00:00:00",10627104,26972
"2023-03-22 00:00:00",10600132,26180
"2023-03-21 00:00:00",10573952,0
"2023-03-20 00:00:00",10573952,59710
"2023-03-19 00:00:00",10514242,0
"2023-03-18 00:00:00",10514242,74601
"2023-03-17 00:00:00",10439641,37600
"2023-03-16 00:00:00",10402041,34117
"2023-03-15 00:00:00",10367924,33728
"2023-03-14 00:00:00",10334196,0
"2023-03-13 00:00:00",10334196,69921
"2023-03-12 00:00:00",10264275,37096
"2023-03-11 00:00:00",10227179,38439
"2023-03-10 00:00:00",10188740,40851
"2023-03-09 00:00:00",10147889,39853
"2023-03-08 00:00:00",10108036,33950
"2023-03-07 00:00:00",10074086,32741
"2023-03-06 00:00:00",10041345,38018
"2023-03-05 00:00:00",10003327,39729
"2023-03-04 00:00:00",9963598,35892
"2023-03-03 00:00:00",9927706,36533
"2023-03-02 00:00:00",9891173,36867
"2023-03-01 00:00:00",9854306,35114
"2023-02-28 00:00:00",9819192,32362
"2023-02-27 00:00:00",9786830,0
"2023-02-26 00:00:00",9786830,80892
"2023-02-25 00:00:00",9705938,42625
"2023-02-24 00:00:00",9663313,37956
"2023-02-23 00:00:00",9625357,37188
"2023-02-22 00:00:00",9588169,38095
"2023-02-21 00:00:00",9550074,36610
"2023-02-20 00:00:00",9513464,45095
"2023-02-19 00:00:00",9468369,44592
