Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 16, 2022",246,"2,302,373",1,"1,742,475"
"Jul 17, 2022",313,"2,725,158",2,"1,742,865"
"Jul 18, 2022",360,"2,732,539",2,"1,743,016"
"Jul 19, 2022",392,"2,733,519",2,"1,743,162"
"Jul 20, 2022",411,"2,736,793",2,"1,743,326"
"Jul 21, 2022",439,"2,308,496",2,"1,743,470"
"Jul 22, 2022",475,"2,315,500",2,"1,743,621"
"Jul 23, 2022",494,"2,319,094",2,"1,743,774"
"Jul 24, 2022",506,"2,318,429",2,"1,743,916"
"Jul 25, 2022",515,"2,316,597",2,"1,744,027"
"Jul 26, 2022",523,"2,318,030",2,"1,744,157"
"Jul 27, 2022",530,"2,322,564",2,"1,744,341"
"Jul 28, 2022",545,"2,408,382",2,"1,744,454"
"Jul 29, 2022",565,"2,415,958",2,"1,744,581"
"Jul 30, 2022",577,"2,317,020",2,"1,744,736"
"Jul 31, 2022",580,"570,182",1,218
"Aug 01, 2022",590,"571,144",1,218
"Aug 02, 2022",597,"570,313",1,218
"Aug 03, 2022",599,"568,806",1,218
"Aug 04, 2022",610,"630,237",1,218
"Aug 05, 2022",623,"630,542",1,218
"Aug 06, 2022",632,"630,234",1,218
"Aug 07, 2022",636,"633,530",1,218
"Aug 08, 2022",640,"633,124",1,218
"Aug 09, 2022",641,"633,345",1,218
"Aug 10, 2022",646,"633,500",1,218
"Aug 11, 2022",651,"633,940",1,218
"Aug 12, 2022",665,"634,175",1,218
"Aug 13, 2022",667,"634,366",1,218
"Aug 14, 2022",663,"629,758",1,218
"Aug 15, 2022",665,"632,280",1,218
"Aug 16, 2022",667,"632,167",1,218
"Aug 17, 2022",667,"632,268",1,218
"Aug 18, 2022",674,"634,610",1,218
"Aug 19, 2022",673,"634,877",1,218
"Aug 20, 2022",675,"633,404",1,218
"Aug 21, 2022",679,"633,738",1,218
"Aug 22, 2022",681,"633,799",1,218
"Aug 23, 2022",679,"633,985",1,218
"Aug 24, 2022",681,"634,529",1,218
"Aug 25, 2022",682,"634,609",1,218
"Aug 26, 2022",683,"634,751",1,218
