"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",5714187,8560
"2023-05-13 00:00:00",5705627,7544
"2023-05-12 00:00:00",5698083,8381
"2023-05-11 00:00:00",5689702,0
"2023-05-10 00:00:00",5689702,7851
"2023-05-09 00:00:00",5681851,9981
"2023-05-08 00:00:00",5671870,9981
"2023-05-07 00:00:00",5661889,7513
"2023-05-06 00:00:00",5654376,8354
"2023-05-05 00:00:00",5646022,0
"2023-05-04 00:00:00",5646022,15439
"2023-05-03 00:00:00",5630583,0
"2023-05-02 00:00:00",5630583,13140
"2023-05-01 00:00:00",5617443,0
"2023-04-30 00:00:00",5617443,11182
"2023-04-29 00:00:00",5606262,11182
"2023-04-28 00:00:00",5595080,7981
"2023-04-27 00:00:00",5587100,7981
"2023-04-26 00:00:00",5579119,7052
"2023-04-25 00:00:00",5572068,7052
"2023-04-24 00:00:00",5565016,7867
"2023-04-23 00:00:00",5557149,8176
"2023-04-22 00:00:00",5548973,6903
"2023-04-21 00:00:00",5542070,6903
"2023-04-20 00:00:00",5535167,6663
"2023-04-19 00:00:00",5528505,6663
"2023-04-18 00:00:00",5521842,6001
"2023-04-17 00:00:00",5515841,7026
"2023-04-16 00:00:00",5508815,7624
"2023-04-15 00:00:00",5501191,7722
"2023-04-14 00:00:00",5493469,7880
"2023-04-13 00:00:00",5485589,7675
"2023-04-12 00:00:00",5477914,7254
"2023-04-11 00:00:00",5470660,6282
"2023-04-10 00:00:00",5464378,7135
"2023-04-09 00:00:00",5457243,0
"2023-04-08 00:00:00",5457243,15775
"2023-04-07 00:00:00",5441468,7738
"2023-04-06 00:00:00",5433730,7367
"2023-04-05 00:00:00",5426363,7433
"2023-04-04 00:00:00",5418930,6935
"2023-04-03 00:00:00",5411995,7712
"2023-04-02 00:00:00",5404283,8066
"2023-04-01 00:00:00",5396217,8090
"2023-03-31 00:00:00",5388127,0
"2023-03-30 00:00:00",5388127,15975
"2023-03-29 00:00:00",5372152,0
"2023-03-28 00:00:00",5372152,7912
"2023-03-27 00:00:00",5364240,15450
"2023-03-26 00:00:00",5348790,8769
"2023-03-25 00:00:00",5340021,9608
"2023-03-24 00:00:00",5330413,9100
"2023-03-23 00:00:00",5321313,8957
"2023-03-22 00:00:00",5312356,8537
"2023-03-21 00:00:00",5303819,0
"2023-03-20 00:00:00",5303819,17856
"2023-03-19 00:00:00",5285963,0
"2023-03-18 00:00:00",5285963,24579
"2023-03-17 00:00:00",5261384,13418
"2023-03-16 00:00:00",5247966,12572
"2023-03-15 00:00:00",5235394,12244
"2023-03-14 00:00:00",5223150,0
"2023-03-13 00:00:00",5223150,22119
"2023-03-12 00:00:00",5201031,12086
"2023-03-11 00:00:00",5188945,13531
"2023-03-10 00:00:00",5175414,15183
"2023-03-09 00:00:00",5160231,15603
"2023-03-08 00:00:00",5144628,11852
"2023-03-07 00:00:00",5132776,10235
"2023-03-06 00:00:00",5122541,11198
"2023-03-05 00:00:00",5111343,12566
"2023-03-04 00:00:00",5098777,11909
"2023-03-03 00:00:00",5086868,11747
"2023-03-02 00:00:00",5075121,12294
"2023-03-01 00:00:00",5062827,12102
"2023-02-28 00:00:00",5050725,10303
"2023-02-27 00:00:00",5040422,0
"2023-02-26 00:00:00",5040422,25435
"2023-02-25 00:00:00",5014987,15196
"2023-02-24 00:00:00",4999791,13394
"2023-02-23 00:00:00",4986397,13317
"2023-02-22 00:00:00",4973080,13395
"2023-02-21 00:00:00",4959685,11501
"2023-02-20 00:00:00",4948184,14053
"2023-02-19 00:00:00",4934131,15377
"2023-02-18 00:00:00",4918754,15417
"2023-02-17 00:00:00",4903337,15970
"2023-02-16 00:00:00",4887367,16727
"2023-02-15 00:00:00",4870640,14887
"2023-02-14 00:00:00",4855753,14693
"2023-02-13 00:00:00",4841060,15123
"2023-02-12 00:00:00",4825937,17795
"2023-02-11 00:00:00",4808142,0
"2023-02-10 00:00:00",4808142,32351
"2023-02-09 00:00:00",4775791,19783
"2023-02-08 00:00:00",4756008,0
"2023-02-07 00:00:00",4756008,19886
"2023-02-06 00:00:00",4736122,7547
"2023-02-05 00:00:00",4728575,16695
"2023-02-04 00:00:00",4711880,8258
"2023-02-03 00:00:00",4703622,7706
"2023-02-02 00:00:00",4695916,7445
"2023-02-01 00:00:00",4688471,7525
"2023-01-31 00:00:00",4680946,6410
"2023-01-30 00:00:00",4674536,7323
"2023-01-29 00:00:00",4667213,7627
"2023-01-28 00:00:00",4659586,0
"2023-01-27 00:00:00",4659586,15147
"2023-01-26 00:00:00",4644439,7858
"2023-01-25 00:00:00",4636581,8103
"2023-01-24 00:00:00",4628478,6771
"2023-01-23 00:00:00",4621707,7600
"2023-01-22 00:00:00",4614107,8413
"2023-01-21 00:00:00",4605694,0
"2023-01-20 00:00:00",4605694,16928
"2023-01-19 00:00:00",4588766,8542
"2023-01-18 00:00:00",4580224,8080
"2023-01-17 00:00:00",4572144,7507
"2023-01-16 00:00:00",4564637,8053
"2023-01-15 00:00:00",4556584,9293
"2023-01-14 00:00:00",4547291,8945
"2023-01-13 00:00:00",4538346,8761
"2023-01-12 00:00:00",4529585,8824
"2023-01-11 00:00:00",4520761,9014
"2023-01-10 00:00:00",4511747,7715
"2023-01-09 00:00:00",4504032,8792
"2023-01-08 00:00:00",4495240,9065
"2023-01-07 00:00:00",4486175,8835
"2023-01-06 00:00:00",4477340,8868
"2023-01-05 00:00:00",4468472,8794
"2023-01-04 00:00:00",4459678,0
"2023-01-03 00:00:00",4459678,15032
"2023-01-02 00:00:00",4444646,8754
"2023-01-01 00:00:00",4435892,8244
"2022-12-31 00:00:00",4427648,8055
"2022-12-30 00:00:00",4419593,7726
"2022-12-29 00:00:00",4411867,7323
"2022-12-28 00:00:00",4404544,6150
"2022-12-27 00:00:00",4398394,4318
"2022-12-26 00:00:00",4394076,0
"2022-12-25 00:00:00",4394076,13704
"2022-12-24 00:00:00",4380372,8022
"2022-12-23 00:00:00",4372350,8391
"2022-12-22 00:00:00",4363959,8470
"2022-12-21 00:00:00",4355489,8118
"2022-12-20 00:00:00",4347371,7076
"2022-12-19 00:00:00",4340295,7913
"2022-12-18 00:00:00",4332382,8252
"2022-12-17 00:00:00",4324130,7913
"2022-12-16 00:00:00",4316217,7799
"2022-12-15 00:00:00",4308418,7740
"2022-12-14 00:00:00",4300678,7633
"2022-12-13 00:00:00",4293045,6614
"2022-12-12 00:00:00",4286431,8057
"2022-12-11 00:00:00",4278374,8729
"2022-12-10 00:00:00",4269645,8822
"2022-12-09 00:00:00",4260823,9076
"2022-12-08 00:00:00",4251747,8898
"2022-12-07 00:00:00",4242849,9386
"2022-12-06 00:00:00",4233463,9865
"2022-12-05 00:00:00",4223599,9865
"2022-12-04 00:00:00",4213734,9865
"2022-12-03 00:00:00",4203870,9865
"2022-12-02 00:00:00",4194005,9865
"2022-12-01 00:00:00",4184141,9865
"2022-11-30 00:00:00",4174276,9507
