Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 16, 2022",243,"3,862,053",3,"3,332,319"
"Jul 17, 2022",299,"4,290,438",4,"3,333,025"
"Jul 18, 2022",341,"4,292,887",4,"3,333,583"
"Jul 19, 2022",376,"4,293,661",4,"3,334,073"
"Jul 20, 2022",405,"4,296,596",4,"3,334,629"
"Jul 21, 2022",425,"4,296,212",4,"3,335,083"
"Jul 22, 2022",454,"4,300,370",4,"3,335,602"
"Jul 23, 2022",463,"3,946,921",3,"2,982,325"
"Jul 24, 2022",468,"3,939,410",3,"2,982,804"
"Jul 25, 2022",480,"3,939,451",3,"2,983,292"
"Jul 26, 2022",488,"3,941,732",3,"2,983,768"
"Jul 27, 2022",497,"4,114,534",3,"2,984,195"
"Jul 28, 2022",509,"4,115,649",3,"2,984,613"
"Jul 29, 2022",525,"3,944,953",3,"2,985,023"
"Jul 30, 2022",530,"3,931,671",4,"2,986,465"
"Jul 31, 2022",537,"3,931,456",4,"2,986,933"
"Aug 01, 2022",550,"3,932,277",4,"2,987,382"
"Aug 02, 2022",560,"3,934,780",4,"2,987,765"
"Aug 03, 2022",561,"3,934,119",4,"2,988,205"
"Aug 04, 2022",565,"3,935,376",4,"2,988,714"
"Aug 05, 2022",572,"3,935,863",4,"2,989,135"
"Aug 06, 2022",573,"3,935,899",4,"2,989,612"
"Aug 07, 2022",575,"3,936,521",4,"2,990,029"
"Aug 08, 2022",581,"3,937,423",4,"2,990,429"
"Aug 09, 2022",585,"3,938,189",4,"2,990,823"
"Aug 10, 2022",585,"3,938,785",4,"2,991,201"
"Aug 11, 2022",592,"3,940,367",4,"2,991,607"
"Aug 12, 2022",598,"3,940,604",4,"2,992,017"
"Aug 13, 2022",602,"3,941,489",4,"2,992,547"
"Aug 14, 2022",600,"3,942,393",4,"2,993,105"
"Aug 15, 2022",603,"3,945,476",4,"2,993,703"
"Aug 16, 2022",604,"3,946,164",4,"2,994,250"
"Aug 17, 2022",608,"3,947,159",4,"2,994,844"
"Aug 18, 2022",621,"3,948,923",4,"2,995,395"
"Aug 19, 2022",626,"3,950,334",4,"2,996,016"
"Aug 20, 2022",628,"3,948,967",4,"2,996,554"
"Aug 21, 2022",629,"1,688,276",3,"734,904"
"Aug 22, 2022",632,"1,688,817",3,"735,176"
"Aug 23, 2022",630,"1,690,081",3,"735,468"
"Aug 24, 2022",630,"1,690,460",3,"735,761"
"Aug 25, 2022",634,"1,691,101",3,"736,068"
"Aug 26, 2022",637,"1,692,182",3,"736,378"
"Aug 27, 2022",636,"1,692,553",3,"736,565"
"Aug 28, 2022",636,"1,692,999",3,"736,742"
"Aug 29, 2022",637,"1,693,451",3,"736,921"
"Aug 30, 2022",638,"1,693,984",3,"737,114"
"Aug 31, 2022",640,"1,694,450",3,"737,257"
"Sep 01, 2022",643,"1,694,951",3,"737,439"
"Sep 02, 2022",642,"1,695,274",3,"737,477"
"Sep 03, 2022",644,"959,245",2,"1,225"
"Sep 04, 2022",646,"959,386",2,"1,224"
"Sep 05, 2022",650,"959,760",2,"1,225"
"Sep 06, 2022",654,"958,435",2,"1,225"
"Sep 07, 2022",653,"958,656",2,"1,225"
"Sep 08, 2022",653,"958,912",2,"1,226"
"Sep 09, 2022",653,"959,113",2,"1,229"
"Sep 10, 2022",654,"959,344",2,"1,232"
"Sep 11, 2022",652,"959,353",2,"1,234"
"Sep 12, 2022",656,"959,668",2,"1,235"
"Sep 13, 2022",659,"960,509",2,"1,236"
"Sep 14, 2022",662,"960,767",2,"1,236"
"Sep 15, 2022",663,"961,000",2,"1,236"
"Sep 16, 2022",663,"961,377",2,"1,237"
"Sep 17, 2022",664,"961,667",2,"1,237"
"Sep 18, 2022",663,"961,927",2,"1,238"
"Sep 19, 2022",666,"962,825",2,"1,238"
"Sep 20, 2022",670,"963,210",2,"1,238"
"Sep 21, 2022",671,"963,393",2,"1,239"
"Sep 22, 2022",670,"963,091",2,"1,243"
"Sep 23, 2022",674,"963,483",2,"1,243"
"Sep 24, 2022",672,"963,690",2,"1,247"
"Sep 25, 2022",674,"964,522",2,"1,247"
"Sep 26, 2022",675,"964,790",2,"1,248"
"Sep 27, 2022",677,"965,197",2,"1,249"
"Sep 28, 2022",678,"966,002",2,"1,250"
"Sep 29, 2022",677,"966,309",2,"1,250"
"Sep 30, 2022",680,"978,246",2,"1,251"
"Oct 01, 2022",681,"978,568",2,"1,251"
"Oct 02, 2022",682,"978,892",2,"1,251"
"Oct 03, 2022",685,"979,208",2,"1,251"
"Oct 04, 2022",686,"979,520",2,"1,251"
"Oct 05, 2022",687,"979,888",2,"1,251"
"Oct 06, 2022",688,"980,199",2,"1,254"
"Oct 07, 2022",688,"980,521",2,"1,256"
"Oct 08, 2022",689,"981,007",2,"1,257"
"Oct 09, 2022",689,"981,421",2,"1,257"
"Oct 10, 2022",691,"981,746",2,"1,257"
"Oct 11, 2022",693,"982,021",2,"1,258"
"Oct 12, 2022",691,"982,231",2,"1,257"
"Oct 13, 2022",690,"982,461",2,"1,257"
