"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",7304828,12950
"2023-05-13 00:00:00",7291878,11299
"2023-05-12 00:00:00",7280579,12609
"2023-05-11 00:00:00",7267970,0
"2023-05-10 00:00:00",7267970,11854
"2023-05-09 00:00:00",7256116,14861
"2023-05-08 00:00:00",7241255,14861
"2023-05-07 00:00:00",7226394,11382
"2023-05-06 00:00:00",7215012,12348
"2023-05-05 00:00:00",7202664,0
"2023-05-04 00:00:00",7202664,11066
"2023-05-03 00:00:00",7191598,10559
"2023-05-02 00:00:00",7181039,18650
"2023-05-01 00:00:00",7162389,0
"2023-04-30 00:00:00",7162389,16179
"2023-04-29 00:00:00",7146211,16179
"2023-04-28 00:00:00",7130032,11429
"2023-04-27 00:00:00",7118604,11429
"2023-04-26 00:00:00",7107175,10424
"2023-04-25 00:00:00",7096751,10424
"2023-04-24 00:00:00",7086327,11834
"2023-04-23 00:00:00",7074493,12062
"2023-04-22 00:00:00",7062431,10499
"2023-04-21 00:00:00",7051932,10499
"2023-04-20 00:00:00",7041433,9750
"2023-04-19 00:00:00",7031683,9750
"2023-04-18 00:00:00",7021933,9081
"2023-04-17 00:00:00",7012852,10611
"2023-04-16 00:00:00",7002241,10934
"2023-04-15 00:00:00",6991307,10434
"2023-04-14 00:00:00",6980873,10464
"2023-04-13 00:00:00",6970409,10221
"2023-04-12 00:00:00",6960188,9689
"2023-04-11 00:00:00",6950499,8939
"2023-04-10 00:00:00",6941560,10981
"2023-04-09 00:00:00",6930579,0
"2023-04-08 00:00:00",6930579,22527
"2023-04-07 00:00:00",6908052,10839
"2023-04-06 00:00:00",6897213,10498
"2023-04-05 00:00:00",6886715,10608
"2023-04-04 00:00:00",6876107,9766
"2023-04-03 00:00:00",6866341,11419
"2023-04-02 00:00:00",6854922,11875
"2023-04-01 00:00:00",6843047,11623
"2023-03-31 00:00:00",6831424,0
"2023-03-30 00:00:00",6831424,23527
"2023-03-29 00:00:00",6807897,0
"2023-03-28 00:00:00",6807897,11181
"2023-03-27 00:00:00",6796716,23200
