Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 16, 2022",420,"668,187",,
"Jul 17, 2022",523,"1,177,642",1,218
"Jul 18, 2022",605,"1,184,097",1,218
"Jul 19, 2022",677,"1,110,072",1,218
"Jul 20, 2022",725,"1,112,791",1,218
"Jul 21, 2022",785,"1,115,714",1,218
"Jul 22, 2022",829,"1,123,449",1,218
"Jul 23, 2022",868,"1,141,990",1,218
"Jul 24, 2022",885,"1,134,107",1,218
"Jul 25, 2022",910,"1,210,779",1,218
"Jul 26, 2022",933,"1,218,428",1,218
"Jul 27, 2022",951,"1,134,036",1,218
"Jul 28, 2022",977,"1,143,452",1,218
"Jul 29, 2022","1,013","1,151,456",1,218
"Jul 30, 2022","1,030","1,154,000",1,218
"Jul 31, 2022","1,041","1,230,940",1,218
"Aug 01, 2022","1,060","1,227,280",1,218
"Aug 02, 2022","1,076","1,328,469",1,218
"Aug 03, 2022","1,082","1,249,089",1,218
"Aug 04, 2022","1,104","1,257,759",1,218
"Aug 05, 2022","1,128","1,256,609",1,218
"Aug 06, 2022","1,143","1,342,572",1,218
"Aug 07, 2022","1,154","1,345,384",1,218
"Aug 08, 2022","1,166","1,260,329",1,218
"Aug 09, 2022","1,176","1,260,161",1,218
"Aug 10, 2022","1,190","1,346,282",1,218
"Aug 11, 2022","1,199","1,330,805",1,218
"Aug 12, 2022","1,210","1,296,253",1,218
"Aug 13, 2022","1,220","1,289,564",1,218
"Aug 14, 2022","1,227","1,292,826",1,218
"Aug 15, 2022","1,234","1,288,333",1,218
"Aug 16, 2022","1,241","1,186,204",1,218
"Aug 17, 2022","1,248","1,187,928",1,218
"Aug 18, 2022","1,257","1,174,063",1,218
"Aug 19, 2022","1,264","1,174,123",1,218
"Aug 20, 2022","1,274","1,175,136",1,218
"Aug 21, 2022","1,285","1,265,303",1,218
"Aug 22, 2022","1,295","1,259,997",1,218
"Aug 23, 2022","1,294","1,257,563",1,218
"Aug 24, 2022","1,298","1,253,315",1,218
"Aug 25, 2022","1,305","1,166,653",1,218
"Aug 26, 2022","1,317","1,254,248",1,218
"Aug 27, 2022","1,317","1,255,805",1,218
"Aug 28, 2022","1,314","1,256,250",1,218
"Aug 29, 2022","1,316","1,256,418",1,218
"Aug 30, 2022","1,320","1,257,159",1,218
"Aug 31, 2022","1,326","1,167,356",1,218
"Sep 01, 2022","1,335","1,168,397",1,217
"Sep 02, 2022","1,343","1,169,920",1,217
"Sep 03, 2022","1,350","1,177,152",1,217
"Sep 04, 2022","1,351","1,175,866",1,217
"Sep 05, 2022","1,356","1,260,192",1,217
"Sep 06, 2022","1,361","1,259,628",1,217
"Sep 07, 2022","1,359","1,258,501",1,217
"Sep 08, 2022","1,361","1,170,099",1,217
"Sep 09, 2022","1,368","1,259,204",1,217
"Sep 10, 2022","1,374","1,259,734",1,217
"Sep 11, 2022","1,373","1,175,411",1,217
"Sep 12, 2022","1,378","1,178,730",1,217
"Sep 13, 2022","1,383","1,263,568",1,217
"Sep 14, 2022","1,397","1,264,120",1,217
"Sep 15, 2022","1,397","1,174,682",1,217
"Sep 16, 2022","1,403","1,175,545",1,217
"Sep 17, 2022","1,412","1,176,677",1,217
"Sep 18, 2022","1,416","1,175,322",1,217
"Sep 19, 2022","1,426","1,266,212",1,217
"Sep 20, 2022","1,431","1,267,805",1,217
"Sep 21, 2022","1,431","1,268,155",1,217
"Sep 22, 2022","1,443","1,269,756",1,217
"Sep 23, 2022","1,459","1,270,254",1,217
"Sep 24, 2022","1,462","1,270,393",1,217
"Sep 25, 2022","1,469","1,271,427",1,217
"Sep 26, 2022","1,479","1,272,474",1,217
"Sep 27, 2022","1,487","1,275,935",1,217
"Sep 28, 2022","1,493","1,186,108",1,217
"Sep 29, 2022","1,495","1,185,242",1,217
"Sep 30, 2022","1,507","1,186,095",1,217
"Oct 01, 2022","1,510","1,187,472",1,217
"Oct 02, 2022","1,514","1,186,705",1,217
"Oct 03, 2022","1,525","1,277,417",1,217
"Oct 04, 2022","1,532","1,278,330",1,217
"Oct 05, 2022","1,533","1,278,060",1,217
"Oct 06, 2022","1,530","1,276,440",1,217
"Oct 07, 2022","1,539","1,459,257",1,217
"Oct 08, 2022","1,544","1,369,110",1,217
"Oct 09, 2022","1,546","1,281,428",1,217
"Oct 10, 2022","1,547","1,280,409",1,217
"Oct 11, 2022","1,549","1,281,164",1,217
"Oct 12, 2022","1,554","1,200,076",1,217
"Oct 13, 2022","1,559","1,207,797",1,217
"Oct 14, 2022","1,564","1,199,556",1,217
"Oct 15, 2022","1,561","1,186,430",1,217
"Oct 16, 2022","1,565","1,197,491",1,217
"Oct 17, 2022","1,569","1,286,745",1,217
"Oct 18, 2022","1,573","1,286,678",1,217
"Oct 19, 2022","1,578","1,287,080",1,217
"Oct 20, 2022","1,578","1,287,528",1,217
"Oct 21, 2022","1,579","1,287,828",1,217
"Oct 22, 2022","1,576","1,288,248",1,217
"Oct 23, 2022","1,577","1,289,209",1,217
"Oct 24, 2022","1,580","1,289,509",1,217
"Oct 25, 2022","1,582","1,289,464",1,217
"Oct 26, 2022","1,586","1,290,927",1,217
"Oct 27, 2022","1,589","1,291,809",1,217
"Oct 28, 2022","1,596","1,378,436",1,217
"Oct 29, 2022","1,594","1,351,880",1,217
"Oct 30, 2022","1,595","1,253,218",1,217
"Oct 31, 2022","1,596","1,252,241",1,217
"Nov 01, 2022","1,595","1,252,356",1,217
"Nov 02, 2022","1,601","1,259,704",1,217
"Nov 03, 2022","1,606","1,260,667",1,217
"Nov 04, 2022","1,611","1,260,677",1,217
"Nov 05, 2022","1,609","1,260,255",1,217
"Nov 06, 2022","1,612","1,261,825",1,217
"Nov 07, 2022","1,612","1,262,601",1,217
"Nov 08, 2022","1,616","1,262,799",1,217
"Nov 09, 2022","1,624","1,263,086",1,217
"Nov 10, 2022","1,626","1,263,330",1,217
"Nov 11, 2022","1,627","1,266,607",1,217
"Nov 12, 2022","1,626","1,266,878",1,217
"Nov 13, 2022","1,623","1,265,862",1,217
"Nov 14, 2022","1,625","1,266,193",1,216
"Nov 15, 2022","1,626","1,266,386",1,216
"Nov 16, 2022","1,627","1,214,646",1,216
"Nov 17, 2022","1,625","1,214,828",1,216
"Nov 18, 2022","1,603","1,214,308",1,216
"Nov 19, 2022","1,605","1,214,215",1,216
"Nov 20, 2022","1,606","1,214,188",1,216
"Nov 21, 2022","1,615","1,215,702",1,216
"Nov 22, 2022","1,618","1,215,467",1,216
"Nov 23, 2022","1,626","1,215,589",1,216
"Nov 24, 2022","1,625","1,215,579",1,216
"Nov 25, 2022","1,627","1,216,041",1,216
"Nov 26, 2022","1,628","1,216,495",1,216
"Nov 27, 2022","1,628","1,216,725",1,216
"Nov 28, 2022","1,628","1,216,905",1,216
"Nov 29, 2022","1,630","1,217,435",1,216
"Nov 30, 2022","1,633","1,217,516",1,216
"Dec 01, 2022","1,638","1,217,460",1,216
"Dec 02, 2022","1,641","1,217,569",1,216
"Dec 03, 2022","1,624","1,214,104",1,216
"Dec 04, 2022","1,628","1,218,930",1,216
"Dec 05, 2022","1,613","1,209,565",1,216
"Dec 06, 2022","1,610","1,219,321",1,216
"Dec 07, 2022","1,603","1,215,924",1,216
"Dec 08, 2022","1,599","1,214,052",1,216
"Dec 09, 2022","1,590","1,204,701",1,216
"Dec 10, 2022","1,590","1,211,617",1,216
"Dec 11, 2022","1,584","1,081,898",1,216
"Dec 12, 2022","1,587","1,086,714",1,215
"Dec 13, 2022","1,583","1,082,706",1,215
