"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",24849880,59764
"2023-05-13 00:00:00",24790116,55920
"2023-05-12 00:00:00",24734196,59480
"2023-05-11 00:00:00",24674716,0
"2023-05-10 00:00:00",24674716,56238
"2023-05-09 00:00:00",24618478,76417
"2023-05-08 00:00:00",24542061,76417
"2023-05-07 00:00:00",24465644,58013
"2023-05-06 00:00:00",24407631,0
"2023-05-05 00:00:00",24407631,59516
"2023-05-04 00:00:00",24348115,103699
"2023-05-03 00:00:00",24244416,0
"2023-05-02 00:00:00",24244416,92119
"2023-05-01 00:00:00",24152297,0
"2023-04-30 00:00:00",24152297,81029
"2023-04-29 00:00:00",24071269,81029
"2023-04-28 00:00:00",23990240,55379
"2023-04-27 00:00:00",23934862,55379
"2023-04-26 00:00:00",23879483,51429
"2023-04-25 00:00:00",23828055,51429
"2023-04-24 00:00:00",23776626,60010
"2023-04-23 00:00:00",23716616,61645
"2023-04-22 00:00:00",23654971,56989
"2023-04-21 00:00:00",23597982,56989
"2023-04-20 00:00:00",23540993,52982
"2023-04-19 00:00:00",23488012,52982
"2023-04-18 00:00:00",23435030,46073
"2023-04-17 00:00:00",23388957,54901
"2023-04-16 00:00:00",23334056,56800
"2023-04-15 00:00:00",23277256,56078
"2023-04-14 00:00:00",23221178,57983
"2023-04-13 00:00:00",23163195,57953
"2023-04-12 00:00:00",23105242,53892
"2023-04-11 00:00:00",23051350,45353
"2023-04-10 00:00:00",23005997,55048
"2023-04-09 00:00:00",22950949,0
"2023-04-08 00:00:00",22950949,119078
"2023-04-07 00:00:00",22831871,58517
"2023-04-06 00:00:00",22773354,58087
"2023-04-05 00:00:00",22715267,56097
"2023-04-04 00:00:00",22659170,50799
"2023-04-03 00:00:00",22608371,57609
"2023-04-02 00:00:00",22550762,62401
"2023-04-01 00:00:00",22488361,64115
"2023-03-31 00:00:00",22424246,0
"2023-03-30 00:00:00",22424246,126877
"2023-03-29 00:00:00",22297369,0
"2023-03-28 00:00:00",22297369,123490
"2023-03-27 00:00:00",22173879,68123
"2023-03-26 00:00:00",22105756,73427
"2023-03-25 00:00:00",22032329,67795
"2023-03-24 00:00:00",21964534,65523
"2023-03-23 00:00:00",21899011,63810
"2023-03-22 00:00:00",21835201,61833
"2023-03-21 00:00:00",21773368,55888
"2023-03-20 00:00:00",21717480,66695
"2023-03-19 00:00:00",21650785,72680
"2023-03-18 00:00:00",21578105,75021
"2023-03-17 00:00:00",21503084,74158
"2023-03-16 00:00:00",21428926,70457
"2023-03-15 00:00:00",21358469,0
"2023-03-14 00:00:00",21358469,138564
"2023-03-13 00:00:00",21219905,78911
"2023-03-12 00:00:00",21140994,73781
"2023-03-11 00:00:00",21067213,75707
"2023-03-10 00:00:00",20991506,79794
"2023-03-09 00:00:00",20911712,79128
"2023-03-08 00:00:00",20832584,70251
"2023-03-07 00:00:00",20762333,62979
"2023-03-06 00:00:00",20699354,70971
"2023-03-05 00:00:00",20628383,75637
"2023-03-04 00:00:00",20552746,73069
"2023-03-03 00:00:00",20479677,75108
"2023-03-02 00:00:00",20404569,73564
"2023-03-01 00:00:00",20331005,71750
"2023-02-28 00:00:00",20259255,65241
"2023-02-27 00:00:00",20194014,74545
"2023-02-26 00:00:00",20119469,81146
"2023-02-25 00:00:00",20038323,84857
"2023-02-24 00:00:00",19953466,80162
"2023-02-23 00:00:00",19873304,83226
"2023-02-22 00:00:00",19790078,78950
"2023-02-21 00:00:00",19711128,69987
"2023-02-20 00:00:00",19641141,84071
"2023-02-19 00:00:00",19557070,87405
"2023-02-18 00:00:00",19469665,87708
"2023-02-17 00:00:00",19381957,87654
"2023-02-16 00:00:00",19294303,89827
"2023-02-15 00:00:00",19204476,81732
"2023-02-14 00:00:00",19122744,79702
"2023-02-13 00:00:00",19043042,85726
"2023-02-12 00:00:00",18957316,95099
"2023-02-11 00:00:00",18862217,0
"2023-02-10 00:00:00",18862217,167843
"2023-02-09 00:00:00",18694374,91651
"2023-02-08 00:00:00",18602723,0
"2023-02-07 00:00:00",18602723,88887
"2023-02-06 00:00:00",18513836,48109
"2023-02-05 00:00:00",18465727,111612
"2023-02-04 00:00:00",18354115,59871
"2023-02-03 00:00:00",18294244,61712
"2023-02-02 00:00:00",18232532,60867
"2023-02-01 00:00:00",18171665,58122
"2023-01-31 00:00:00",18113543,54656
"2023-01-30 00:00:00",18058887,64901
"2023-01-29 00:00:00",17993986,67998
"2023-01-28 00:00:00",17925988,63962
"2023-01-27 00:00:00",17862026,55479
"2023-01-26 00:00:00",17806547,55988
"2023-01-25 00:00:00",17750559,55956
"2023-01-24 00:00:00",17694603,50612
"2023-01-23 00:00:00",17643991,59931
"2023-01-22 00:00:00",17584060,62609
"2023-01-21 00:00:00",17521451,54379
"2023-01-20 00:00:00",17467072,52597
"2023-01-19 00:00:00",17414475,54384
"2023-01-18 00:00:00",17360091,52033
"2023-01-17 00:00:00",17308058,47473
"2023-01-16 00:00:00",17260585,51173
"2023-01-15 00:00:00",17209412,54506
"2023-01-14 00:00:00",17154906,52732
"2023-01-13 00:00:00",17102174,57066
"2023-01-12 00:00:00",17045108,60450
"2023-01-11 00:00:00",16984658,59653
"2023-01-10 00:00:00",16925005,53500
"2023-01-09 00:00:00",16871505,61660
"2023-01-08 00:00:00",16809845,63897
"2023-01-07 00:00:00",16745948,62877
"2023-01-06 00:00:00",16683071,62592
"2023-01-05 00:00:00",16620479,61370
"2023-01-04 00:00:00",16559109,55325
"2023-01-03 00:00:00",16503784,51394
"2023-01-02 00:00:00",16452390,63788
"2023-01-01 00:00:00",16388602,59561
"2022-12-31 00:00:00",16329041,57241
"2022-12-30 00:00:00",16271800,55242
"2022-12-29 00:00:00",16216558,51228
"2022-12-28 00:00:00",16165330,41888
"2022-12-27 00:00:00",16123442,29604
"2022-12-26 00:00:00",16093838,41997
"2022-12-25 00:00:00",16051841,49412
"2022-12-24 00:00:00",16002429,53316
"2022-12-23 00:00:00",15949113,56098
"2022-12-22 00:00:00",15893015,55076
"2022-12-21 00:00:00",15837939,52961
