Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",183,"87,806",,
"Jun 19, 2022",206,"88,589",2,583
"Jun 20, 2022",225,"89,524",2,582
"Jun 21, 2022",247,"92,016",2,582
"Jun 22, 2022",262,"89,562",2,582
"Jun 23, 2022",282,"89,835",2,582
"Jun 24, 2022",288,"22,085",2,582
"Jun 25, 2022",286,"19,490",2,581
"Jun 26, 2022",288,"19,491",2,581
"Jun 27, 2022",292,"19,271",2,581
"Jun 28, 2022",294,"18,533",2,581
"Jun 29, 2022",299,"18,548",2,581
"Jun 30, 2022",305,"19,555",2,580
"Jul 01, 2022",307,"21,648",2,580
"Jul 02, 2022",309,"21,658",2,580
"Jul 03, 2022",311,"20,755",2,580
"Jul 04, 2022",312,"20,688",2,580
"Jul 05, 2022",314,"20,686",2,579
"Jul 06, 2022",315,"21,010",2,579
"Jul 07, 2022",317,"16,043",2,579
"Jul 08, 2022",317,"16,041",2,580
"Jul 09, 2022",316,"16,033",2,580
"Jul 10, 2022",315,"16,024",2,580
"Jul 11, 2022",317,"16,032",2,580
"Jul 12, 2022",317,"16,056",2,580
"Jul 13, 2022",316,"16,046",2,580
"Jul 14, 2022",315,"16,039",2,579
"Jul 15, 2022",316,"16,046",2,579
"Jul 16, 2022",315,"15,437",2,579
"Jul 17, 2022",317,"15,633",2,579
"Jul 18, 2022",317,"15,544",2,579
"Jul 19, 2022",316,"14,667",2,579
"Jul 20, 2022",319,"16,395",2,579
"Jul 21, 2022",320,"16,468",2,579
"Jul 22, 2022",321,"16,564",2,580
"Jul 23, 2022",321,"16,616",2,580
"Jul 24, 2022",322,"16,634",2,580
"Jul 25, 2022",324,"16,638",2,581
"Jul 26, 2022",325,"16,658",2,582
"Jul 27, 2022",324,"16,529",2,582
"Jul 28, 2022",325,"16,548",2,582
"Jul 29, 2022",326,"16,546",2,582
"Jul 30, 2022",326,"16,556",2,583
"Jul 31, 2022",326,"16,557",2,584
"Aug 01, 2022",326,"16,581",2,584
"Aug 02, 2022",325,"15,618",2,584
"Aug 03, 2022",326,"15,639",2,584
"Aug 04, 2022",331,"15,649",2,584
"Aug 05, 2022",333,"15,663",2,584
"Aug 06, 2022",335,"15,672",2,584
"Aug 07, 2022",335,"15,675",2,585
"Aug 08, 2022",334,"15,681",2,585
"Aug 09, 2022",336,"15,701",2,585
"Aug 10, 2022",336,"15,718",2,585
"Aug 11, 2022",337,"15,723",2,585
"Aug 12, 2022",337,"15,723",2,586
"Aug 13, 2022",338,"15,738",2,586
"Aug 14, 2022",337,"15,739",2,586
"Aug 15, 2022",337,"15,744",2,586
"Aug 16, 2022",339,"15,777",2,586
