Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",794,"126,579",,
"Jun 19, 2022",924,"128,800",2,583
"Jun 20, 2022","1,029","139,460",2,582
"Jun 21, 2022","1,118","149,077",2,582
"Jun 22, 2022","1,196","146,164",2,582
"Jun 23, 2022","1,268","149,286",2,582
"Jun 24, 2022","1,334","85,609",2,582
"Jun 25, 2022","1,373","83,232",2,581
"Jun 26, 2022","1,393","448,861",2,581
"Jun 27, 2022","1,415","447,681",2,581
"Jun 28, 2022","1,444","448,787",2,581
"Jun 29, 2022","1,461","450,082",2,581
"Jun 30, 2022","1,480","444,402",2,580
"Jul 01, 2022","1,508","448,283",2,580
"Jul 02, 2022","1,527","450,593",2,580
"Jul 03, 2022","1,545","457,883",2,580
"Jul 04, 2022","1,560","458,205",2,580
"Jul 05, 2022","1,574","458,421",2,579
"Jul 06, 2022","1,587","459,036",2,579
"Jul 07, 2022","1,604","454,437",2,579
"Jul 08, 2022","1,618","454,784",2,580
"Jul 09, 2022","1,629","454,817",2,580
"Jul 10, 2022","1,638","540,456",2,580
"Jul 11, 2022","1,649","526,279",2,580
"Jul 12, 2022","1,664","483,532",2,580
"Jul 13, 2022","1,675","105,723",2,580
"Jul 14, 2022","1,693","106,258",2,579
"Jul 15, 2022","1,712","107,686",2,579
"Jul 16, 2022","1,721","104,807",2,579
"Jul 17, 2022","1,727","103,879",2,579
"Jul 18, 2022","1,736","104,077",2,579
"Jul 19, 2022","1,742","103,893",2,579
"Jul 20, 2022","1,754","108,032",2,579
"Jul 21, 2022","1,765","107,713",2,579
"Jul 22, 2022","1,773","108,037",2,580
"Jul 23, 2022","1,780","108,258",2,580
"Jul 24, 2022","1,786","106,815",2,580
"Jul 25, 2022","1,802","117,953",2,581
"Jul 26, 2022","1,815","118,241",2,582
"Jul 27, 2022","1,818","108,026",2,582
"Jul 28, 2022","1,827","108,100",2,582
"Jul 29, 2022","1,835","131,480",2,582
"Jul 30, 2022","1,842","131,858",2,583
"Jul 31, 2022","1,845","129,609",2,584
"Aug 01, 2022","1,849","129,814",2,584
"Aug 02, 2022","1,853","128,963",2,584
"Aug 03, 2022","1,861","129,240",2,584
"Aug 04, 2022","1,870","129,749",2,584
"Aug 05, 2022","1,876","130,435",2,584
"Aug 06, 2022","1,884","109,357",2,584
"Aug 07, 2022","1,883","149,731",2,585
"Aug 08, 2022","1,887","150,006",2,585
"Aug 09, 2022","1,892","109,783",2,585
"Aug 10, 2022","1,895","110,326",2,585
"Aug 11, 2022","1,899","150,804",2,585
"Aug 12, 2022","1,901","151,009",2,586
"Aug 13, 2022","1,904","110,635",2,586
"Aug 14, 2022","1,906","120,578",2,586
"Aug 15, 2022","1,911","120,771",2,586
"Aug 16, 2022","1,913","120,844",2,586
"Aug 17, 2022","1,919","122,143",2,587
"Aug 18, 2022","1,921","122,289",2,587
"Aug 19, 2022","1,924","121,317",2,587
"Aug 20, 2022","1,926","121,528",2,587
"Aug 21, 2022","1,928","121,767",2,589
"Aug 22, 2022","1,931","121,943",2,589
"Aug 23, 2022","1,934","122,045",2,589
"Aug 24, 2022","1,938","122,142",2,589
"Aug 25, 2022","1,940","162,827",2,589
"Aug 26, 2022","1,943","164,160",2,589
"Aug 27, 2022","1,943","123,724",2,590
"Aug 28, 2022","1,944","123,094",2,590
"Aug 29, 2022","1,943","123,203",2,590
"Aug 30, 2022","1,946","123,769",2,589
"Aug 31, 2022","1,951","123,810",2,589
"Sep 01, 2022","2,164","122,361",2,589
"Sep 02, 2022","2,260","128,963",2,587
"Sep 03, 2022","2,298","129,813",2,587
"Sep 04, 2022","2,329","130,458",2,588
"Sep 05, 2022","2,349","130,785",2,588
"Sep 06, 2022","2,360","145,911",2,588
"Sep 07, 2022","2,382","146,255",2,587
"Sep 08, 2022","2,416","146,531",2,587
"Sep 09, 2022","2,435","146,820",2,587
"Sep 10, 2022","2,478","145,978",2,587
"Sep 11, 2022","2,501","147,504",2,587
"Sep 12, 2022","2,517","148,303",2,587
"Sep 13, 2022","2,526","147,650",2,587
"Sep 14, 2022","2,552","149,269",2,587
"Sep 15, 2022","2,563","149,644",2,587
"Sep 16, 2022","2,575","148,572",2,588
"Sep 17, 2022","2,581","148,858",2,588
"Sep 18, 2022","2,584","149,071",2,588
"Sep 19, 2022","2,587","152,364",2,587
"Sep 20, 2022","2,588","152,712",2,587
"Sep 21, 2022","2,595","153,264",2,588
"Sep 22, 2022","2,602","153,468",2,588
"Sep 23, 2022","2,608","153,848",2,588
"Sep 24, 2022","2,608","154,034",2,588
"Sep 25, 2022","2,609","154,182",2,588
"Sep 26, 2022","2,613","154,275",2,589
"Sep 27, 2022","2,616","195,631",2,589
"Sep 28, 2022","2,617","197,504",2,589
"Sep 29, 2022","2,620","156,663",2,589
"Sep 30, 2022","2,619","157,167",2,590
"Oct 01, 2022","2,623","157,414",2,590
"Oct 02, 2022","2,628","198,610",2,590
"Oct 03, 2022","2,628","198,874",2,590
"Oct 04, 2022","2,630","199,053",2,590
"Oct 05, 2022","2,634","201,691",2,590
"Oct 06, 2022","2,636","160,838",2,590
"Oct 07, 2022","2,641","158,536",2,590
"Oct 08, 2022","2,646","158,688",2,590
"Oct 09, 2022","2,651","201,251",2,591
"Oct 10, 2022","2,652","201,415",2,592
"Oct 11, 2022","2,655","204,164",2,593
"Oct 12, 2022","2,657","203,124",2,593
"Oct 13, 2022","2,654","159,627",2,593
"Oct 14, 2022","2,656","159,881",2,594
"Oct 15, 2022","2,656","160,051",2,594
"Oct 16, 2022","2,656","165,950",2,594
"Oct 17, 2022","2,658","207,472",2,594
"Oct 18, 2022","2,660","207,651",2,594
"Oct 19, 2022","2,660","169,289",2,594
"Oct 20, 2022","2,657","169,425",2,595
"Oct 21, 2022","2,656","167,207",2,595
"Oct 22, 2022","2,659","167,551",2,596
"Oct 23, 2022","2,661","168,087",2,596
"Oct 24, 2022","2,664","170,766",2,596
"Oct 25, 2022","2,665","170,963",2,596
"Oct 26, 2022","2,669","171,398",2,596
"Oct 27, 2022","2,668","171,648",2,595
"Oct 28, 2022","2,672","171,883",2,595
"Oct 29, 2022","2,675","173,398",2,595
"Oct 30, 2022","2,677","215,003",2,595
"Oct 31, 2022","2,677","213,934",2,595
"Nov 01, 2022","2,679","173,404",2,595
"Nov 02, 2022","2,682","173,502",2,595
"Nov 03, 2022","2,684","173,861",2,595
"Nov 04, 2022","2,685","173,993",2,596
"Nov 05, 2022","2,685","174,343",2,596
"Nov 06, 2022","2,686","174,382",2,596
"Nov 07, 2022","2,690","174,550",2,596
"Nov 08, 2022","2,689","174,708",2,596
"Nov 09, 2022","2,689","195,434",2,596
"Nov 10, 2022","2,689","195,695",2,597
"Nov 11, 2022","2,688","195,811",2,597
"Nov 12, 2022","2,686","195,753",2,597
"Nov 13, 2022","2,680","195,892",2,597
"Nov 14, 2022","2,679","196,035",2,597
"Nov 15, 2022","2,669","162,334",2,597
"Nov 16, 2022","2,668","162,411",2,596
"Nov 17, 2022","2,666","162,460",2,596
"Nov 18, 2022","2,652","162,359",2,596
"Nov 19, 2022","2,654","162,371",2,596
"Nov 20, 2022","2,653","162,220",2,596
"Nov 21, 2022","2,652","162,056",2,596
"Nov 22, 2022","2,657","162,395",2,596
