"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",4951743,8624
"2023-05-09 00:00:00",4943119,7122
"2023-05-08 00:00:00",4935998,7122
"2023-05-07 00:00:00",4928876,7623
"2023-05-06 00:00:00",4921253,6713
"2023-05-05 00:00:00",4914540,5749
"2023-05-04 00:00:00",4908791,0
"2023-05-03 00:00:00",4908791,7300
"2023-05-02 00:00:00",4901491,7300
"2023-05-01 00:00:00",4894191,4515
"2023-04-30 00:00:00",4889676,5000
"2023-04-29 00:00:00",4884676,5245
"2023-04-28 00:00:00",4879431,5261
"2023-04-27 00:00:00",4874170,5207
"2023-04-26 00:00:00",4868963,5240
"2023-04-25 00:00:00",4863723,4209
"2023-04-24 00:00:00",4859515,4209
"2023-04-23 00:00:00",4855306,5222
"2023-04-22 00:00:00",4850084,4968
"2023-04-21 00:00:00",4845116,5073
"2023-04-20 00:00:00",4840043,5109
"2023-04-19 00:00:00",4834934,4932
"2023-04-18 00:00:00",4830002,3731
"2023-04-17 00:00:00",4826271,0
"2023-04-16 00:00:00",4826271,9445
"2023-04-15 00:00:00",4816826,5107
"2023-04-14 00:00:00",4811719,5164
"2023-04-13 00:00:00",4806555,5116
"2023-04-12 00:00:00",4801439,4682
"2023-04-11 00:00:00",4796757,3706
"2023-04-10 00:00:00",4793051,4253
"2023-04-09 00:00:00",4788798,4613
"2023-04-08 00:00:00",4784185,5334
"2023-04-07 00:00:00",4778851,5067
"2023-04-06 00:00:00",4773784,5256
"2023-04-05 00:00:00",4768528,5145
"2023-04-04 00:00:00",4763383,4250
"2023-04-03 00:00:00",4759133,4573
"2023-04-02 00:00:00",4754560,5320
"2023-04-01 00:00:00",4749240,5588
"2023-03-31 00:00:00",4743652,5589
"2023-03-30 00:00:00",4738063,0
"2023-03-29 00:00:00",4738063,10668
"2023-03-28 00:00:00",4727395,4293
"2023-03-27 00:00:00",4723102,4782
"2023-03-26 00:00:00",4718320,0
"2023-03-25 00:00:00",4718320,11375
"2023-03-24 00:00:00",4706945,0
"2023-03-23 00:00:00",4706945,11424
"2023-03-22 00:00:00",4695521,5922
"2023-03-21 00:00:00",4689599,4441
"2023-03-20 00:00:00",4685158,4848
"2023-03-19 00:00:00",4680310,5920
"2023-03-18 00:00:00",4674390,5961
"2023-03-17 00:00:00",4668429,6066
"2023-03-16 00:00:00",4662363,6093
"2023-03-15 00:00:00",4656270,5892
"2023-03-14 00:00:00",4650378,4825
"2023-03-13 00:00:00",4645553,5570
"2023-03-12 00:00:00",4639983,6473
"2023-03-11 00:00:00",4633510,6794
"2023-03-10 00:00:00",4626716,6659
"2023-03-09 00:00:00",4620057,6290
"2023-03-08 00:00:00",4613767,5920
"2023-03-07 00:00:00",4607847,4843
"2023-03-06 00:00:00",4603004,0
"2023-03-05 00:00:00",4603004,11888
"2023-03-04 00:00:00",4591116,7084
"2023-03-03 00:00:00",4584032,6730
"2023-03-02 00:00:00",4577302,6524
"2023-03-01 00:00:00",4570778,6285
"2023-02-28 00:00:00",4564493,0
"2023-02-27 00:00:00",4564493,10600
"2023-02-26 00:00:00",4553893,6489
"2023-02-25 00:00:00",4547404,6692
"2023-02-24 00:00:00",4540712,6718
"2023-02-23 00:00:00",4533994,12584
"2023-02-22 00:00:00",4521410,0
"2023-02-21 00:00:00",4521410,5136
"2023-02-20 00:00:00",4516274,0
"2023-02-19 00:00:00",4516274,12493
"2023-02-18 00:00:00",4503781,6751
"2023-02-17 00:00:00",4497030,6751
"2023-02-16 00:00:00",4490279,0
"2023-02-15 00:00:00",4490279,13209
"2023-02-14 00:00:00",4477070,5482
"2023-02-13 00:00:00",4471588,0
"2023-02-12 00:00:00",4471588,13109
"2023-02-11 00:00:00",4458479,6994
"2023-02-10 00:00:00",4451485,6964
"2023-02-09 00:00:00",4444521,7055
"2023-02-08 00:00:00",4437466,5922
"2023-02-07 00:00:00",4431545,5922
"2023-02-06 00:00:00",4425623,0
"2023-02-05 00:00:00",4425623,13176
"2023-02-04 00:00:00",4412447,7049
"2023-02-03 00:00:00",4405398,7033
"2023-02-02 00:00:00",4398365,6902
"2023-02-01 00:00:00",4391463,6450
"2023-01-31 00:00:00",4385013,5264
"2023-01-30 00:00:00",4379749,6083
"2023-01-29 00:00:00",4373666,7272
"2023-01-28 00:00:00",4366394,7600
"2023-01-27 00:00:00",4358794,7481
"2023-01-26 00:00:00",4351313,7537
"2023-01-25 00:00:00",4343776,7308
"2023-01-24 00:00:00",4336468,5869
"2023-01-23 00:00:00",4330599,6823
"2023-01-22 00:00:00",4323776,8087
"2023-01-21 00:00:00",4315689,8854
"2023-01-20 00:00:00",4306835,9523
"2023-01-19 00:00:00",4297312,11456
"2023-01-18 00:00:00",4285856,10445
"2023-01-17 00:00:00",4275411,7938
"2023-01-16 00:00:00",4267473,8150
"2023-01-15 00:00:00",4259323,12090
"2023-01-14 00:00:00",4247233,8026
"2023-01-13 00:00:00",4239207,8031
"2023-01-12 00:00:00",4231176,7782
"2023-01-11 00:00:00",4223394,7615
"2023-01-10 00:00:00",4215779,5867
"2023-01-09 00:00:00",4209912,6775
"2023-01-08 00:00:00",4203137,7328
"2023-01-07 00:00:00",4195809,8120
"2023-01-06 00:00:00",4187689,7841
"2023-01-05 00:00:00",4179848,6899
"2023-01-04 00:00:00",4172949,6418
"2023-01-03 00:00:00",4166531,5184
"2023-01-02 00:00:00",4161347,6440
"2023-01-01 00:00:00",4154907,7459
"2022-12-31 00:00:00",4147448,7126
"2022-12-30 00:00:00",4140322,7300
"2022-12-29 00:00:00",4133022,6897
"2022-12-28 00:00:00",4126125,0
"2022-12-27 00:00:00",4126125,9897
"2022-12-26 00:00:00",4116228,5932
"2022-12-25 00:00:00",4110296,7538
"2022-12-24 00:00:00",4102758,7525
"2022-12-23 00:00:00",4095233,7384
"2022-12-22 00:00:00",4087849,7577
"2022-12-21 00:00:00",4080272,7229
"2022-12-20 00:00:00",4073043,5904
"2022-12-19 00:00:00",4067139,7246
"2022-12-18 00:00:00",4059893,8273
"2022-12-17 00:00:00",4051620,8464
"2022-12-16 00:00:00",4043156,8578
"2022-12-15 00:00:00",4034578,8583
"2022-12-14 00:00:00",4025995,8067
"2022-12-13 00:00:00",4017928,6295
"2022-12-12 00:00:00",4011633,7033
"2022-12-11 00:00:00",4004600,8210
"2022-12-10 00:00:00",3996391,8210
"2022-12-09 00:00:00",3988181,8324
"2022-12-08 00:00:00",3979857,8100
"2022-12-07 00:00:00",3971757,7802
"2022-12-06 00:00:00",3963955,8587
"2022-12-05 00:00:00",3955368,8587
"2022-12-04 00:00:00",3946781,8587
"2022-12-03 00:00:00",3938195,8587
"2022-12-02 00:00:00",3929608,8587
"2022-12-01 00:00:00",3921021,8429
"2022-11-30 00:00:00",3912592,7649
"2022-11-29 00:00:00",3904943,6224
"2022-11-28 00:00:00",3898719,6850
"2022-11-27 00:00:00",3891869,7448
"2022-11-26 00:00:00",3884421,7374
"2022-11-25 00:00:00",3877047,8553
"2022-11-24 00:00:00",3868494,8405
"2022-11-23 00:00:00",3860089,8029
"2022-11-22 00:00:00",3852060,6601
"2022-11-21 00:00:00",3845459,7671
"2022-11-20 00:00:00",3837788,8871
"2022-11-19 00:00:00",3828917,8995
"2022-11-18 00:00:00",3819922,9308
"2022-11-17 00:00:00",3810614,9451
"2022-11-16 00:00:00",3801163,8803
"2022-11-15 00:00:00",3792360,7137
"2022-11-14 00:00:00",3785223,8083
"2022-11-13 00:00:00",3777140,9533
"2022-11-12 00:00:00",3767607,10363
"2022-11-11 00:00:00",3757244,9832
"2022-11-10 00:00:00",3747412,9849
"2022-11-09 00:00:00",3737563,9494
"2022-11-08 00:00:00",3728069,7432
"2022-11-07 00:00:00",3720637,8638
"2022-11-06 00:00:00",3711999,10765
"2022-11-05 00:00:00",3701234,10942
"2022-11-04 00:00:00",3690292,11097
"2022-11-03 00:00:00",3679195,10470
"2022-11-02 00:00:00",3668725,10541
"2022-11-01 00:00:00",3658184,8540
"2022-10-31 00:00:00",3649644,10083
"2022-10-30 00:00:00",3639561,11681
"2022-10-29 00:00:00",3627880,11803
"2022-10-28 00:00:00",3616077,11288
"2022-10-27 00:00:00",3604789,11492
"2022-10-26 00:00:00",3593297,11064
"2022-10-25 00:00:00",3582233,9289
"2022-10-24 00:00:00",3572944,10360
"2022-10-23 00:00:00",3562584,12146
"2022-10-22 00:00:00",3550438,12590
"2022-10-21 00:00:00",3537848,0
"2022-10-20 00:00:00",3537848,24590
"2022-10-19 00:00:00",3513258,11891
"2022-10-18 00:00:00",3501367,9323
"2022-10-17 00:00:00",3492044,11194
"2022-10-16 00:00:00",3480850,13037
"2022-10-15 00:00:00",3467813,13219
"2022-10-14 00:00:00",3454594,13188
"2022-10-13 00:00:00",3441406,13477
"2022-10-12 00:00:00",3427929,12919
"2022-10-11 00:00:00",3415010,10593
"2022-10-10 00:00:00",3404417,11897
"2022-10-09 00:00:00",3392520,14460
"2022-10-08 00:00:00",3378060,15004
"2022-10-07 00:00:00",3363056,14578
"2022-10-06 00:00:00",3348478,14969
"2022-10-05 00:00:00",3333509,14240
"2022-10-04 00:00:00",3319269,11404
"2022-10-03 00:00:00",3307865,13146
"2022-10-02 00:00:00",3294719,15582
"2022-10-01 00:00:00",3279137,15948
"2022-09-30 00:00:00",3263189,15597
"2022-09-29 00:00:00",3247592,15841
"2022-09-28 00:00:00",3231751,15330
"2022-09-27 00:00:00",3216421,12450
"2022-09-26 00:00:00",3203971,14799
"2022-09-25 00:00:00",3189172,17698
"2022-09-24 00:00:00",3171474,18057
"2022-09-23 00:00:00",3153417,36638
"2022-09-22 00:00:00",3116779,0
"2022-09-21 00:00:00",3116779,18167
"2022-09-20 00:00:00",3098612,14823
"2022-09-19 00:00:00",3083789,18174
"2022-09-18 00:00:00",3065615,22411
"2022-09-17 00:00:00",3043204,23054
"2022-09-16 00:00:00",3020150,23436
"2022-09-15 00:00:00",2996714,24036
"2022-09-14 00:00:00",2972678,23852
"2022-09-13 00:00:00",2948826,18611
"2022-09-12 00:00:00",2930215,22611
"2022-09-11 00:00:00",2907604,25236
"2022-09-10 00:00:00",2882368,25672
"2022-09-09 00:00:00",2856696,25422
"2022-09-08 00:00:00",2831274,52398
"2022-09-07 00:00:00",2778876,0
"2022-09-06 00:00:00",2778876,22868
"2022-09-05 00:00:00",2756008,27774
"2022-09-04 00:00:00",2728234,37662
"2022-09-03 00:00:00",2690572,31631
"2022-09-02 00:00:00",2658941,12435
"2022-09-01 00:00:00",2646506,11973
"2022-08-31 00:00:00",2634533,11339
"2022-08-30 00:00:00",2623194,9591
"2022-08-29 00:00:00",2613603,10793
"2022-08-28 00:00:00",2602810,12553
"2022-08-27 00:00:00",2590257,13062
"2022-08-26 00:00:00",2577195,13065
"2022-08-25 00:00:00",2564130,13517
"2022-08-24 00:00:00",2550613,13336
"2022-08-23 00:00:00",2537277,13139
"2022-08-22 00:00:00",2524138,13139
"2022-08-21 00:00:00",2511000,13139
"2022-08-20 00:00:00",2497861,13139
"2022-08-19 00:00:00",2484722,14690
"2022-08-18 00:00:00",2470032,14946
"2022-08-17 00:00:00",2455086,14098
"2022-08-16 00:00:00",2440988,12480
"2022-08-15 00:00:00",2428508,13280
"2022-08-14 00:00:00",2415228,15545
"2022-08-13 00:00:00",2399683,16463
"2022-08-12 00:00:00",2383220,16081
"2022-08-11 00:00:00",2367139,16018
"2022-08-10 00:00:00",2351121,15510
"2022-08-09 00:00:00",2335611,14108
"2022-08-08 00:00:00",2321503,15278
"2022-08-07 00:00:00",2306225,16960
"2022-08-06 00:00:00",2289265,17825
"2022-08-05 00:00:00",2271440,17639
"2022-08-04 00:00:00",2253801,18097
"2022-08-03 00:00:00",2235704,17819
"2022-08-02 00:00:00",2217885,15512
"2022-08-01 00:00:00",2202373,18037
"2022-07-31 00:00:00",2184336,20716
"2022-07-30 00:00:00",2163620,21163
"2022-07-29 00:00:00",2142457,21911
"2022-07-28 00:00:00",2120546,22397
"2022-07-27 00:00:00",2098149,21510
"2022-07-26 00:00:00",2076639,18509
"2022-07-25 00:00:00",2058130,21346
"2022-07-24 00:00:00",2036784,25958
"2022-07-23 00:00:00",2010826,28065
"2022-07-22 00:00:00",1982761,29426
"2022-07-21 00:00:00",1953335,24102
"2022-07-20 00:00:00",1929233,23254
"2022-07-19 00:00:00",1905979,20733
"2022-07-18 00:00:00",1885246,24395
"2022-07-17 00:00:00",1860851,31292
"2022-07-16 00:00:00",1829559,29891
"2022-07-15 00:00:00",1799668,27900
"2022-07-14 00:00:00",1771768,55948
"2022-07-13 00:00:00",1715820,0
"2022-07-12 00:00:00",1715820,24624
"2022-07-11 00:00:00",1691196,28629
"2022-07-10 00:00:00",1662567,31422
"2022-07-09 00:00:00",1631145,30870
"2022-07-08 00:00:00",1600275,31783
"2022-07-07 00:00:00",1568492,31921
"2022-07-06 00:00:00",1536571,30790
"2022-07-05 00:00:00",1505781,29552
"2022-07-04 00:00:00",1476229,35292
"2022-07-03 00:00:00",1440937,43939
"2022-07-02 00:00:00",1396998,44532
"2022-07-01 00:00:00",1352466,45817
"2022-06-30 00:00:00",1306649,50404
"2022-06-29 00:00:00",1256245,54013
"2022-06-28 00:00:00",1202232,49937
"2022-06-27 00:00:00",1152295,60740
"2022-06-26 00:00:00",1091555,79714
"2022-06-25 00:00:00",1011841,87860
"2022-06-24 00:00:00",923981,211020
"2022-06-23 00:00:00",712961,0
"2022-06-22 00:00:00",712961,124597
"2022-06-21 00:00:00",588364,125770
"2022-06-20 00:00:00",462594,173735
"2022-06-19 00:00:00",288859,284101
"2022-06-18 00:00:00",4758,0
