"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",1896997,861
"2023-05-09 00:00:00",1896136,713
"2023-05-08 00:00:00",1895423,713
"2023-05-07 00:00:00",1894710,904
"2023-05-06 00:00:00",1893806,966
"2023-05-05 00:00:00",1892840,954
"2023-05-04 00:00:00",1891886,0
"2023-05-03 00:00:00",1891886,1234
"2023-05-02 00:00:00",1890653,1234
"2023-05-01 00:00:00",1889419,761
"2023-04-30 00:00:00",1888658,907
"2023-04-29 00:00:00",1887751,910
"2023-04-28 00:00:00",1886841,968
"2023-04-27 00:00:00",1885873,900
"2023-04-26 00:00:00",1884973,952
"2023-04-25 00:00:00",1884021,727
"2023-04-24 00:00:00",1883294,727
"2023-04-23 00:00:00",1882567,898
"2023-04-22 00:00:00",1881669,930
"2023-04-21 00:00:00",1880739,948
"2023-04-20 00:00:00",1879791,950
"2023-04-19 00:00:00",1878841,974
"2023-04-18 00:00:00",1877867,717
"2023-04-17 00:00:00",1877150,0
"2023-04-16 00:00:00",1877150,1760
"2023-04-15 00:00:00",1875390,962
"2023-04-14 00:00:00",1874428,966
"2023-04-13 00:00:00",1873462,925
"2023-04-12 00:00:00",1872537,836
"2023-04-11 00:00:00",1871701,667
"2023-04-10 00:00:00",1871034,750
"2023-04-09 00:00:00",1870284,814
"2023-04-08 00:00:00",1869470,940
"2023-04-07 00:00:00",1868530,911
"2023-04-06 00:00:00",1867619,939
"2023-04-05 00:00:00",1866680,973
"2023-04-04 00:00:00",1865707,788
"2023-04-03 00:00:00",1864919,787
"2023-04-02 00:00:00",1864132,981
"2023-04-01 00:00:00",1863151,1065
"2023-03-31 00:00:00",1862086,1024
"2023-03-30 00:00:00",1861062,0
"2023-03-29 00:00:00",1861062,2069
"2023-03-28 00:00:00",1858993,831
"2023-03-27 00:00:00",1858162,875
"2023-03-26 00:00:00",1857287,0
"2023-03-25 00:00:00",1857287,2193
"2023-03-24 00:00:00",1855094,0
"2023-03-23 00:00:00",1855094,2250
"2023-03-22 00:00:00",1852844,1121
"2023-03-21 00:00:00",1851723,859
"2023-03-20 00:00:00",1850864,959
"2023-03-19 00:00:00",1849905,1167
"2023-03-18 00:00:00",1848738,1296
"2023-03-17 00:00:00",1847442,1314
"2023-03-16 00:00:00",1846128,1298
"2023-03-15 00:00:00",1844830,1273
"2023-03-14 00:00:00",1843557,1198
"2023-03-13 00:00:00",1842359,1197
"2023-03-12 00:00:00",1841162,1466
"2023-03-11 00:00:00",1839696,1651
"2023-03-10 00:00:00",1838045,1545
"2023-03-09 00:00:00",1836500,1605
"2023-03-08 00:00:00",1834895,1578
"2023-03-07 00:00:00",1833317,1297
"2023-03-06 00:00:00",1832020,0
"2023-03-05 00:00:00",1832020,3282
"2023-03-04 00:00:00",1828738,2165
"2023-03-03 00:00:00",1826573,2119
"2023-03-02 00:00:00",1824454,1875
"2023-03-01 00:00:00",1822579,1707
"2023-02-28 00:00:00",1820872,0
"2023-02-27 00:00:00",1820872,2915
"2023-02-26 00:00:00",1817957,1976
"2023-02-25 00:00:00",1815981,2369
"2023-02-24 00:00:00",1813612,1811
"2023-02-23 00:00:00",1811801,3251
"2023-02-22 00:00:00",1808550,0
"2023-02-21 00:00:00",1808550,1407
"2023-02-20 00:00:00",1807143,0
"2023-02-19 00:00:00",1807143,3346
"2023-02-18 00:00:00",1803797,1839
"2023-02-17 00:00:00",1801958,1890
