Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",201,"87,895",,
"Jun 19, 2022",224,"90,423",2,583
"Jun 20, 2022",248,"91,490",2,582
"Jun 21, 2022",269,"92,135",2,582
"Jun 22, 2022",286,"89,687",2,582
"Jun 23, 2022",307,"89,946",2,582
"Jun 24, 2022",315,"22,203",2,582
"Jun 25, 2022",314,"19,608",2,581
"Jun 26, 2022",316,"19,609",2,581
"Jun 27, 2022",321,"19,395",2,581
"Jun 28, 2022",323,"18,652",2,581
"Jun 29, 2022",329,"18,678",2,581
"Jun 30, 2022",336,"20,265",2,580
"Jul 01, 2022",338,"22,358",2,580
"Jul 02, 2022",341,"22,368",2,580
"Jul 03, 2022",344,"21,465",2,580
"Jul 04, 2022",345,"21,397",2,580
"Jul 05, 2022",348,"21,395",2,579
"Jul 06, 2022",349,"21,720",2,579
"Jul 07, 2022",351,"16,753",2,579
"Jul 08, 2022",353,"16,755",2,580
"Jul 09, 2022",352,"16,749",2,580
"Jul 10, 2022",354,"16,758",2,580
"Jul 11, 2022",357,"16,767",2,580
"Jul 12, 2022",357,"16,790",2,580
"Jul 13, 2022",356,"16,782",2,580
"Jul 14, 2022",354,"16,772",2,579
"Jul 15, 2022",354,"16,778",2,579
"Jul 16, 2022",353,"16,169",2,579
"Jul 17, 2022",354,"16,361",2,579
"Jul 18, 2022",356,"16,369",2,579
"Jul 19, 2022",354,"15,466",2,579
"Jul 20, 2022",358,"17,194",2,579
"Jul 21, 2022",359,"17,268",2,579
"Jul 22, 2022",360,"17,354",2,580
"Jul 23, 2022",360,"17,406",2,580
"Jul 24, 2022",362,"17,436",2,580
"Jul 25, 2022",365,"17,477",2,581
"Jul 26, 2022",366,"17,503",2,582
"Jul 27, 2022",364,"17,379",2,582
"Jul 28, 2022",366,"17,405",2,582
"Jul 29, 2022",366,"17,402",2,582
"Jul 30, 2022",365,"17,415",2,583
"Jul 31, 2022",365,"17,418",2,584
"Aug 01, 2022",365,"17,441",2,584
"Aug 02, 2022",364,"16,478",2,584
"Aug 03, 2022",364,"16,490",2,584
"Aug 04, 2022",370,"16,521",2,584
"Aug 05, 2022",371,"16,528",2,584
"Aug 06, 2022",375,"16,552",2,584
"Aug 07, 2022",375,"16,555",2,585
"Aug 08, 2022",374,"16,567",2,585
"Aug 09, 2022",376,"16,590",2,585
"Aug 10, 2022",376,"16,604",2,585
"Aug 11, 2022",375,"16,595",2,585
"Aug 12, 2022",374,"16,590",2,586
"Aug 13, 2022",375,"16,605",2,586
"Aug 14, 2022",374,"16,608",2,586
"Aug 15, 2022",374,"16,621",2,586
"Aug 16, 2022",375,"16,644",2,586
"Aug 17, 2022",376,"16,652",2,587
"Aug 18, 2022",376,"16,662",2,587
"Aug 19, 2022",377,"16,685",2,587
"Aug 20, 2022",379,"16,689",2,587
"Aug 21, 2022",378,"16,688",2,589
"Aug 22, 2022",379,"16,707",2,589
"Aug 23, 2022",380,"16,712",2,589
"Aug 24, 2022",383,"16,734",2,589
"Aug 25, 2022",385,"16,867",2,589
"Aug 26, 2022",387,"18,093",2,589
"Aug 27, 2022",387,"18,098",2,590
"Aug 28, 2022",386,"18,106",2,590
"Aug 29, 2022",386,"18,107",2,590
"Aug 30, 2022",387,"18,108",2,589
"Aug 31, 2022",389,"18,122",2,589
"Sep 01, 2022",390,"18,126",2,589
"Sep 02, 2022",391,"18,127",2,587
"Sep 03, 2022",392,"18,144",2,587
"Sep 04, 2022",391,"18,152",2,588
"Sep 05, 2022",391,"18,167",2,588
"Sep 06, 2022",392,"18,197",2,588
"Sep 07, 2022",394,"18,251",2,587
"Sep 08, 2022",394,"18,260",2,587
"Sep 09, 2022",394,"18,266",2,587
"Sep 10, 2022",395,"18,281",2,587
"Sep 11, 2022",394,"18,222",2,587
"Sep 12, 2022",394,"18,232",2,587
"Sep 13, 2022",395,"18,235",2,587
"Sep 14, 2022",395,"18,237",2,587
"Sep 15, 2022",395,"18,243",2,587
"Sep 16, 2022",396,"18,253",2,588
"Sep 17, 2022",395,"18,231",2,588
"Sep 18, 2022",395,"18,243",2,588
"Sep 19, 2022",398,"18,281",2,587
"Sep 20, 2022",399,"18,286",2,587
"Sep 21, 2022",401,"18,301",2,588
"Sep 22, 2022",403,"18,325",2,588
"Sep 23, 2022",403,"18,329",2,588
"Sep 24, 2022",402,"18,326",2,588
"Sep 25, 2022",402,"18,347",2,588
"Sep 26, 2022",401,"16,411",2,589
"Sep 27, 2022",401,"16,411",2,589
"Sep 28, 2022",401,"16,426",2,589
"Sep 29, 2022",402,"16,427",2,589
"Sep 30, 2022",402,"16,533",2,590
"Oct 01, 2022",402,"16,542",2,590
"Oct 02, 2022",402,"16,596",2,590
"Oct 03, 2022",402,"16,598",2,590
"Oct 04, 2022",402,"16,611",2,590
"Oct 05, 2022",402,"16,724",2,590
"Oct 06, 2022",402,"16,733",2,590
"Oct 07, 2022",402,"16,741",2,590
"Oct 08, 2022",404,"16,800",2,590
"Oct 09, 2022",403,"16,785",2,591
"Oct 10, 2022",403,"16,794",2,592
"Oct 11, 2022",403,"16,815",2,593
"Oct 12, 2022",404,"16,810",2,593
"Oct 13, 2022",404,"16,819",2,593
"Oct 14, 2022",404,"16,829",2,594
"Oct 15, 2022",403,"16,838",2,594
"Oct 16, 2022",403,"16,846",2,594
"Oct 17, 2022",403,"16,870",2,594
"Oct 18, 2022",403,"16,873",2,594
"Oct 19, 2022",402,"16,873",2,594
"Oct 20, 2022",402,"16,890",2,595
"Oct 21, 2022",402,"16,911",2,595
"Oct 22, 2022",403,"16,930",2,596
"Oct 23, 2022",405,"16,953",2,596
"Oct 24, 2022",407,"19,384",2,596
"Oct 25, 2022",408,"19,399",2,596
"Oct 26, 2022",408,"19,419",2,596
"Oct 27, 2022",408,"19,423",2,595
"Oct 28, 2022",409,"19,429",2,595
"Oct 29, 2022",409,"19,443",2,595
"Oct 30, 2022",408,"19,448",2,595
"Oct 31, 2022",408,"19,453",2,595
"Nov 01, 2022",408,"19,468",2,595
"Nov 02, 2022",407,"19,458",2,595
"Nov 03, 2022",408,"19,724",2,595
"Nov 04, 2022",408,"19,786",2,596
"Nov 05, 2022",410,"19,877",2,596
"Nov 06, 2022",409,"19,748",2,596
"Nov 07, 2022",409,"19,772",2,596
"Nov 08, 2022",408,"19,773",2,596
"Nov 09, 2022",409,"19,783",2,596
"Nov 10, 2022",407,"19,793",2,597
"Nov 11, 2022",407,"19,798",2,597
"Nov 12, 2022",408,"20,108",2,597
"Nov 13, 2022",404,"20,109",2,597
"Nov 14, 2022",404,"20,117",2,597
"Nov 15, 2022",403,"20,107",2,597
"Nov 16, 2022",401,"20,117",2,596
"Nov 17, 2022",402,"20,125",2,596
"Nov 18, 2022",402,"20,124",2,596
"Nov 19, 2022",402,"20,126",2,596
"Nov 20, 2022",401,"19,929",2,596
"Nov 21, 2022",401,"19,943",2,596
"Nov 22, 2022",402,"20,185",2,596
"Nov 23, 2022",403,"20,183",2,595
"Nov 24, 2022",403,"20,186",2,595
"Nov 25, 2022",401,"20,113",2,595
"Nov 26, 2022",400,"20,114",2,595
"Nov 27, 2022",403,"20,145",2,596
"Nov 28, 2022",405,"20,172",2,597
"Nov 29, 2022",407,"20,183",2,597
"Nov 30, 2022",407,"20,182",2,598
"Dec 01, 2022",407,"20,198",2,598
"Dec 02, 2022",403,"20,181",2,599
"Dec 03, 2022",396,"17,328",2,599
"Dec 04, 2022",394,"19,683",2,599
"Dec 05, 2022",388,"19,815",2,599
"Dec 06, 2022",389,"19,833",2,599
"Dec 07, 2022",383,"19,170",2,599
"Dec 08, 2022",378,"18,900",2,599
"Dec 09, 2022",375,"18,896",2,599
"Dec 10, 2022",374,"18,877",2,599
"Dec 11, 2022",370,"19,779",2,597
"Dec 12, 2022",363,"18,762",2,597
"Dec 13, 2022",360,"18,656",2,597
"Dec 14, 2022",358,"17,752",2,597
"Dec 15, 2022",354,"15,918",2,597
"Dec 16, 2022",357,"16,571",2,597
"Dec 17, 2022",359,"16,015",2,597
"Dec 18, 2022",359,"19,029",2,597
"Dec 19, 2022",364,"18,996",2,599
"Dec 20, 2022",365,"19,365",2,599
"Dec 21, 2022",366,"20,065",2,599
"Dec 22, 2022",366,"17,689",2,600
"Dec 23, 2022",361,"21,447",2,600
"Dec 24, 2022",357,"18,957",2,600
"Dec 25, 2022",350,"18,889",2,600
"Dec 26, 2022",347,"21,230",2,600
"Dec 27, 2022",338,"17,958",2,600
"Dec 28, 2022",327,"19,107",2,600
"Dec 29, 2022",320,"19,488",2,602
"Dec 30, 2022",315,"19,182",2,603
"Dec 31, 2022",310,"19,100",2,603
"Jan 01, 2023",307,"21,291",2,603
"Jan 02, 2023",305,"19,615",2,603
"Jan 03, 2023",299,"19,371",2,603
"Jan 04, 2023",296,"18,415",2,603
"Jan 05, 2023",286,"18,520",1,234
"Jan 06, 2023",285,"17,212",1,234
"Jan 07, 2023",285,"17,212",1,234
"Jan 08, 2023",285,"17,212",1,234
"Jan 09, 2023",285,"17,215",1,234
"Jan 10, 2023",289,"18,687",2,605
"Jan 11, 2023",292,"20,251",2,605
"Jan 12, 2023",294,"20,378",2,606
"Jan 13, 2023",296,"20,501",2,606
"Jan 14, 2023",301,"21,165",2,606
"Jan 15, 2023",303,"21,171",2,606
"Jan 16, 2023",446,"24,137",2,605
"Jan 17, 2023",447,"24,167",2,606
"Jan 18, 2023",446,"24,177",2,606
"Jan 19, 2023",447,"24,177",2,606
"Jan 20, 2023",446,"24,179",2,606
"Jan 21, 2023",446,"24,187",2,606
"Jan 22, 2023",446,"24,210",2,606
"Jan 23, 2023",448,"30,153",2,606
"Jan 24, 2023",448,"30,164",2,607
"Jan 25, 2023",448,"30,168",2,607
"Jan 26, 2023",449,"30,183",2,607
"Jan 27, 2023",449,"30,186",2,606
"Jan 28, 2023",449,"30,200",2,606
"Jan 29, 2023",449,"30,210",2,606
"Jan 30, 2023",449,"30,227",2,606
"Jan 31, 2023",449,"30,234",2,606
"Feb 01, 2023",449,"30,242",2,606
"Feb 02, 2023",450,"30,254",2,606
"Feb 03, 2023",450,"30,254",2,606
"Feb 04, 2023",450,"30,252",2,606
"Feb 05, 2023",450,"30,260",2,606
"Feb 06, 2023",450,"30,265",2,606
"Feb 07, 2023",450,"30,273",2,606
"Feb 08, 2023",450,"30,322",2,606
"Feb 09, 2023",450,"30,315",2,606
"Feb 10, 2023",450,"30,313",2,606
"Feb 11, 2023",449,"29,974",2,606
"Feb 12, 2023",449,"29,974",2,606
"Feb 13, 2023",449,"29,978",2,610
"Feb 14, 2023",449,"29,988",2,610
"Feb 15, 2023",449,"29,990",2,610
"Feb 16, 2023",449,"29,990",2,609
"Feb 17, 2023",449,"29,999",2,609
"Feb 18, 2023",449,"30,006",2,610
"Feb 19, 2023",448,"29,982",2,610
"Feb 20, 2023",448,"29,992",2,610
"Feb 21, 2023",448,"29,995",2,609
"Feb 22, 2023",445,"29,989",2,610
"Feb 23, 2023",445,"29,998",2,611
"Feb 24, 2023",444,"30,008",2,610
"Feb 25, 2023",444,"30,006",2,610
"Feb 26, 2023",444,"30,015",2,611
"Feb 27, 2023",444,"30,023",2,611
"Mar 01, 2023",444,"30,021",2,611
"Mar 02, 2023",445,"30,036",2,611
"Mar 03, 2023",448,"30,055",2,612
"Mar 04, 2023",448,"30,056",2,612
"Mar 05, 2023",448,"30,069",2,613
"Mar 06, 2023",448,"30,073",2,613
"Mar 07, 2023",448,"30,077",2,614
"Mar 08, 2023",449,"30,094",2,613
"Mar 09, 2023",449,"30,094",2,613
"Mar 10, 2023",449,"30,099",2,613
"Mar 11, 2023",448,"30,102",2,614
"Mar 12, 2023",448,"30,132",2,615
"Mar 13, 2023",448,"30,134",2,615
"Mar 14, 2023",448,"30,142",2,615
"Mar 15, 2023",449,"30,145",2,614
"Mar 16, 2023",449,"30,145",2,615
"Mar 17, 2023",450,"30,169",2,616
"Mar 18, 2023",451,"30,181",2,616
"Mar 19, 2023",451,"30,192",2,617
"Mar 20, 2023",453,"30,585",2,617
"Mar 21, 2023",455,"30,599",2,617
"Mar 22, 2023",456,"30,602",2,617
"Mar 23, 2023",456,"30,608",2,617
"Mar 24, 2023",456,"30,615",2,617
"Mar 25, 2023",456,"30,622",2,617
"Mar 26, 2023",457,"30,652",2,618
"Mar 27, 2023",457,"30,650",2,617
"Mar 28, 2023",458,"30,773",2,618
"Mar 29, 2023",459,"30,776",2,619
"Mar 30, 2023",459,"30,782",2,619
"Mar 31, 2023",461,"30,787",2,619
"Apr 01, 2023",461,"30,786",2,619
"Apr 02, 2023",461,"30,794",2,619
"Apr 03, 2023",464,"30,843",2,620
"Apr 04, 2023",465,"30,859",2,620
"Apr 05, 2023",467,"30,875",2,620
"Apr 06, 2023",468,"30,885",2,620
"Apr 07, 2023",470,"30,890",2,620
"Apr 08, 2023",473,"30,897",2,620
"Apr 09, 2023",473,"30,895",2,620
"Apr 10, 2023",473,"30,896",2,620
"Apr 11, 2023",474,"30,909",2,620
"Apr 12, 2023",475,"30,988",2,620
"Apr 13, 2023",477,"31,010",2,619
"Apr 14, 2023",477,"31,012",2,621
"Apr 15, 2023",479,"31,299",2,621
"Apr 16, 2023",478,"31,322",2,621
"Apr 17, 2023",479,"31,335",2,621
