"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",1098999,543
"2023-05-09 00:00:00",1098456,461
"2023-05-08 00:00:00",1097995,461
"2023-05-07 00:00:00",1097534,562
"2023-05-06 00:00:00",1096972,607
"2023-05-05 00:00:00",1096365,646
"2023-05-04 00:00:00",1095719,0
"2023-05-03 00:00:00",1095719,817
"2023-05-02 00:00:00",1094903,817
"2023-05-01 00:00:00",1094086,532
"2023-04-30 00:00:00",1093554,602
"2023-04-29 00:00:00",1092952,619
"2023-04-28 00:00:00",1092333,620
"2023-04-27 00:00:00",1091713,663
"2023-04-26 00:00:00",1091050,600
"2023-04-25 00:00:00",1090450,473
"2023-04-24 00:00:00",1089978,473
"2023-04-23 00:00:00",1089505,592
"2023-04-22 00:00:00",1088913,641
"2023-04-21 00:00:00",1088272,609
"2023-04-20 00:00:00",1087663,639
"2023-04-19 00:00:00",1087024,601
"2023-04-18 00:00:00",1086423,487
"2023-04-17 00:00:00",1085936,0
"2023-04-16 00:00:00",1085936,1084
"2023-04-15 00:00:00",1084852,616
"2023-04-14 00:00:00",1084236,572
"2023-04-13 00:00:00",1083664,570
"2023-04-12 00:00:00",1083094,548
"2023-04-11 00:00:00",1082546,409
"2023-04-10 00:00:00",1082137,501
"2023-04-09 00:00:00",1081636,0
"2023-04-08 00:00:00",1081636,1139
"2023-04-07 00:00:00",1080497,671
"2023-04-06 00:00:00",1079826,646
"2023-04-05 00:00:00",1079180,612
"2023-04-04 00:00:00",1078568,522
"2023-04-03 00:00:00",1078046,545
"2023-04-02 00:00:00",1077501,635
"2023-04-01 00:00:00",1076866,691
"2023-03-31 00:00:00",1076175,782
"2023-03-30 00:00:00",1075393,0
"2023-03-29 00:00:00",1075393,1627
"2023-03-28 00:00:00",1073766,954
"2023-03-27 00:00:00",1072812,752
"2023-03-26 00:00:00",1072060,0
"2023-03-25 00:00:00",1072060,1497
"2023-03-24 00:00:00",1070563,0
"2023-03-23 00:00:00",1070563,1531
"2023-03-22 00:00:00",1069032,783
"2023-03-21 00:00:00",1068249,623
"2023-03-20 00:00:00",1067626,679
"2023-03-19 00:00:00",1066947,814
"2023-03-18 00:00:00",1066133,785
"2023-03-17 00:00:00",1065348,825
"2023-03-16 00:00:00",1064523,767
"2023-03-15 00:00:00",1063756,780
"2023-03-14 00:00:00",1062976,697
"2023-03-13 00:00:00",1062279,712
"2023-03-12 00:00:00",1061567,944
"2023-03-11 00:00:00",1060623,1024
"2023-03-10 00:00:00",1059599,952
"2023-03-09 00:00:00",1058647,1032
"2023-03-08 00:00:00",1057615,1005
"2023-03-07 00:00:00",1056610,1277
"2023-03-06 00:00:00",1055333,0
"2023-03-05 00:00:00",1055333,6117
"2023-03-04 00:00:00",1049216,4356
"2023-03-03 00:00:00",1044860,3368
"2023-03-02 00:00:00",1041492,2920
"2023-03-01 00:00:00",1038572,987
"2023-02-28 00:00:00",1037585,0
"2023-02-27 00:00:00",1037585,1650
"2023-02-26 00:00:00",1035935,1002
"2023-02-25 00:00:00",1034933,1099
"2023-02-24 00:00:00",1033834,1068
"2023-02-23 00:00:00",1032766,1896
"2023-02-22 00:00:00",1030870,0
"2023-02-21 00:00:00",1030870,798
"2023-02-20 00:00:00",1030072,0
"2023-02-19 00:00:00",1030072,1820
"2023-02-18 00:00:00",1028252,1035
"2023-02-17 00:00:00",1027217,1028
"2023-02-16 00:00:00",1026189,0
"2023-02-15 00:00:00",1026189,2520
"2023-02-14 00:00:00",1023669,871
"2023-02-13 00:00:00",1022798,0
"2023-02-12 00:00:00",1022798,2151
"2023-02-11 00:00:00",1020647,1212
"2023-02-10 00:00:00",1019435,1196
"2023-02-09 00:00:00",1018239,1155
"2023-02-08 00:00:00",1017084,1002
"2023-02-07 00:00:00",1016083,1002
"2023-02-06 00:00:00",1015081,0
