Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",398,"91,866",,
"Jun 19, 2022",458,"95,716",2,583
"Jun 20, 2022",516,"99,360",2,582
"Jun 21, 2022",556,"98,791",2,582
"Jun 22, 2022",600,"98,399",2,582
"Jun 23, 2022",636,"98,705",2,582
"Jun 24, 2022",653,"31,369",2,582
"Jun 25, 2022",657,"28,387",2,581
"Jun 26, 2022",666,"29,405",2,581
"Jun 27, 2022",678,"29,251",2,581
"Jun 28, 2022",693,"29,338",2,581
"Jun 29, 2022",702,"29,371",2,581
"Jun 30, 2022",712,"30,423",2,580
"Jul 01, 2022",718,"32,533",2,580
"Jul 02, 2022",724,"34,011",2,580
"Jul 03, 2022",728,"32,131",2,580
"Jul 04, 2022",733,"32,060",2,580
"Jul 05, 2022",737,"32,029",2,579
"Jul 06, 2022",738,"34,147",2,579
"Jul 07, 2022",746,"29,195",2,579
"Jul 08, 2022",753,"29,301",2,580
"Jul 09, 2022",757,"29,348",2,580
"Jul 10, 2022",763,"29,362",2,580
"Jul 11, 2022",768,"29,383",2,580
"Jul 12, 2022",771,"29,578",2,580
"Jul 13, 2022",776,"29,680",2,580
"Jul 14, 2022",779,"29,708",2,579
"Jul 15, 2022",784,"27,975",2,579
"Jul 16, 2022",785,"27,363",2,579
"Jul 17, 2022",788,"28,030",2,579
"Jul 18, 2022",794,"28,090",2,579
"Jul 19, 2022",795,"27,200",2,579
"Jul 20, 2022",802,"28,974",2,579
"Jul 21, 2022",806,"29,218",2,579
"Jul 22, 2022",808,"29,459",2,580
"Jul 23, 2022",809,"29,663",2,580
"Jul 24, 2022",811,"29,703",2,580
"Jul 25, 2022",813,"29,540",2,581
"Jul 26, 2022",815,"29,554",2,582
"Jul 27, 2022",816,"29,490",2,582
"Jul 28, 2022",819,"29,554",2,582
"Jul 29, 2022",819,"29,566",2,582
"Jul 30, 2022",821,"29,664",2,583
"Jul 31, 2022",821,"29,685",2,584
"Aug 01, 2022",821,"29,739",2,584
"Aug 02, 2022",818,"28,683",2,584
"Aug 03, 2022",822,"28,732",2,584
"Aug 04, 2022",829,"28,799",2,584
"Aug 05, 2022",832,"28,839",2,584
"Aug 06, 2022",836,"28,869",2,584
"Aug 07, 2022",835,"28,852",2,585
"Aug 08, 2022",835,"28,896",2,585
"Aug 09, 2022",839,"28,984",2,585
"Aug 10, 2022",839,"28,988",2,585
"Aug 11, 2022",839,"29,013",2,585
"Aug 12, 2022",841,"29,193",2,586
"Aug 13, 2022",843,"29,233",2,586
"Aug 14, 2022",847,"29,273",2,586
"Aug 15, 2022",848,"29,304",2,586
"Aug 16, 2022",849,"29,329",2,586
"Aug 17, 2022",853,"29,353",2,587
"Aug 18, 2022",855,"29,405",2,587
"Aug 19, 2022",854,"29,440",2,587
"Aug 20, 2022",856,"29,474",2,587
"Aug 21, 2022",858,"29,497",2,589
"Aug 22, 2022",858,"29,404",2,589
"Aug 23, 2022",860,"29,437",2,589
"Aug 24, 2022",863,"29,501",2,589
"Aug 25, 2022",863,"29,542",2,589
"Aug 26, 2022",863,"30,795",2,589
"Aug 27, 2022",864,"30,840",2,590
"Aug 28, 2022",864,"30,876",2,590
"Aug 29, 2022",863,"30,907",2,590
"Aug 30, 2022",865,"31,033",2,589
"Aug 31, 2022",867,"31,039",2,589
"Sep 01, 2022",867,"31,046",2,589
"Sep 02, 2022",867,"31,064",2,587
"Sep 03, 2022",868,"31,078",2,587
"Sep 04, 2022",872,"31,358",2,588
"Sep 05, 2022",873,"31,404",2,588
"Sep 06, 2022",873,"31,432",2,588
"Sep 07, 2022",875,"31,504",2,587
"Sep 08, 2022",878,"31,568",2,587
"Sep 09, 2022",879,"31,603",2,587
"Sep 10, 2022",880,"31,625",2,587
"Sep 11, 2022",880,"31,648",2,587
"Sep 12, 2022",882,"31,693",2,587
"Sep 13, 2022",883,"32,018",2,587
"Sep 14, 2022",883,"32,055",2,587
"Sep 15, 2022",883,"32,076",2,587
"Sep 16, 2022",883,"30,752",2,588
"Sep 17, 2022",881,"30,762",2,588
"Sep 18, 2022",882,"30,784",2,588
"Sep 19, 2022",883,"31,051",2,587
"Sep 20, 2022",884,"31,085",2,587
"Sep 21, 2022",886,"31,134",2,588
"Sep 22, 2022",888,"31,171",2,588
"Sep 23, 2022",889,"31,214",2,588
"Sep 24, 2022",890,"31,260",2,588
"Sep 25, 2022",890,"31,296",2,588
"Sep 26, 2022",890,"31,255",2,589
"Sep 27, 2022",889,"31,287",2,589
"Sep 28, 2022",891,"32,226",2,589
"Sep 29, 2022",892,"32,253",2,589
"Sep 30, 2022",892,"32,372",2,590
"Oct 01, 2022",892,"32,510",2,590
"Oct 02, 2022",892,"32,551",2,590
"Oct 03, 2022",892,"32,565",2,590
"Oct 04, 2022",891,"32,590",2,590
"Oct 05, 2022",890,"32,631",2,590
"Oct 06, 2022",891,"32,647",2,590
"Oct 07, 2022",894,"32,715",2,590
"Oct 08, 2022",897,"32,777",2,590
"Oct 09, 2022",898,"32,816",2,591
"Oct 10, 2022",899,"32,870",2,592
"Oct 11, 2022",898,"32,900",2,593
"Oct 12, 2022",898,"32,901",2,593
"Oct 13, 2022",898,"32,918",2,593
"Oct 14, 2022",898,"32,976",2,594
"Oct 15, 2022",897,"32,992",2,594
"Oct 16, 2022",898,"33,009",2,594
"Oct 17, 2022",898,"33,053",2,594
"Oct 18, 2022",899,"33,695",2,594
"Oct 19, 2022",899,"33,711",2,594
"Oct 20, 2022",898,"33,738",2,595
"Oct 21, 2022",899,"33,800",2,595
"Oct 22, 2022",900,"33,842",2,596
"Oct 23, 2022",901,"33,936",2,596
"Oct 24, 2022",905,"36,449",2,596
"Oct 25, 2022",907,"36,498",2,596
"Oct 26, 2022",907,"36,548",2,596
"Oct 27, 2022",908,"38,445",2,595
"Oct 28, 2022",910,"38,470",2,595
"Oct 29, 2022",910,"38,489",2,595
"Oct 30, 2022",911,"38,503",2,595
"Oct 31, 2022",911,"38,533",2,595
"Nov 01, 2022",911,"38,592",2,595
"Nov 02, 2022",911,"38,592",2,595
"Nov 03, 2022",912,"38,898",2,595
"Nov 04, 2022",912,"38,977",2,596
"Nov 05, 2022",913,"39,068",2,596
"Nov 06, 2022",912,"38,963",2,596
"Nov 07, 2022",911,"37,129",2,596
"Nov 08, 2022",910,"37,110",2,596
"Nov 09, 2022",911,"37,129",2,596
"Nov 10, 2022",910,"37,180",2,597
"Nov 11, 2022",910,"37,199",2,597
"Nov 12, 2022",911,"37,516",2,597
"Nov 13, 2022",908,"37,531",2,597
"Nov 14, 2022",908,"37,553",2,597
"Nov 15, 2022",905,"37,541",2,597
"Nov 16, 2022",903,"37,561",2,596
"Nov 17, 2022",904,"37,602",2,596
"Nov 18, 2022",901,"37,606",2,596
"Nov 19, 2022",901,"37,608",2,596
"Nov 20, 2022",898,"37,365",2,596
"Nov 21, 2022",900,"37,390",2,596
"Nov 22, 2022",900,"37,624",2,596
"Nov 23, 2022",899,"37,542",2,595
"Nov 24, 2022",899,"37,545",2,595
"Nov 25, 2022",897,"37,537",2,595
"Nov 26, 2022",896,"37,530",2,595
"Nov 27, 2022",900,"37,572",2,596
"Nov 28, 2022",905,"37,639",2,597
"Nov 29, 2022",907,"37,653",2,597
"Nov 30, 2022",907,"37,656",2,598
"Dec 01, 2022",905,"36,178",2,598
"Dec 02, 2022",902,"37,525",2,599
"Dec 03, 2022",889,"34,652",2,599
"Dec 04, 2022",889,"37,077",2,599
"Dec 05, 2022",877,"35,141",2,599
"Dec 06, 2022",879,"36,538",2,599
"Dec 07, 2022",870,"35,784",2,599
"Dec 08, 2022",861,"35,036",2,599
"Dec 09, 2022",855,"35,027",2,599
"Dec 10, 2022",852,"35,120",2,599
"Dec 11, 2022",847,"34,149",2,597
"Dec 12, 2022",840,"32,898",2,597
"Dec 13, 2022",830,"32,813",2,597
"Dec 14, 2022",828,"30,827",2,597
"Dec 15, 2022",825,"30,850",2,597
"Dec 16, 2022",828,"29,968",2,597
"Dec 17, 2022",827,"28,742",2,597
"Dec 18, 2022",826,"28,636",2,597
"Dec 19, 2022",833,"31,411",2,599
"Dec 20, 2022",835,"32,609",2,599
"Dec 21, 2022",836,"34,726",2,599
"Dec 22, 2022",833,"30,917",2,600
"Dec 23, 2022",828,"35,338",2,600
"Dec 24, 2022",816,"32,069",2,600
"Dec 25, 2022",797,"32,585",2,600
"Dec 26, 2022",792,"35,318",2,600
"Dec 27, 2022",766,"31,569",2,600
"Dec 28, 2022",750,"32,362",2,600
"Dec 29, 2022",728,"32,034",2,602
"Dec 30, 2022",718,"30,813",2,603
"Dec 31, 2022",708,"33,511",2,603
"Jan 01, 2023",695,"32,686",2,603
"Jan 02, 2023",693,"31,866",2,603
"Jan 03, 2023",681,"29,387",2,603
"Jan 04, 2023",675,"28,704",2,603
"Jan 05, 2023",654,"25,515",1,234
"Jan 06, 2023",647,"24,160",1,234
"Jan 07, 2023",647,"24,160",1,234
"Jan 08, 2023",647,"24,160",1,234
"Jan 09, 2023",647,"24,164",1,234
"Jan 10, 2023",655,"27,781",2,605
"Jan 11, 2023",667,"33,282",2,605
"Jan 12, 2023",669,"33,453",2,606
"Jan 13, 2023",676,"35,197",2,606
"Jan 14, 2023",683,"36,049",2,606
"Jan 15, 2023",687,"36,183",2,606
"Jan 16, 2023","1,012","41,560",2,605
"Jan 17, 2023","1,012","41,605",2,606
"Jan 18, 2023","1,011","41,656",2,606
"Jan 19, 2023","1,013","41,665",2,606
"Jan 20, 2023","1,012","41,697",2,606
"Jan 21, 2023","1,012","41,731",2,606
"Jan 22, 2023","1,012","41,759",2,606
"Jan 23, 2023","1,014","41,809",2,606
"Jan 24, 2023","1,014","41,840",2,607
"Jan 25, 2023","1,014","41,874",2,607
"Jan 26, 2023","1,015","41,910",2,607
"Jan 27, 2023","1,015","41,957",2,606
"Jan 28, 2023","1,016","41,994",2,606
"Jan 29, 2023","1,016","42,037",2,606
"Jan 30, 2023","1,015","41,996",2,606
"Jan 31, 2023","1,016","42,027",2,606
"Feb 01, 2023","1,018","42,051",2,606
"Feb 02, 2023","1,019","42,071",2,606
