"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",2123563,1375
"2023-05-09 00:00:00",2122188,1102
"2023-05-08 00:00:00",2121086,1102
"2023-05-07 00:00:00",2119984,1314
"2023-05-06 00:00:00",2118670,1522
"2023-05-05 00:00:00",2117148,1513
"2023-05-04 00:00:00",2115635,0
"2023-05-03 00:00:00",2115635,1957
"2023-05-02 00:00:00",2113679,1957
"2023-05-01 00:00:00",2111722,1284
"2023-04-30 00:00:00",2110438,1422
"2023-04-29 00:00:00",2109016,1443
"2023-04-28 00:00:00",2107573,1388
"2023-04-27 00:00:00",2106185,1449
"2023-04-26 00:00:00",2104736,1365
"2023-04-25 00:00:00",2103371,1150
"2023-04-24 00:00:00",2102222,1150
"2023-04-23 00:00:00",2101072,1452
"2023-04-22 00:00:00",2099620,1483
"2023-04-21 00:00:00",2098137,1559
"2023-04-20 00:00:00",2096578,1527
"2023-04-19 00:00:00",2095051,1468
"2023-04-18 00:00:00",2093583,1205
"2023-04-17 00:00:00",2092378,0
"2023-04-16 00:00:00",2092378,2826
"2023-04-15 00:00:00",2089552,1583
"2023-04-14 00:00:00",2087969,1536
"2023-04-13 00:00:00",2086433,1478
"2023-04-12 00:00:00",2084955,1356
"2023-04-11 00:00:00",2083599,1069
"2023-04-10 00:00:00",2082530,1154
"2023-04-09 00:00:00",2081376,1263
"2023-04-08 00:00:00",2080113,1497
"2023-04-07 00:00:00",2078616,1561
"2023-04-06 00:00:00",2077055,1550
"2023-04-05 00:00:00",2075505,1579
"2023-04-04 00:00:00",2073926,1232
"2023-04-03 00:00:00",2072694,1265
"2023-04-02 00:00:00",2071429,1538
"2023-04-01 00:00:00",2069891,1626
"2023-03-31 00:00:00",2068265,1568
"2023-03-30 00:00:00",2066697,0
"2023-03-29 00:00:00",2066697,3299
"2023-03-28 00:00:00",2063398,1357
"2023-03-27 00:00:00",2062041,1327
"2023-03-26 00:00:00",2060714,0
"2023-03-25 00:00:00",2060714,3330
"2023-03-24 00:00:00",2057384,0
"2023-03-23 00:00:00",2057384,3416
"2023-03-22 00:00:00",2053968,1669
"2023-03-21 00:00:00",2052299,1316
"2023-03-20 00:00:00",2050983,1508
"2023-03-19 00:00:00",2049475,1800
"2023-03-18 00:00:00",2047675,1822
"2023-03-17 00:00:00",2045853,1854
"2023-03-16 00:00:00",2043999,1763
"2023-03-15 00:00:00",2042236,1827
"2023-03-14 00:00:00",2040409,1510
"2023-03-13 00:00:00",2038899,1747
"2023-03-12 00:00:00",2037152,2084
"2023-03-11 00:00:00",2035068,2228
"2023-03-10 00:00:00",2032840,2102
"2023-03-09 00:00:00",2030738,2166
"2023-03-08 00:00:00",2028572,2269
"2023-03-07 00:00:00",2026303,1793
"2023-03-06 00:00:00",2024510,0
"2023-03-05 00:00:00",2024510,4504
"2023-03-04 00:00:00",2020006,2780
"2023-03-03 00:00:00",2017226,2606
"2023-03-02 00:00:00",2014620,2297
"2023-03-01 00:00:00",2012323,2153
"2023-02-28 00:00:00",2010170,0
"2023-02-27 00:00:00",2010170,3626
"2023-02-26 00:00:00",2006544,2176
"2023-02-25 00:00:00",2004368,2359
"2023-02-24 00:00:00",2002009,2228
"2023-02-23 00:00:00",1999781,4161
"2023-02-22 00:00:00",1995620,0
"2023-02-21 00:00:00",1995620,1661
"2023-02-20 00:00:00",1993959,0
"2023-02-19 00:00:00",1993959,4063
"2023-02-18 00:00:00",1989896,2257
"2023-02-17 00:00:00",1987639,2376
"2023-02-16 00:00:00",1985263,0
"2023-02-15 00:00:00",1985263,4648
"2023-02-14 00:00:00",1980615,1836
"2023-02-13 00:00:00",1978779,0
"2023-02-12 00:00:00",1978779,4652
"2023-02-11 00:00:00",1974127,2493
"2023-02-10 00:00:00",1971634,2498
"2023-02-09 00:00:00",1969136,2530
"2023-02-08 00:00:00",1966606,2151
"2023-02-07 00:00:00",1964456,2151
"2023-02-06 00:00:00",1962305,0
"2023-02-05 00:00:00",1962305,4793
"2023-02-04 00:00:00",1957512,2659
"2023-02-03 00:00:00",1954853,2525
"2023-02-02 00:00:00",1952328,2356
"2023-02-01 00:00:00",1949972,2264
"2023-01-31 00:00:00",1947708,1852
"2023-01-30 00:00:00",1945856,2098
"2023-01-29 00:00:00",1943758,2461
"2023-01-28 00:00:00",1941297,2661
"2023-01-27 00:00:00",1938636,2514
"2023-01-26 00:00:00",1936122,2626
"2023-01-25 00:00:00",1933496,2644
"2023-01-24 00:00:00",1930852,2082
"2023-01-23 00:00:00",1928770,2432
"2023-01-22 00:00:00",1926338,2912
"2023-01-21 00:00:00",1923426,3016
"2023-01-20 00:00:00",1920410,3112
"2023-01-19 00:00:00",1917298,3148
"2023-01-18 00:00:00",1914150,2959
"2023-01-17 00:00:00",1911191,2462
"2023-01-16 00:00:00",1908729,2727
"2023-01-15 00:00:00",1906002,3487
"2023-01-14 00:00:00",1902515,2780
"2023-01-13 00:00:00",1899735,2820
"2023-01-12 00:00:00",1896915,2764
"2023-01-11 00:00:00",1894151,2772
"2023-01-10 00:00:00",1891379,2037
"2023-01-09 00:00:00",1889342,2207
"2023-01-08 00:00:00",1887135,2712
"2023-01-07 00:00:00",1884423,2650
"2023-01-06 00:00:00",1881773,2522
"2023-01-05 00:00:00",1879251,2270
"2023-01-04 00:00:00",1876981,2247
"2023-01-03 00:00:00",1874734,1780
"2023-01-02 00:00:00",1872954,2157
"2023-01-01 00:00:00",1870797,2440
"2022-12-31 00:00:00",1868357,2523
"2022-12-30 00:00:00",1865834,2476
"2022-12-29 00:00:00",1863358,2292
"2022-12-28 00:00:00",1861066,0
"2022-12-27 00:00:00",1861066,3194
"2022-12-26 00:00:00",1857872,1844
"2022-12-25 00:00:00",1856028,2294
"2022-12-24 00:00:00",1853734,2365
"2022-12-23 00:00:00",1851369,2288
"2022-12-22 00:00:00",1849081,2305
"2022-12-21 00:00:00",1846776,2163
"2022-12-20 00:00:00",1844613,1793
"2022-12-19 00:00:00",1842820,2225
"2022-12-18 00:00:00",1840595,2486
"2022-12-17 00:00:00",1838109,2664
"2022-12-16 00:00:00",1835445,2645
"2022-12-15 00:00:00",1832800,2663
"2022-12-14 00:00:00",1830137,2620
"2022-12-13 00:00:00",1827517,1983
"2022-12-12 00:00:00",1825534,2107
"2022-12-11 00:00:00",1823427,2626
"2022-12-10 00:00:00",1820801,2626
"2022-12-09 00:00:00",1818175,2541
"2022-12-08 00:00:00",1815634,2591
"2022-12-07 00:00:00",1813043,2382
"2022-12-06 00:00:00",1810661,2567
"2022-12-05 00:00:00",1808094,2567
"2022-12-04 00:00:00",1805527,2567
"2022-12-03 00:00:00",1802959,2567
"2022-12-02 00:00:00",1800392,2567
"2022-12-01 00:00:00",1797825,2385
"2022-11-30 00:00:00",1795440,2309
"2022-11-29 00:00:00",1793131,1762
"2022-11-28 00:00:00",1791369,1879
"2022-11-27 00:00:00",1789490,2131
"2022-11-26 00:00:00",1787359,2134
"2022-11-25 00:00:00",1785225,2437
"2022-11-24 00:00:00",1782788,2378
"2022-11-23 00:00:00",1780410,2307
"2022-11-22 00:00:00",1778103,1977
"2022-11-21 00:00:00",1776126,2122
"2022-11-20 00:00:00",1774004,2474
"2022-11-19 00:00:00",1771530,2541
"2022-11-18 00:00:00",1768989,2644
"2022-11-17 00:00:00",1766345,2568
"2022-11-16 00:00:00",1763777,2413
"2022-11-15 00:00:00",1761364,1984
"2022-11-14 00:00:00",1759380,2168
"2022-11-13 00:00:00",1757212,2568
"2022-11-12 00:00:00",1754644,2654
"2022-11-11 00:00:00",1751990,2769
"2022-11-10 00:00:00",1749221,2621
"2022-11-09 00:00:00",1746600,2642
"2022-11-08 00:00:00",1743958,2057
"2022-11-07 00:00:00",1741901,2301
"2022-11-06 00:00:00",1739600,2770
"2022-11-05 00:00:00",1736830,3005
"2022-11-04 00:00:00",1733825,2984
"2022-11-03 00:00:00",1730841,2912
"2022-11-02 00:00:00",1727929,2983
"2022-11-01 00:00:00",1724946,2310
"2022-10-31 00:00:00",1722636,2644
"2022-10-30 00:00:00",1719992,3306
"2022-10-29 00:00:00",1716686,3453
"2022-10-28 00:00:00",1713233,3354
"2022-10-27 00:00:00",1709879,3292
"2022-10-26 00:00:00",1706587,3188
"2022-10-25 00:00:00",1703399,2621
"2022-10-24 00:00:00",1700778,2947
"2022-10-23 00:00:00",1697831,3617
"2022-10-22 00:00:00",1694214,3658
"2022-10-21 00:00:00",1690556,0
"2022-10-20 00:00:00",1690556,7009
"2022-10-19 00:00:00",1683547,3429
"2022-10-18 00:00:00",1680118,2675
"2022-10-17 00:00:00",1677443,2966
"2022-10-16 00:00:00",1674477,3612
"2022-10-15 00:00:00",1670865,3732
"2022-10-14 00:00:00",1667133,3819
"2022-10-13 00:00:00",1663314,3816
"2022-10-12 00:00:00",1659498,3515
"2022-10-11 00:00:00",1655983,2889
"2022-10-10 00:00:00",1653094,3195
"2022-10-09 00:00:00",1649899,3877
"2022-10-08 00:00:00",1646022,4449
"2022-10-07 00:00:00",1641573,4373
"2022-10-06 00:00:00",1637200,4300
"2022-10-05 00:00:00",1632900,4095
"2022-10-04 00:00:00",1628805,3188
"2022-10-03 00:00:00",1625617,3365
"2022-10-02 00:00:00",1622252,4090
"2022-10-01 00:00:00",1618162,4233
"2022-09-30 00:00:00",1613929,3990
"2022-09-29 00:00:00",1609939,4158
"2022-09-28 00:00:00",1605781,4002
"2022-09-27 00:00:00",1601779,3045
"2022-09-26 00:00:00",1598734,3479
"2022-09-25 00:00:00",1595255,4174
"2022-09-24 00:00:00",1591081,4290
