Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",168,"86,905",,
"Jun 19, 2022",193,"88,297",2,583
"Jun 20, 2022",217,"90,760",2,582
"Jun 21, 2022",232,"90,664",2,582
"Jun 22, 2022",245,"86,830",2,582
"Jun 23, 2022",263,"87,091",2,582
"Jun 24, 2022",268,"19,336",2,582
"Jun 25, 2022",266,"16,741",2,581
"Jun 26, 2022",268,"16,744",2,581
"Jun 27, 2022",273,"16,528",2,581
"Jun 28, 2022",275,"16,526",2,581
"Jun 29, 2022",279,"16,517",2,581
"Jun 30, 2022",284,"17,514",2,580
"Jul 01, 2022",286,"19,607",2,580
"Jul 02, 2022",288,"19,619",2,580
"Jul 03, 2022",290,"18,715",2,580
"Jul 04, 2022",290,"18,648",2,580
"Jul 05, 2022",291,"18,643",2,579
"Jul 06, 2022",292,"18,967",2,579
"Jul 07, 2022",294,"13,995",2,579
"Jul 08, 2022",295,"13,993",2,580
"Jul 09, 2022",295,"13,996",2,580
"Jul 10, 2022",295,"13,997",2,580
"Jul 11, 2022",297,"14,003",2,580
"Jul 12, 2022",297,"14,024",2,580
"Jul 13, 2022",296,"14,014",2,580
"Jul 14, 2022",296,"14,008",2,579
"Jul 15, 2022",296,"14,013",2,579
"Jul 16, 2022",295,"13,404",2,579
"Jul 17, 2022",297,"13,599",2,579
"Jul 18, 2022",300,"13,616",2,579
"Jul 19, 2022",298,"12,713",2,579
"Jul 20, 2022",301,"14,441",2,579
"Jul 21, 2022",302,"14,514",2,579
"Jul 22, 2022",302,"14,597",2,580
"Jul 23, 2022",302,"14,643",2,580
"Jul 24, 2022",303,"14,663",2,580
"Jul 25, 2022",305,"14,704",2,581
"Jul 26, 2022",305,"14,729",2,582
"Jul 27, 2022",303,"14,599",2,582
"Jul 28, 2022",305,"14,623",2,582
"Jul 29, 2022",305,"14,623",2,582
"Jul 30, 2022",305,"14,632",2,583
"Jul 31, 2022",304,"14,575",2,584
"Aug 01, 2022",304,"14,598",2,584
"Aug 02, 2022",303,"13,635",2,584
"Aug 03, 2022",303,"13,645",2,584
"Aug 04, 2022",308,"13,655",2,584
"Aug 05, 2022",309,"13,660",2,584
"Aug 06, 2022",312,"13,681",2,584
"Aug 07, 2022",312,"13,685",2,585
"Aug 08, 2022",311,"13,695",2,585
"Aug 09, 2022",313,"13,717",2,585
"Aug 10, 2022",313,"13,730",2,585
"Aug 11, 2022",313,"13,730",2,585
"Aug 12, 2022",312,"13,725",2,586
"Aug 13, 2022",313,"13,739",2,586
"Aug 14, 2022",312,"13,738",2,586
"Aug 15, 2022",313,"13,751",2,586
"Aug 16, 2022",314,"13,773",2,586
"Aug 17, 2022",315,"13,780",2,587
"Aug 18, 2022",315,"13,791",2,587
"Aug 19, 2022",315,"13,802",2,587
"Aug 20, 2022",317,"13,807",2,587
"Aug 21, 2022",318,"13,812",2,589
"Aug 22, 2022",319,"13,830",2,589
"Aug 23, 2022",317,"13,827",2,589
"Aug 24, 2022",319,"13,841",2,589
"Aug 25, 2022",320,"13,866",2,589
"Aug 26, 2022",321,"15,096",2,589
"Aug 27, 2022",321,"15,101",2,590
"Aug 28, 2022",321,"15,112",2,590
"Aug 29, 2022",321,"15,113",2,590
"Aug 30, 2022",323,"15,214",2,589
"Aug 31, 2022",325,"15,227",2,589
"Sep 01, 2022",325,"15,228",2,589
"Sep 02, 2022",325,"15,228",2,587
"Sep 03, 2022",326,"15,245",2,587
"Sep 04, 2022",326,"15,248",2,588
"Sep 05, 2022",326,"15,262",2,588
"Sep 06, 2022",326,"15,289",2,588
"Sep 07, 2022",328,"15,344",2,587
"Sep 08, 2022",328,"15,376",2,587
"Sep 09, 2022",328,"15,382",2,587
"Sep 10, 2022",330,"15,399",2,587
"Sep 11, 2022",330,"15,406",2,587
"Sep 12, 2022",330,"15,417",2,587
"Sep 13, 2022",331,"15,422",2,587
"Sep 14, 2022",331,"15,427",2,587
"Sep 15, 2022",330,"15,431",2,587
"Sep 16, 2022",330,"15,435",2,588
"Sep 17, 2022",329,"15,413",2,588
"Sep 18, 2022",329,"15,426",2,588
"Sep 19, 2022",330,"15,466",2,587
"Sep 20, 2022",331,"15,471",2,587
"Sep 21, 2022",333,"15,487",2,588
"Sep 22, 2022",335,"15,509",2,588
"Sep 23, 2022",335,"15,522",2,588
"Sep 24, 2022",335,"15,524",2,588
"Sep 25, 2022",335,"15,547",2,588
"Sep 26, 2022",336,"15,564",2,589
"Sep 27, 2022",336,"15,563",2,589
"Sep 28, 2022",336,"15,581",2,589
"Sep 29, 2022",337,"15,583",2,589
"Sep 30, 2022",337,"15,689",2,590
"Oct 01, 2022",337,"15,695",2,590
"Oct 02, 2022",337,"15,702",2,590
"Oct 03, 2022",337,"15,703",2,590
"Oct 04, 2022",337,"15,714",2,590
"Oct 05, 2022",337,"15,721",2,590
"Oct 06, 2022",338,"15,732",2,590
"Oct 07, 2022",338,"15,741",2,590
"Oct 08, 2022",341,"15,758",2,590
"Oct 09, 2022",341,"15,765",2,591
"Oct 10, 2022",341,"15,773",2,592
"Oct 11, 2022",341,"15,785",2,593
"Oct 12, 2022",342,"15,780",2,593
"Oct 13, 2022",342,"15,787",2,593
"Oct 14, 2022",342,"15,797",2,594
"Oct 15, 2022",341,"15,800",2,594
"Oct 16, 2022",341,"15,801",2,594
"Oct 17, 2022",342,"15,825",2,594
"Oct 18, 2022",342,"15,828",2,594
"Oct 19, 2022",342,"15,827",2,594
"Oct 20, 2022",342,"15,846",2,595
"Oct 21, 2022",342,"15,871",2,595
"Oct 22, 2022",343,"15,884",2,596
"Oct 23, 2022",345,"15,908",2,596
"Oct 24, 2022",346,"18,260",2,596
"Oct 25, 2022",347,"18,274",2,596
"Oct 26, 2022",347,"18,283",2,596
"Oct 27, 2022",347,"18,287",2,595
"Oct 28, 2022",348,"18,293",2,595
"Oct 29, 2022",348,"18,305",2,595
"Oct 30, 2022",347,"18,306",2,595
"Oct 31, 2022",347,"18,309",2,595
"Nov 01, 2022",348,"18,322",2,595
"Nov 02, 2022",348,"18,318",2,595
"Nov 03, 2022",349,"18,584",2,595
"Nov 04, 2022",349,"18,646",2,596
"Nov 05, 2022",351,"18,729",2,596
"Nov 06, 2022",350,"18,599",2,596
"Nov 07, 2022",350,"18,624",2,596
"Nov 08, 2022",349,"18,621",2,596
"Nov 09, 2022",350,"18,630",2,596
"Nov 10, 2022",348,"18,640",2,597
"Nov 11, 2022",348,"18,645",2,597
"Nov 12, 2022",349,"18,955",2,597
"Nov 13, 2022",346,"18,955",2,597
"Nov 14, 2022",346,"18,963",2,597
"Nov 15, 2022",345,"18,956",2,597
"Nov 16, 2022",343,"18,969",2,596
"Nov 17, 2022",342,"18,969",2,596
"Nov 18, 2022",342,"18,970",2,596
"Nov 19, 2022",342,"18,969",2,596
"Nov 20, 2022",341,"18,772",2,596
"Nov 21, 2022",341,"18,785",2,596
"Nov 22, 2022",342,"19,029",2,596
"Nov 23, 2022",343,"19,028",2,595
"Nov 24, 2022",343,"19,029",2,595
"Nov 25, 2022",341,"18,956",2,595
"Nov 26, 2022",340,"18,957",2,595
"Nov 27, 2022",343,"18,986",2,596
"Nov 28, 2022",345,"19,014",2,597
"Nov 29, 2022",346,"19,020",2,597
"Nov 30, 2022",346,"19,022",2,598
"Dec 01, 2022",346,"19,038",2,598
"Dec 02, 2022",343,"19,023",2,599
"Dec 03, 2022",335,"16,168",2,599
"Dec 04, 2022",333,"18,519",2,599
"Dec 05, 2022",329,"18,663",2,599
"Dec 06, 2022",330,"18,681",2,599
"Dec 07, 2022",328,"18,656",2,599
"Dec 08, 2022",324,"18,389",2,599
"Dec 09, 2022",321,"18,385",2,599
"Dec 10, 2022",320,"18,366",2,599
"Dec 11, 2022",316,"17,431",2,597
"Dec 12, 2022",309,"16,096",2,597
"Dec 13, 2022",306,"15,988",2,597
"Dec 14, 2022",304,"15,084",2,597
"Dec 15, 2022",302,"15,090",2,597
"Dec 16, 2022",305,"15,743",2,597
"Dec 17, 2022",305,"13,346",2,597
"Dec 18, 2022",305,"16,067",2,597
