"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",853790,422
"2023-05-09 00:00:00",853368,354
"2023-05-08 00:00:00",853014,354
"2023-05-07 00:00:00",852660,452
"2023-05-06 00:00:00",852208,494
"2023-05-05 00:00:00",851714,508
"2023-05-04 00:00:00",851206,0
"2023-05-03 00:00:00",851206,698
"2023-05-02 00:00:00",850508,698
"2023-05-01 00:00:00",849810,404
"2023-04-30 00:00:00",849406,495
"2023-04-29 00:00:00",848911,521
"2023-04-28 00:00:00",848390,524
"2023-04-27 00:00:00",847866,537
"2023-04-26 00:00:00",847329,473
"2023-04-25 00:00:00",846856,406
"2023-04-24 00:00:00",846450,406
"2023-04-23 00:00:00",846044,543
"2023-04-22 00:00:00",845501,582
"2023-04-21 00:00:00",844919,520
"2023-04-20 00:00:00",844399,571
"2023-04-19 00:00:00",843828,580
"2023-04-18 00:00:00",843248,421
"2023-04-17 00:00:00",842827,0
"2023-04-16 00:00:00",842827,948
"2023-04-15 00:00:00",841879,524
"2023-04-14 00:00:00",841355,527
"2023-04-13 00:00:00",840828,448
"2023-04-12 00:00:00",840380,453
"2023-04-11 00:00:00",839927,356
"2023-04-10 00:00:00",839571,406
"2023-04-09 00:00:00",839165,454
"2023-04-08 00:00:00",838711,525
"2023-04-07 00:00:00",838186,542
"2023-04-06 00:00:00",837644,532
"2023-04-05 00:00:00",837112,486
"2023-04-04 00:00:00",836626,406
"2023-04-03 00:00:00",836220,409
"2023-04-02 00:00:00",835811,536
"2023-04-01 00:00:00",835275,565
"2023-03-31 00:00:00",834710,582
"2023-03-30 00:00:00",834128,0
"2023-03-29 00:00:00",834128,1190
"2023-03-28 00:00:00",832938,433
"2023-03-27 00:00:00",832505,479
"2023-03-26 00:00:00",832026,0
"2023-03-25 00:00:00",832026,1121
"2023-03-24 00:00:00",830905,0
"2023-03-23 00:00:00",830905,1156
"2023-03-22 00:00:00",829749,563
"2023-03-21 00:00:00",829186,441
"2023-03-20 00:00:00",828745,501
"2023-03-19 00:00:00",828244,585
"2023-03-18 00:00:00",827659,620
"2023-03-17 00:00:00",827039,676
"2023-03-16 00:00:00",826363,656
"2023-03-15 00:00:00",825707,640
"2023-03-14 00:00:00",825067,549
"2023-03-13 00:00:00",824518,536
"2023-03-12 00:00:00",823982,762
"2023-03-11 00:00:00",823220,772
"2023-03-10 00:00:00",822448,723
"2023-03-09 00:00:00",821725,785
"2023-03-08 00:00:00",820940,776
"2023-03-07 00:00:00",820164,618
