Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",174,"87,055",,
"Jun 19, 2022",196,"88,197",2,583
"Jun 20, 2022",217,"90,772",2,582
"Jun 21, 2022",235,"90,900",2,582
"Jun 22, 2022",248,"86,705",2,582
"Jun 23, 2022",265,"86,952",2,582
"Jun 24, 2022",271,"19,255",2,582
"Jun 25, 2022",269,"16,660",2,581
"Jun 26, 2022",272,"16,662",2,581
"Jun 27, 2022",276,"16,428",2,581
"Jun 28, 2022",279,"16,430",2,581
"Jun 29, 2022",283,"16,421",2,581
"Jun 30, 2022",288,"17,411",2,580
"Jul 01, 2022",290,"19,504",2,580
"Jul 02, 2022",292,"19,516",2,580
"Jul 03, 2022",294,"18,606",2,580
"Jul 04, 2022",294,"18,539",2,580
"Jul 05, 2022",296,"18,545",2,579
"Jul 06, 2022",297,"18,871",2,579
"Jul 07, 2022",299,"13,903",2,579
"Jul 08, 2022",299,"13,901",2,580
"Jul 09, 2022",299,"13,903",2,580
"Jul 10, 2022",298,"13,895",2,580
"Jul 11, 2022",300,"13,901",2,580
"Jul 12, 2022",300,"13,919",2,580
"Jul 13, 2022",298,"13,900",2,580
"Jul 14, 2022",297,"13,891",2,579
"Jul 15, 2022",298,"13,896",2,579
"Jul 16, 2022",298,"13,287",2,579
"Jul 17, 2022",302,"13,485",2,579
"Jul 18, 2022",303,"13,491",2,579
"Jul 19, 2022",302,"13,458",2,579
"Jul 20, 2022",305,"15,186",2,579
"Jul 21, 2022",306,"15,259",2,579
"Jul 22, 2022",307,"15,380",2,580
"Jul 23, 2022",308,"15,426",2,580
"Jul 24, 2022",310,"15,457",2,580
"Jul 25, 2022",310,"14,773",2,581
"Jul 26, 2022",311,"14,800",2,582
"Jul 27, 2022",311,"14,682",2,582
"Jul 28, 2022",314,"14,707",2,582
"Jul 29, 2022",314,"14,708",2,582
"Jul 30, 2022",313,"14,717",2,583
"Jul 31, 2022",313,"14,721",2,584
"Aug 01, 2022",313,"14,744",2,584
"Aug 02, 2022",312,"13,781",2,584
"Aug 03, 2022",313,"13,806",2,584
"Aug 04, 2022",318,"13,816",2,584
"Aug 05, 2022",319,"13,821",2,584
"Aug 06, 2022",320,"13,804",2,584
"Aug 07, 2022",320,"13,808",2,585
