"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",1150719,551
"2023-05-09 00:00:00",1150168,442
"2023-05-08 00:00:00",1149726,442
"2023-05-07 00:00:00",1149284,559
"2023-05-06 00:00:00",1148725,620
"2023-05-05 00:00:00",1148105,600
"2023-05-04 00:00:00",1147505,0
"2023-05-03 00:00:00",1147505,751
"2023-05-02 00:00:00",1146755,751
"2023-05-01 00:00:00",1146004,486
"2023-04-30 00:00:00",1145518,555
"2023-04-29 00:00:00",1144963,537
"2023-04-28 00:00:00",1144426,555
"2023-04-27 00:00:00",1143871,558
"2023-04-26 00:00:00",1143313,539
"2023-04-25 00:00:00",1142774,446
"2023-04-24 00:00:00",1142329,446
"2023-04-23 00:00:00",1141883,548
"2023-04-22 00:00:00",1141335,563
"2023-04-21 00:00:00",1140772,615
"2023-04-20 00:00:00",1140157,586
"2023-04-19 00:00:00",1139571,618
"2023-04-18 00:00:00",1138953,467
"2023-04-17 00:00:00",1138486,0
"2023-04-16 00:00:00",1138486,1062
"2023-04-15 00:00:00",1137424,640
"2023-04-14 00:00:00",1136784,563
"2023-04-13 00:00:00",1136221,536
"2023-04-12 00:00:00",1135685,514
"2023-04-11 00:00:00",1135171,426
"2023-04-10 00:00:00",1134745,505
"2023-04-09 00:00:00",1134240,0
"2023-04-08 00:00:00",1134240,1168
"2023-04-07 00:00:00",1133072,610
"2023-04-06 00:00:00",1132462,617
"2023-04-05 00:00:00",1131845,627
"2023-04-04 00:00:00",1131218,491
"2023-04-03 00:00:00",1130727,505
"2023-04-02 00:00:00",1130222,604
"2023-04-01 00:00:00",1129618,673
"2023-03-31 00:00:00",1128945,644
"2023-03-30 00:00:00",1128301,0
"2023-03-29 00:00:00",1128301,1393
"2023-03-28 00:00:00",1126908,488
"2023-03-27 00:00:00",1126420,582
"2023-03-26 00:00:00",1125838,0
"2023-03-25 00:00:00",1125838,1389
"2023-03-24 00:00:00",1124449,0
"2023-03-23 00:00:00",1124449,1422
"2023-03-22 00:00:00",1123027,666
"2023-03-21 00:00:00",1122361,541
"2023-03-20 00:00:00",1121820,614
"2023-03-19 00:00:00",1121206,731
"2023-03-18 00:00:00",1120475,787
"2023-03-17 00:00:00",1119688,828
"2023-03-16 00:00:00",1118860,801
"2023-03-15 00:00:00",1118059,775
"2023-03-14 00:00:00",1117284,650
"2023-03-13 00:00:00",1116634,690
"2023-03-12 00:00:00",1115944,926
"2023-03-11 00:00:00",1115018,1016
"2023-03-10 00:00:00",1114002,953
"2023-03-09 00:00:00",1113049,987
"2023-03-08 00:00:00",1112062,956
"2023-03-07 00:00:00",1111106,765
"2023-03-06 00:00:00",1110341,0
"2023-03-05 00:00:00",1110341,2063
"2023-03-04 00:00:00",1108278,1280
"2023-03-03 00:00:00",1106998,1173
"2023-03-02 00:00:00",1105825,1156
"2023-03-01 00:00:00",1104669,1013
"2023-02-28 00:00:00",1103656,0
"2023-02-27 00:00:00",1103656,1672
"2023-02-26 00:00:00",1101984,1047
"2023-02-25 00:00:00",1100937,1127
"2023-02-24 00:00:00",1099810,1035
"2023-02-23 00:00:00",1098775,1819
"2023-02-22 00:00:00",1096956,0
"2023-02-21 00:00:00",1096956,733
"2023-02-20 00:00:00",1096223,0
"2023-02-19 00:00:00",1096223,1828
"2023-02-18 00:00:00",1094395,1015
"2023-02-17 00:00:00",1093380,1095
"2023-02-16 00:00:00",1092285,0
"2023-02-15 00:00:00",1092285,2089
"2023-02-14 00:00:00",1090196,900
"2023-02-13 00:00:00",1089296,0
"2023-02-12 00:00:00",1089296,2160
"2023-02-11 00:00:00",1087136,1206
"2023-02-10 00:00:00",1085930,1212
"2023-02-09 00:00:00",1084718,1241
"2023-02-08 00:00:00",1083477,1005
"2023-02-07 00:00:00",1082473,1005
"2023-02-06 00:00:00",1081468,0
"2023-02-05 00:00:00",1081468,2253
"2023-02-04 00:00:00",1079215,1167
"2023-02-03 00:00:00",1078048,1135
"2023-02-02 00:00:00",1076913,1152
"2023-02-01 00:00:00",1075761,1141
"2023-01-31 00:00:00",1074620,852
"2023-01-30 00:00:00",1073768,1005
"2023-01-29 00:00:00",1072763,1091
"2023-01-28 00:00:00",1071672,1229
"2023-01-27 00:00:00",1070443,1224
