"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",1059083,501
"2023-05-09 00:00:00",1058582,398
"2023-05-08 00:00:00",1058185,398
"2023-05-07 00:00:00",1057787,520
"2023-05-06 00:00:00",1057267,568
"2023-05-05 00:00:00",1056699,525
"2023-05-04 00:00:00",1056174,0
"2023-05-03 00:00:00",1056174,727
"2023-05-02 00:00:00",1055447,727
"2023-05-01 00:00:00",1054720,418
"2023-04-30 00:00:00",1054302,538
"2023-04-29 00:00:00",1053764,502
"2023-04-28 00:00:00",1053262,519
"2023-04-27 00:00:00",1052743,562
"2023-04-26 00:00:00",1052181,500
"2023-04-25 00:00:00",1051681,405
"2023-04-24 00:00:00",1051276,405
"2023-04-23 00:00:00",1050871,532
"2023-04-22 00:00:00",1050339,542
"2023-04-21 00:00:00",1049797,560
"2023-04-20 00:00:00",1049237,579
"2023-04-19 00:00:00",1048658,578
"2023-04-18 00:00:00",1048080,420
"2023-04-17 00:00:00",1047660,0
"2023-04-16 00:00:00",1047660,996
"2023-04-15 00:00:00",1046664,595
"2023-04-14 00:00:00",1046069,551
"2023-04-13 00:00:00",1045518,529
"2023-04-12 00:00:00",1044989,509
"2023-04-11 00:00:00",1044480,401
"2023-04-10 00:00:00",1044079,448
"2023-04-09 00:00:00",1043631,0
"2023-04-08 00:00:00",1043631,1102
"2023-04-07 00:00:00",1042529,566
"2023-04-06 00:00:00",1041963,606
"2023-04-05 00:00:00",1041357,585
"2023-04-04 00:00:00",1040772,450
"2023-04-03 00:00:00",1040322,472
"2023-04-02 00:00:00",1039850,622
"2023-04-01 00:00:00",1039228,616
"2023-03-31 00:00:00",1038612,649
"2023-03-30 00:00:00",1037963,0
"2023-03-29 00:00:00",1037963,1445
"2023-03-28 00:00:00",1036518,521
"2023-03-27 00:00:00",1035997,570
"2023-03-26 00:00:00",1035427,0
"2023-03-25 00:00:00",1035427,1369
"2023-03-24 00:00:00",1034058,0
"2023-03-23 00:00:00",1034058,1412
"2023-03-22 00:00:00",1032646,651
"2023-03-21 00:00:00",1031995,564
"2023-03-20 00:00:00",1031431,568
"2023-03-19 00:00:00",1030863,740
"2023-03-18 00:00:00",1030123,737
"2023-03-17 00:00:00",1029386,804
"2023-03-16 00:00:00",1028582,754
"2023-03-15 00:00:00",1027828,719
"2023-03-14 00:00:00",1027109,665
"2023-03-13 00:00:00",1026444,684
"2023-03-12 00:00:00",1025760,884
"2023-03-11 00:00:00",1024876,907
"2023-03-10 00:00:00",1023969,899
"2023-03-09 00:00:00",1023070,956
"2023-03-08 00:00:00",1022114,953
"2023-03-07 00:00:00",1021161,758
"2023-03-06 00:00:00",1020403,0
"2023-03-05 00:00:00",1020403,2036
"2023-03-04 00:00:00",1018367,1214
"2023-03-03 00:00:00",1017153,1231
"2023-03-02 00:00:00",1015922,1264
"2023-03-01 00:00:00",1014658,953
"2023-02-28 00:00:00",1013705,0
"2023-02-27 00:00:00",1013705,1619
"2023-02-26 00:00:00",1012086,973
"2023-02-25 00:00:00",1011113,1097
"2023-02-24 00:00:00",1010016,1055
"2023-02-23 00:00:00",1008961,1713
"2023-02-22 00:00:00",1007248,0
"2023-02-21 00:00:00",1007248,753
"2023-02-20 00:00:00",1006495,0
"2023-02-19 00:00:00",1006495,1798
"2023-02-18 00:00:00",1004697,989
"2023-02-17 00:00:00",1003708,1049
"2023-02-16 00:00:00",1002659,0
"2023-02-15 00:00:00",1002659,2015
"2023-02-14 00:00:00",1000644,865
"2023-02-13 00:00:00",999779,0
"2023-02-12 00:00:00",999779,1992
"2023-02-11 00:00:00",997787,1183
"2023-02-10 00:00:00",996604,1158
"2023-02-09 00:00:00",995446,1125
"2023-02-08 00:00:00",994321,951
"2023-02-07 00:00:00",993371,951
"2023-02-06 00:00:00",992420,0
"2023-02-05 00:00:00",992420,2068
"2023-02-04 00:00:00",990352,1082
"2023-02-03 00:00:00",989270,1117
"2023-02-02 00:00:00",988153,1099
"2023-02-01 00:00:00",987054,958
"2023-01-31 00:00:00",986096,802
"2023-01-30 00:00:00",985294,910
"2023-01-29 00:00:00",984384,1025
"2023-01-28 00:00:00",983359,1156
"2023-01-27 00:00:00",982203,1118
"2023-01-26 00:00:00",981085,1171
"2023-01-25 00:00:00",979914,1156
"2023-01-24 00:00:00",978758,911
"2023-01-23 00:00:00",977847,1024
"2023-01-22 00:00:00",976823,1257
"2023-01-21 00:00:00",975566,1332
"2023-01-20 00:00:00",974234,1415
"2023-01-19 00:00:00",972819,1418
"2023-01-18 00:00:00",971401,1350
"2023-01-17 00:00:00",970051,1090
"2023-01-16 00:00:00",968961,1171
"2023-01-15 00:00:00",967790,1475
"2023-01-14 00:00:00",966315,1338
"2023-01-13 00:00:00",964977,1211
"2023-01-12 00:00:00",963766,1114
"2023-01-11 00:00:00",962652,1048
"2023-01-10 00:00:00",961604,871
"2023-01-09 00:00:00",960733,1015
"2023-01-08 00:00:00",959718,1097
"2023-01-07 00:00:00",958621,1267
"2023-01-06 00:00:00",957354,1093
"2023-01-05 00:00:00",956261,937
"2023-01-04 00:00:00",955324,912
"2023-01-03 00:00:00",954412,714
"2023-01-02 00:00:00",953698,847
"2023-01-01 00:00:00",952851,992
"2022-12-31 00:00:00",951859,954
"2022-12-30 00:00:00",950905,1005
"2022-12-29 00:00:00",949900,846
"2022-12-28 00:00:00",949054,0
"2022-12-27 00:00:00",949054,1279
"2022-12-26 00:00:00",947775,720
"2022-12-25 00:00:00",947055,886
"2022-12-24 00:00:00",946169,954
"2022-12-23 00:00:00",945215,963
"2022-12-22 00:00:00",944252,913
"2022-12-21 00:00:00",943339,854
"2022-12-20 00:00:00",942485,702
"2022-12-19 00:00:00",941783,815
"2022-12-18 00:00:00",940968,954
"2022-12-17 00:00:00",940014,1099
"2022-12-16 00:00:00",938915,1036
"2022-12-15 00:00:00",937879,1054
"2022-12-14 00:00:00",936825,1063
"2022-12-13 00:00:00",935762,802
"2022-12-12 00:00:00",934960,829
"2022-12-11 00:00:00",934131,1111
"2022-12-10 00:00:00",933020,1111
"2022-12-09 00:00:00",931909,1097
"2022-12-08 00:00:00",930812,974
"2022-12-07 00:00:00",929838,884
"2022-12-06 00:00:00",928954,956
"2022-12-05 00:00:00",927998,956
"2022-12-04 00:00:00",927042,956
"2022-12-03 00:00:00",926087,956
"2022-12-02 00:00:00",925131,956
"2022-12-01 00:00:00",924175,1046
"2022-11-30 00:00:00",923129,910
"2022-11-29 00:00:00",922219,745
"2022-11-28 00:00:00",921474,779
"2022-11-27 00:00:00",920695,781
"2022-11-26 00:00:00",919914,742
"2022-11-25 00:00:00",919172,1032
"2022-11-24 00:00:00",918140,1008
"2022-11-23 00:00:00",917132,856
"2022-11-22 00:00:00",916276,714
"2022-11-21 00:00:00",915562,804
"2022-11-20 00:00:00",914758,993
"2022-11-19 00:00:00",913765,985
"2022-11-18 00:00:00",912780,1078
"2022-11-17 00:00:00",911702,1059
"2022-11-16 00:00:00",910643,968
"2022-11-15 00:00:00",909675,784
"2022-11-14 00:00:00",908891,867
"2022-11-13 00:00:00",908024,985
"2022-11-12 00:00:00",907039,1113
"2022-11-11 00:00:00",905926,1111
"2022-11-10 00:00:00",904815,1052
"2022-11-09 00:00:00",903763,1045
"2022-11-08 00:00:00",902718,823
"2022-11-07 00:00:00",901895,912
"2022-11-06 00:00:00",900983,1088
"2022-11-05 00:00:00",899895,1284
"2022-11-04 00:00:00",898611,1247
"2022-11-03 00:00:00",897364,1165
"2022-11-02 00:00:00",896199,1172
"2022-11-01 00:00:00",895027,961
"2022-10-31 00:00:00",894066,984
"2022-10-30 00:00:00",893082,1275
"2022-10-29 00:00:00",891807,1424
"2022-10-28 00:00:00",890383,1475
"2022-10-27 00:00:00",888908,1426
"2022-10-26 00:00:00",887482,1365
"2022-10-25 00:00:00",886117,1034
"2022-10-24 00:00:00",885083,1229
"2022-10-23 00:00:00",883854,1540
"2022-10-22 00:00:00",882314,1530
"2022-10-21 00:00:00",880784,0
"2022-10-20 00:00:00",880784,2873
"2022-10-19 00:00:00",877911,1434
"2022-10-18 00:00:00",876477,1072
"2022-10-17 00:00:00",875405,1246
"2022-10-16 00:00:00",874159,1457
"2022-10-15 00:00:00",872702,1605
"2022-10-14 00:00:00",871097,1613
"2022-10-13 00:00:00",869484,1584
"2022-10-12 00:00:00",867900,1523
"2022-10-11 00:00:00",866377,1222
"2022-10-10 00:00:00",865155,1333
"2022-10-09 00:00:00",863822,1669
"2022-10-08 00:00:00",862153,1990
"2022-10-07 00:00:00",860163,1942
"2022-10-06 00:00:00",858221,1984
"2022-10-05 00:00:00",856237,1778
"2022-10-04 00:00:00",854459,1364
"2022-10-03 00:00:00",853095,1449
"2022-10-02 00:00:00",851646,1687
"2022-10-01 00:00:00",849959,1821
"2022-09-30 00:00:00",848138,1650
"2022-09-29 00:00:00",846488,1695
"2022-09-28 00:00:00",844793,1632
"2022-09-27 00:00:00",843161,1257
"2022-09-26 00:00:00",841904,1453
"2022-09-25 00:00:00",840451,1743
"2022-09-24 00:00:00",838708,1750
"2022-09-23 00:00:00",836958,3542
"2022-09-22 00:00:00",833416,0
"2022-09-21 00:00:00",833416,1569
"2022-09-20 00:00:00",831847,1344
"2022-09-19 00:00:00",830503,1526
"2022-09-18 00:00:00",828977,1832
"2022-09-17 00:00:00",827145,1879
"2022-09-16 00:00:00",825266,1813
"2022-09-15 00:00:00",823453,1828
"2022-09-14 00:00:00",821625,1855
"2022-09-13 00:00:00",819770,1424
"2022-09-12 00:00:00",818346,1630
"2022-09-11 00:00:00",816716,1940
"2022-09-10 00:00:00",814776,2101
"2022-09-09 00:00:00",812675,2065
"2022-09-08 00:00:00",810610,3890
"2022-09-07 00:00:00",806720,0
"2022-09-06 00:00:00",806720,1628
"2022-09-05 00:00:00",805092,1857
"2022-09-04 00:00:00",803235,2450
"2022-09-03 00:00:00",800785,2384
"2022-09-02 00:00:00",798401,2300
"2022-09-01 00:00:00",796101,2255
"2022-08-31 00:00:00",793846,2178
"2022-08-30 00:00:00",791668,1717
"2022-08-29 00:00:00",789951,1935
"2022-08-28 00:00:00",788016,2387
"2022-08-27 00:00:00",785629,2531
"2022-08-26 00:00:00",783098,2545
"2022-08-25 00:00:00",780553,2610
"2022-08-24 00:00:00",777943,2582
"2022-08-23 00:00:00",775361,2583
"2022-08-22 00:00:00",772778,2583
"2022-08-21 00:00:00",770195,2583
"2022-08-20 00:00:00",767612,2583
"2022-08-19 00:00:00",765029,2954
"2022-08-18 00:00:00",762075,2994
"2022-08-17 00:00:00",759081,2806
"2022-08-16 00:00:00",756275,2445
"2022-08-15 00:00:00",753830,2642
"2022-08-14 00:00:00",751188,3127
"2022-08-13 00:00:00",748061,3552
"2022-08-12 00:00:00",744509,3090
"2022-08-11 00:00:00",741419,3178
"2022-08-10 00:00:00",738241,3056
"2022-08-09 00:00:00",735185,2684
"2022-08-08 00:00:00",732501,2826
"2022-08-07 00:00:00",729675,3373
"2022-08-06 00:00:00",726302,3643
"2022-08-05 00:00:00",722659,3637
"2022-08-04 00:00:00",719022,3627
"2022-08-03 00:00:00",715395,3629
"2022-08-02 00:00:00",711766,3075
"2022-08-01 00:00:00",708691,3565
"2022-07-31 00:00:00",705126,4372
"2022-07-30 00:00:00",700754,4705
"2022-07-29 00:00:00",696049,4849
"2022-07-28 00:00:00",691200,4908
"2022-07-27 00:00:00",686292,4842
"2022-07-26 00:00:00",681450,4101
"2022-07-25 00:00:00",677349,4613
