Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 18, 2022",423,"105,719",,
"Jun 19, 2022",484,"159,204",2,583
"Jun 20, 2022",534,"162,891",2,582
"Jun 21, 2022",578,"124,127",2,582
"Jun 22, 2022",619,"122,552",2,582
"Jun 23, 2022",652,"120,680",2,582
"Jun 24, 2022",674,"54,401",2,582
"Jun 25, 2022",684,"52,116",2,581
"Jun 26, 2022",692,"54,894",2,581
"Jun 27, 2022",701,"53,229",2,581
"Jun 28, 2022",712,"52,269",2,581
"Jun 29, 2022",722,"53,040",2,581
"Jun 30, 2022",732,"54,640",2,580
"Jul 01, 2022",739,"56,835",2,580
"Jul 02, 2022",745,"57,887",2,580
"Jul 03, 2022",750,"57,068",2,580
"Jul 04, 2022",754,"57,011",2,580
"Jul 05, 2022",758,"56,039",2,579
"Jul 06, 2022",759,"56,344",2,579
"Jul 07, 2022",766,"51,381",2,579
"Jul 08, 2022",771,"51,428",2,580
"Jul 09, 2022",773,"51,453",2,580
"Jul 10, 2022",778,"51,480",2,580
"Jul 11, 2022",787,"51,538",2,580
"Jul 12, 2022",788,"52,298",2,580
"Jul 13, 2022",783,"52,279",2,580
"Jul 14, 2022",786,"54,093",2,579
"Jul 15, 2022",787,"54,098",2,579
"Jul 16, 2022",789,"53,497",2,579
"Jul 17, 2022",794,"53,706",2,579
"Jul 18, 2022",801,"53,677",2,579
"Jul 19, 2022",803,"52,785",2,579
"Jul 20, 2022",808,"54,513",2,579
"Jul 21, 2022",813,"54,700",2,579
"Jul 22, 2022",815,"54,946",2,580
"Jul 23, 2022",817,"55,021",2,580
"Jul 24, 2022",820,"55,038",2,580
"Jul 25, 2022",823,"55,121",2,581
"Jul 26, 2022",824,"55,135",2,582
"Jul 27, 2022",824,"55,038",2,582
"Jul 28, 2022",826,"55,093",2,582
"Jul 29, 2022",826,"55,099",2,582
"Jul 30, 2022",826,"55,176",2,583
"Jul 31, 2022",828,"55,246",2,584
"Aug 01, 2022",829,"55,283",2,584
"Aug 02, 2022",828,"54,330",2,584
"Aug 03, 2022",834,"54,426",2,584
"Aug 04, 2022",841,"54,476",2,584
"Aug 05, 2022",843,"54,739",2,584
"Aug 06, 2022",851,"55,067",2,584
"Aug 07, 2022",851,"55,069",2,585
"Aug 08, 2022",850,"54,597",2,585
"Aug 09, 2022",854,"54,694",2,585
"Aug 10, 2022",854,"54,710",2,585
"Aug 11, 2022",856,"54,713",2,585
"Aug 12, 2022",856,"54,740",2,586
"Aug 13, 2022",859,"54,757",2,586
"Aug 14, 2022",860,"55,511",2,586
"Aug 15, 2022",862,"55,542",2,586
"Aug 16, 2022",863,"55,423",2,586
"Aug 17, 2022",864,"54,446",2,587
"Aug 18, 2022",865,"54,483",2,587
"Aug 19, 2022",866,"54,464",2,587
"Aug 20, 2022",869,"54,473",2,587
"Aug 21, 2022",870,"54,485",2,589
"Aug 22, 2022",870,"54,503",2,589
"Aug 23, 2022",871,"54,506",2,589
"Aug 24, 2022",874,"55,473",2,589
"Aug 25, 2022",875,"55,513",2,589
"Aug 26, 2022",875,"56,733",2,589
"Aug 27, 2022",875,"56,803",2,590
"Aug 28, 2022",876,"56,823",2,590
"Aug 29, 2022",877,"56,825",2,590
"Aug 30, 2022",879,"56,975",2,589
"Aug 31, 2022",882,"56,985",2,589
"Sep 01, 2022",885,"56,971",2,589
"Sep 02, 2022",885,"45,333",2,587
"Sep 03, 2022",887,"45,457",2,587
"Sep 04, 2022",890,"45,704",2,588
"Sep 05, 2022",891,"45,741",2,588
"Sep 06, 2022",891,"45,775",2,588
"Sep 07, 2022",895,"45,837",2,587
"Sep 08, 2022",894,"45,875",2,587
"Sep 09, 2022",895,"45,887",2,587
"Sep 10, 2022",898,"45,913",2,587
"Sep 11, 2022",899,"45,938",2,587
"Sep 12, 2022",902,"46,124",2,587
"Sep 13, 2022",903,"46,134",2,587
"Sep 14, 2022",902,"46,144",2,587
"Sep 15, 2022",904,"46,172",2,587
"Sep 16, 2022",904,"46,182",2,588
"Sep 17, 2022",903,"46,196",2,588
"Sep 18, 2022",903,"46,121",2,588
"Sep 19, 2022",904,"46,377",2,587
"Sep 20, 2022",905,"46,296",2,587
"Sep 21, 2022",907,"46,363",2,588
"Sep 22, 2022",909,"46,397",2,588
"Sep 23, 2022",909,"46,424",2,588
"Sep 24, 2022",910,"46,439",2,588
"Sep 25, 2022",910,"46,491",2,588
"Sep 26, 2022",913,"46,522",2,589
"Sep 27, 2022",914,"46,552",2,589
