"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",2156444,1292
"2023-05-09 00:00:00",2155152,1083
"2023-05-08 00:00:00",2154069,1083
"2023-05-07 00:00:00",2152986,1408
"2023-05-06 00:00:00",2151578,1471
"2023-05-05 00:00:00",2150107,1513
"2023-05-04 00:00:00",2148594,0
"2023-05-03 00:00:00",2148594,2190
"2023-05-02 00:00:00",2146405,2190
"2023-05-01 00:00:00",2144215,1425
"2023-04-30 00:00:00",2142790,1676
"2023-04-29 00:00:00",2141114,1518
"2023-04-28 00:00:00",2139596,1406
"2023-04-27 00:00:00",2138190,1487
"2023-04-26 00:00:00",2136703,1411
"2023-04-25 00:00:00",2135292,1215
"2023-04-24 00:00:00",2134077,1215
"2023-04-23 00:00:00",2132862,1640
"2023-04-22 00:00:00",2131222,1673
"2023-04-21 00:00:00",2129549,1592
"2023-04-20 00:00:00",2127957,1597
"2023-04-19 00:00:00",2126360,1685
"2023-04-18 00:00:00",2124675,1272
"2023-04-17 00:00:00",2123403,0
"2023-04-16 00:00:00",2123403,2873
"2023-04-15 00:00:00",2120530,1713
"2023-04-14 00:00:00",2118817,1576
"2023-04-13 00:00:00",2117241,1428
"2023-04-12 00:00:00",2115813,1376
"2023-04-11 00:00:00",2114437,1083
"2023-04-10 00:00:00",2113354,1235
"2023-04-09 00:00:00",2112119,1242
"2023-04-08 00:00:00",2110877,1446
"2023-04-07 00:00:00",2109431,1417
"2023-04-06 00:00:00",2108014,1472
"2023-04-05 00:00:00",2106542,1507
"2023-04-04 00:00:00",2105035,1155
"2023-04-03 00:00:00",2103880,1282
"2023-04-02 00:00:00",2102598,1463
"2023-04-01 00:00:00",2101135,1552
"2023-03-31 00:00:00",2099583,1560
"2023-03-30 00:00:00",2098023,0
"2023-03-29 00:00:00",2098023,3160
"2023-03-28 00:00:00",2094863,1300
"2023-03-27 00:00:00",2093563,1414
"2023-03-26 00:00:00",2092149,0
"2023-03-25 00:00:00",2092149,3271
"2023-03-24 00:00:00",2088878,0
"2023-03-23 00:00:00",2088878,3626
"2023-03-22 00:00:00",2085252,1560
"2023-03-21 00:00:00",2083692,1383
"2023-03-20 00:00:00",2082309,1462
"2023-03-19 00:00:00",2080847,1720
"2023-03-18 00:00:00",2079127,1818
"2023-03-17 00:00:00",2077309,1831
"2023-03-16 00:00:00",2075478,1682
"2023-03-15 00:00:00",2073796,1736
"2023-03-14 00:00:00",2072060,1519
"2023-03-13 00:00:00",2070541,1647
"2023-03-12 00:00:00",2068894,2018
"2023-03-11 00:00:00",2066876,2200
"2023-03-10 00:00:00",2064676,2103
"2023-03-09 00:00:00",2062573,2221
"2023-03-08 00:00:00",2060352,2108
"2023-03-07 00:00:00",2058244,1762
"2023-03-06 00:00:00",2056482,0
"2023-03-05 00:00:00",2056482,4598
"2023-03-04 00:00:00",2051884,2810
"2023-03-03 00:00:00",2049074,2696
"2023-03-02 00:00:00",2046378,2230
"2023-03-01 00:00:00",2044148,2115
"2023-02-28 00:00:00",2042033,0
"2023-02-27 00:00:00",2042033,3534
"2023-02-26 00:00:00",2038499,2127
"2023-02-25 00:00:00",2036372,2374
"2023-02-24 00:00:00",2033998,2211
"2023-02-23 00:00:00",2031787,3968
"2023-02-22 00:00:00",2027819,0
"2023-02-21 00:00:00",2027819,1621
"2023-02-20 00:00:00",2026198,0
"2023-02-19 00:00:00",2026198,4147
"2023-02-18 00:00:00",2022051,2546
"2023-02-17 00:00:00",2019505,2228
"2023-02-16 00:00:00",2017277,0
