"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",2862006,2851
"2023-05-09 00:00:00",2859155,2465
"2023-05-08 00:00:00",2856691,2465
"2023-05-07 00:00:00",2854226,2958
"2023-05-06 00:00:00",2851268,3092
"2023-05-05 00:00:00",2848176,3129
"2023-05-04 00:00:00",2845047,0
"2023-05-03 00:00:00",2845047,4305
"2023-05-02 00:00:00",2840742,4305
"2023-05-01 00:00:00",2836437,2771
"2023-04-30 00:00:00",2833666,3163
"2023-04-29 00:00:00",2830503,3264
"2023-04-28 00:00:00",2827239,3327
"2023-04-27 00:00:00",2823912,3319
"2023-04-26 00:00:00",2820593,2989
"2023-04-25 00:00:00",2817604,2571
"2023-04-24 00:00:00",2815033,2571
"2023-04-23 00:00:00",2812462,3305
"2023-04-22 00:00:00",2809157,3676
"2023-04-21 00:00:00",2805481,3656
"2023-04-20 00:00:00",2801825,3693
"2023-04-19 00:00:00",2798132,3337
"2023-04-18 00:00:00",2794795,2742
"2023-04-17 00:00:00",2792053,0
"2023-04-16 00:00:00",2792053,6577
"2023-04-15 00:00:00",2785476,3493
"2023-04-14 00:00:00",2781983,3465
"2023-04-13 00:00:00",2778518,3396
"2023-04-12 00:00:00",2775122,3227
"2023-04-11 00:00:00",2771895,2694
"2023-04-10 00:00:00",2769201,2930
"2023-04-09 00:00:00",2766271,3171
"2023-04-08 00:00:00",2763100,3702
"2023-04-07 00:00:00",2759398,3365
"2023-04-06 00:00:00",2756033,3553
"2023-04-05 00:00:00",2752480,3472
"2023-04-04 00:00:00",2749008,3163
"2023-04-03 00:00:00",2745845,3461
"2023-04-02 00:00:00",2742384,3423
"2023-04-01 00:00:00",2738961,3538
"2023-03-31 00:00:00",2735423,3729
"2023-03-30 00:00:00",2731694,0
"2023-03-29 00:00:00",2731694,7222
"2023-03-28 00:00:00",2724472,3057
"2023-03-27 00:00:00",2721415,3084
"2023-03-26 00:00:00",2718331,0
"2023-03-25 00:00:00",2718331,7499
"2023-03-24 00:00:00",2710832,0
"2023-03-23 00:00:00",2710832,7946
"2023-03-22 00:00:00",2702886,3679
"2023-03-21 00:00:00",2699207,3209
"2023-03-20 00:00:00",2695998,3692
"2023-03-19 00:00:00",2692306,3867
"2023-03-18 00:00:00",2688439,3994
"2023-03-17 00:00:00",2684445,3814
"2023-03-16 00:00:00",2680631,3800
"2023-03-15 00:00:00",2676831,3763
"2023-03-14 00:00:00",2673068,3151
"2023-03-13 00:00:00",2669917,3524
"2023-03-12 00:00:00",2666393,4116
"2023-03-11 00:00:00",2662277,4334
"2023-03-10 00:00:00",2657943,4282
"2023-03-09 00:00:00",2653661,4345
"2023-03-08 00:00:00",2649316,4122
"2023-03-07 00:00:00",2645194,3134
"2023-03-06 00:00:00",2642060,0
"2023-03-05 00:00:00",2642060,9033
"2023-03-04 00:00:00",2633027,5006
"2023-03-03 00:00:00",2628021,4765
"2023-03-02 00:00:00",2623256,4683
"2023-03-01 00:00:00",2618573,3828
"2023-02-28 00:00:00",2614745,0
"2023-02-27 00:00:00",2614745,6840
"2023-02-26 00:00:00",2607905,4244
"2023-02-25 00:00:00",2603661,4350
"2023-02-24 00:00:00",2599311,4030
"2023-02-23 00:00:00",2595281,7987
"2023-02-22 00:00:00",2587294,0
"2023-02-21 00:00:00",2587294,3448
"2023-02-20 00:00:00",2583846,0
"2023-02-19 00:00:00",2583846,8160
"2023-02-18 00:00:00",2575686,4185
"2023-02-17 00:00:00",2571501,4451
"2023-02-16 00:00:00",2567050,0
"2023-02-15 00:00:00",2567050,8953
"2023-02-14 00:00:00",2558097,3616
"2023-02-13 00:00:00",2554481,0
"2023-02-12 00:00:00",2554481,8583
"2023-02-11 00:00:00",2545898,4571
"2023-02-10 00:00:00",2541327,4601
"2023-02-09 00:00:00",2536726,4766
"2023-02-08 00:00:00",2531960,3923
"2023-02-07 00:00:00",2528038,3923
"2023-02-06 00:00:00",2524115,0
"2023-02-05 00:00:00",2524115,8094
"2023-02-04 00:00:00",2516021,4562
"2023-02-03 00:00:00",2511459,4408
"2023-02-02 00:00:00",2507051,4270
"2023-02-01 00:00:00",2502781,4112
"2023-01-31 00:00:00",2498669,3477
"2023-01-30 00:00:00",2495192,3889
"2023-01-29 00:00:00",2491303,4334
"2023-01-28 00:00:00",2486969,4628
"2023-01-27 00:00:00",2482341,4466
"2023-01-26 00:00:00",2477875,4579
"2023-01-25 00:00:00",2473296,4445
"2023-01-24 00:00:00",2468851,3668
"2023-01-23 00:00:00",2465183,4200
"2023-01-22 00:00:00",2460983,5217
"2023-01-21 00:00:00",2455766,5372
"2023-01-20 00:00:00",2450394,5004
"2023-01-19 00:00:00",2445390,4930
"2023-01-18 00:00:00",2440460,4494
"2023-01-17 00:00:00",2435966,3662
"2023-01-16 00:00:00",2432304,4320
"2023-01-15 00:00:00",2427984,5277
"2023-01-14 00:00:00",2422707,4618
"2023-01-13 00:00:00",2418089,4517
"2023-01-12 00:00:00",2413572,4490
"2023-01-11 00:00:00",2409082,4218
"2023-01-10 00:00:00",2404864,3375
"2023-01-09 00:00:00",2401489,3884
"2023-01-08 00:00:00",2397605,4556
"2023-01-07 00:00:00",2393049,4934
"2023-01-06 00:00:00",2388115,4311
"2023-01-05 00:00:00",2383804,3890
"2023-01-04 00:00:00",2379914,3461
"2023-01-03 00:00:00",2376453,3045
"2023-01-02 00:00:00",2373408,3668
"2023-01-01 00:00:00",2369740,4000
"2022-12-31 00:00:00",2365740,4046
"2022-12-30 00:00:00",2361694,4108
"2022-12-29 00:00:00",2357586,3747
"2022-12-28 00:00:00",2353839,0
"2022-12-27 00:00:00",2353839,5672
"2022-12-26 00:00:00",2348167,3266
"2022-12-25 00:00:00",2344901,3882
"2022-12-24 00:00:00",2341019,4264
"2022-12-23 00:00:00",2336755,3949
"2022-12-22 00:00:00",2332806,4071
"2022-12-21 00:00:00",2328735,3885
"2022-12-20 00:00:00",2324850,3073
"2022-12-19 00:00:00",2321777,3698
"2022-12-18 00:00:00",2318079,4527
"2022-12-17 00:00:00",2313552,4735
"2022-12-16 00:00:00",2308817,4811
"2022-12-15 00:00:00",2304006,5522
"2022-12-14 00:00:00",2298484,4323
"2022-12-13 00:00:00",2294161,3900
"2022-12-12 00:00:00",2290261,3924
"2022-12-11 00:00:00",2286337,4554
"2022-12-10 00:00:00",2281784,4554
"2022-12-09 00:00:00",2277230,4714
"2022-12-08 00:00:00",2272516,4451
"2022-12-07 00:00:00",2268065,4211
"2022-12-06 00:00:00",2263854,4804
"2022-12-05 00:00:00",2259050,4804
"2022-12-04 00:00:00",2254246,4804
"2022-12-03 00:00:00",2249443,4804
"2022-12-02 00:00:00",2244639,4804
"2022-12-01 00:00:00",2239835,5012
"2022-11-30 00:00:00",2234823,4166
"2022-11-29 00:00:00",2230657,3274
"2022-11-28 00:00:00",2227383,3646
"2022-11-27 00:00:00",2223737,3745
"2022-11-26 00:00:00",2219992,3737
"2022-11-25 00:00:00",2216255,4457
"2022-11-24 00:00:00",2211798,4210
"2022-11-23 00:00:00",2207588,3925
"2022-11-22 00:00:00",2203663,3508
"2022-11-21 00:00:00",2200155,3820
"2022-11-20 00:00:00",2196335,4690
"2022-11-19 00:00:00",2191645,4410
"2022-11-18 00:00:00",2187235,4633
"2022-11-17 00:00:00",2182602,4590
"2022-11-16 00:00:00",2178012,4362
"2022-11-15 00:00:00",2173650,3549
"2022-11-14 00:00:00",2170101,4155
"2022-11-13 00:00:00",2165946,4791
