"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",1208127,566
"2023-05-09 00:00:00",1207561,470
"2023-05-08 00:00:00",1207091,470
"2023-05-07 00:00:00",1206621,606
"2023-05-06 00:00:00",1206015,683
"2023-05-05 00:00:00",1205332,627
"2023-05-04 00:00:00",1204705,0
"2023-05-03 00:00:00",1204705,786
"2023-05-02 00:00:00",1203920,786
"2023-05-01 00:00:00",1203134,508
"2023-04-30 00:00:00",1202626,583
"2023-04-29 00:00:00",1202043,573
"2023-04-28 00:00:00",1201470,588
"2023-04-27 00:00:00",1200882,605
"2023-04-26 00:00:00",1200277,592
"2023-04-25 00:00:00",1199685,492
"2023-04-24 00:00:00",1199194,492
"2023-04-23 00:00:00",1198702,612
"2023-04-22 00:00:00",1198090,586
"2023-04-21 00:00:00",1197504,608
"2023-04-20 00:00:00",1196896,634
"2023-04-19 00:00:00",1196262,630
"2023-04-18 00:00:00",1195632,519
"2023-04-17 00:00:00",1195113,0
"2023-04-16 00:00:00",1195113,1192
"2023-04-15 00:00:00",1193921,659
"2023-04-14 00:00:00",1193262,633
"2023-04-13 00:00:00",1192629,640
"2023-04-12 00:00:00",1191989,575
"2023-04-11 00:00:00",1191414,464
"2023-04-10 00:00:00",1190950,518
"2023-04-09 00:00:00",1190432,530
"2023-04-08 00:00:00",1189902,642
"2023-04-07 00:00:00",1189260,623
"2023-04-06 00:00:00",1188637,642
"2023-04-05 00:00:00",1187995,644
"2023-04-04 00:00:00",1187351,510
"2023-04-03 00:00:00",1186841,549
"2023-04-02 00:00:00",1186292,685
"2023-04-01 00:00:00",1185607,703
"2023-03-31 00:00:00",1184904,741
"2023-03-30 00:00:00",1184163,0
"2023-03-29 00:00:00",1184163,1567
"2023-03-28 00:00:00",1182596,568
"2023-03-27 00:00:00",1182028,620
"2023-03-26 00:00:00",1181408,0
"2023-03-25 00:00:00",1181408,1493
"2023-03-24 00:00:00",1179915,0
"2023-03-23 00:00:00",1179915,1542
"2023-03-22 00:00:00",1178373,745
"2023-03-21 00:00:00",1177628,604
"2023-03-20 00:00:00",1177024,678
"2023-03-19 00:00:00",1176346,790
"2023-03-18 00:00:00",1175556,828
"2023-03-17 00:00:00",1174728,866
"2023-03-16 00:00:00",1173862,844
"2023-03-15 00:00:00",1173018,818
"2023-03-14 00:00:00",1172200,743
"2023-03-13 00:00:00",1171457,756
"2023-03-12 00:00:00",1170701,957
"2023-03-11 00:00:00",1169744,1088
"2023-03-10 00:00:00",1168656,1097
"2023-03-09 00:00:00",1167559,1048
"2023-03-08 00:00:00",1166511,1035
"2023-03-07 00:00:00",1165476,1323
"2023-03-06 00:00:00",1164153,0
"2023-03-05 00:00:00",1164153,3709
"2023-03-04 00:00:00",1160444,1363
"2023-03-03 00:00:00",1159081,1353
"2023-03-02 00:00:00",1157728,1358
"2023-03-01 00:00:00",1156370,1102
"2023-02-28 00:00:00",1155268,0
"2023-02-27 00:00:00",1155268,1774
"2023-02-26 00:00:00",1153494,1125
"2023-02-25 00:00:00",1152369,1210
"2023-02-24 00:00:00",1151159,1114
"2023-02-23 00:00:00",1150045,1992
"2023-02-22 00:00:00",1148053,0
"2023-02-21 00:00:00",1148053,823
"2023-02-20 00:00:00",1147230,0
"2023-02-19 00:00:00",1147230,2058
"2023-02-18 00:00:00",1145172,1150
"2023-02-17 00:00:00",1144022,1202
"2023-02-16 00:00:00",1142820,0
"2023-02-15 00:00:00",1142820,2317
"2023-02-14 00:00:00",1140503,979
"2023-02-13 00:00:00",1139524,0
