Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Mar 04, 2023",9,"68,700",,
"Mar 05, 2023",18,"232,911",,
"Mar 06, 2023",28,"236,169",1,26
"Mar 07, 2023",35,"237,703",1,26
"Mar 08, 2023",47,"237,727",1,26
"Mar 09, 2023",50,"237,679",1,26
"Mar 10, 2023",55,"228,961",1,26
"Mar 11, 2023",70,"248,462",1,26
"Mar 12, 2023",84,"248,539",1,26
"Mar 13, 2023",96,"247,189",1,26
"Mar 14, 2023",105,"246,883",1,26
"Mar 15, 2023",116,"247,264",1,26
"Mar 16, 2023",128,"246,537",1,26
"Mar 17, 2023",143,"246,824",1,26
"Mar 18, 2023",155,"246,981",1,26
"Mar 19, 2023",163,"247,045",1,26
"Mar 20, 2023",180,"247,668",1,26
"Mar 21, 2023",197,"247,829",1,26
"Mar 22, 2023",205,"247,797",1,26
"Mar 23, 2023",225,"247,565",1,26
"Mar 24, 2023",247,"247,846",1,26
"Mar 25, 2023",281,"250,199",1,26
"Mar 26, 2023",292,"250,430",1,26
"Mar 27, 2023",302,"250,632",1,26
"Mar 28, 2023",324,"250,841",1,26
"Mar 29, 2023",332,"252,975",1,26
"Mar 30, 2023",340,"251,035",1,26
"Mar 31, 2023",358,"251,186",1,26
"Apr 01, 2023",370,"253,080",1,26
"Apr 02, 2023",381,"254,535",1,26
"Apr 03, 2023",395,"255,018",1,26
"Apr 04, 2023",406,"255,110",1,26
"Apr 05, 2023",414,"257,339",1,26
"Apr 06, 2023",426,"256,018",1,26
"Apr 07, 2023",432,"256,253",1,26
"Apr 08, 2023",436,"255,892",1,26
"Apr 09, 2023",441,"256,076",1,26
"Apr 10, 2023",449,"256,218",1,26
"Apr 11, 2023",455,"257,354",1,26
"Apr 12, 2023",467,"257,499",1,26
"Apr 13, 2023",472,"260,206",1,26
"Apr 14, 2023",480,"277,268",1,26
"Apr 15, 2023",480,"276,901",1,26
"Apr 16, 2023",488,"276,981",1,26
"Apr 17, 2023",493,"278,261",1,26
"Apr 18, 2023",505,"278,794",1,26
"Apr 19, 2023",518,"278,953",1,26
"Apr 20, 2023",527,"276,805",1,26
"Apr 21, 2023",538,"277,083",1,26
"Apr 22, 2023",546,"277,366",1,26
"Apr 23, 2023",552,"277,708",1,26
"Apr 24, 2023",558,"277,833",1,26
"Apr 25, 2023",567,"278,082",1,26
"Apr 26, 2023",576,"278,125",1,26
"Apr 27, 2023",582,"280,413",1,26
"Apr 28, 2023",589,"278,275",1,26
"Apr 29, 2023",593,"278,422",1,26
"Apr 30, 2023",597,"278,070",1,26
"May 01, 2023",607,"279,130",1,26
"May 02, 2023",616,"279,275",1,26
"May 03, 2023",621,"279,404",1,26
"May 04, 2023",634,"279,537",1,26
"May 05, 2023",638,"279,641",1,26
"May 06, 2023",645,"279,783",1,26
"May 07, 2023",651,"279,916",1,26
"May 08, 2023",658,"280,027",1,26
"May 09, 2023",665,"280,169",1,26
"May 10, 2023",673,"280,639",1,26
"May 11, 2023",678,"281,027",1,26
"May 12, 2023",685,"281,185",1,26
"May 13, 2023",688,"281,288",1,26
"May 14, 2023",693,"281,336",1,26
"May 15, 2023",699,"281,365",1,26
"May 16, 2023",709,"281,653",1,26
"May 17, 2023",719,"281,632",1,26
"May 18, 2023",727,"281,679",1,26
"May 19, 2023",734,"281,710",1,26
"May 20, 2023",737,"282,048",1,26
"May 21, 2023",739,"282,074",1,26
"May 22, 2023",744,"282,100",1,26
"May 23, 2023",747,"282,254",1,26
"May 24, 2023",751,"282,356",1,26
"May 25, 2023",754,"282,372",1,26
"May 26, 2023",761,"282,403",1,26
"May 27, 2023",764,"282,588",1,26
"May 28, 2023",771,"282,650",1,26
"May 29, 2023",776,"282,751",1,26
Invalid date,,,,
