"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",1767095,7660
"2023-05-28 00:00:00",1759435,8967
"2023-05-27 00:00:00",1750468,8882
"2023-05-26 00:00:00",1741586,8917
"2023-05-25 00:00:00",1732669,9043
"2023-05-24 00:00:00",1723626,8412
"2023-05-23 00:00:00",1715214,7209
"2023-05-22 00:00:00",1708005,8183
"2023-05-21 00:00:00",1699822,9480
"2023-05-20 00:00:00",1690342,9557
"2023-05-19 00:00:00",1680785,0
"2023-05-18 00:00:00",1680785,20509
"2023-05-17 00:00:00",1660276,9919
"2023-05-16 00:00:00",1650357,0
"2023-05-15 00:00:00",1650357,19154
"2023-05-14 00:00:00",1631203,12692
"2023-05-13 00:00:00",1618512,12692
"2023-05-12 00:00:00",1605820,12027
"2023-05-11 00:00:00",1593793,12706
"2023-05-10 00:00:00",1581087,11966
"2023-05-09 00:00:00",1569121,0
"2023-05-08 00:00:00",1569121,22371
"2023-05-07 00:00:00",1546750,14036
"2023-05-06 00:00:00",1532714,14782
"2023-05-05 00:00:00",1517932,14564
"2023-05-04 00:00:00",1503368,15072
"2023-05-03 00:00:00",1488296,13042
"2023-05-02 00:00:00",1475254,13419
"2023-05-01 00:00:00",1461835,0
"2023-04-30 00:00:00",1461835,31931
"2023-04-29 00:00:00",1429904,8833
"2023-04-28 00:00:00",1421071,8833
"2023-04-27 00:00:00",1412238,17662
"2023-04-26 00:00:00",1394576,25424
"2023-04-25 00:00:00",1369153,25424
"2023-04-24 00:00:00",1343729,16059
"2023-04-23 00:00:00",1327670,0
"2023-04-22 00:00:00",1327670,27034
"2023-04-21 00:00:00",1300636,27034
"2023-04-20 00:00:00",1273602,16565
"2023-04-19 00:00:00",1257037,16522
"2023-04-18 00:00:00",1240515,0
"2023-04-17 00:00:00",1240515,27403
"2023-04-16 00:00:00",1213112,15690
"2023-04-15 00:00:00",1197422,15130
"2023-04-14 00:00:00",1182292,15710
"2023-04-13 00:00:00",1166582,15172
"2023-04-12 00:00:00",1151410,12647
"2023-04-11 00:00:00",1138763,11032
"2023-04-10 00:00:00",1127731,13421
"2023-04-09 00:00:00",1114310,15633
"2023-04-08 00:00:00",1098677,16890
"2023-04-07 00:00:00",1081787,15560
"2023-04-06 00:00:00",1066227,16606
"2023-04-05 00:00:00",1049621,0
"2023-04-04 00:00:00",1049621,28653
"2023-04-03 00:00:00",1020968,0
"2023-04-02 00:00:00",1020968,31747
"2023-04-01 00:00:00",989221,17131
"2023-03-31 00:00:00",972090,17246
"2023-03-30 00:00:00",954844,0
"2023-03-29 00:00:00",954844,17277
"2023-03-28 00:00:00",937567,17111
"2023-03-27 00:00:00",920456,32993
"2023-03-26 00:00:00",887463,20525
"2023-03-25 00:00:00",866938,20079
"2023-03-24 00:00:00",846859,20466
"2023-03-23 00:00:00",826393,0
"2023-03-22 00:00:00",826393,42263
"2023-03-21 00:00:00",784130,18186
"2023-03-20 00:00:00",765944,21715
"2023-03-19 00:00:00",744229,26081
"2023-03-18 00:00:00",718148,26849
"2023-03-17 00:00:00",691299,0
"2023-03-16 00:00:00",691299,57268
"2023-03-15 00:00:00",634031,30526
"2023-03-14 00:00:00",603505,0
"2023-03-13 00:00:00",603505,26751
"2023-03-12 00:00:00",576754,85822
"2023-03-11 00:00:00",490932,63231
"2023-03-10 00:00:00",427701,64675
"2023-03-09 00:00:00",363026,65396
"2023-03-08 00:00:00",297630,69850
"2023-03-07 00:00:00",227780,58367
"2023-03-06 00:00:00",169413,0
"2023-03-05 00:00:00",169413,73574
"2023-03-04 00:00:00",95839,0
