Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Mar 04, 2023",7,"81,006",,
"Mar 05, 2023",14,"89,023",,
"Mar 06, 2023",22,"92,028",1,26
"Mar 07, 2023",29,"93,689",1,26
"Mar 08, 2023",38,"93,578",1,26
"Mar 09, 2023",40,"93,481",1,26
"Mar 10, 2023",42,"84,674",1,26
"Mar 11, 2023",44,"74,213",1,26
"Mar 12, 2023",50,"74,298",1,26
"Mar 13, 2023",54,"71,669",1,26
"Mar 14, 2023",59,"71,732",1,26
"Mar 15, 2023",68,"71,798",1,26
"Mar 16, 2023",73,"70,243",1,26
"Mar 17, 2023",79,"70,411",1,26
"Mar 18, 2023",84,"70,435",1,26
"Mar 19, 2023",87,"70,437",1,26
"Mar 20, 2023",97,"70,455",1,26
"Mar 21, 2023",105,"70,490",1,26
"Mar 22, 2023",114,"70,556",1,26
"Mar 23, 2023",119,"70,586",1,26
"Mar 24, 2023",127,"70,748",1,26
"Mar 25, 2023",141,"71,243",1,26
"Mar 26, 2023",145,"71,400",1,26
"Mar 27, 2023",152,"71,530",1,26
"Mar 28, 2023",159,"71,555",1,26
"Mar 29, 2023",163,"71,576",1,26
"Mar 30, 2023",167,"71,580",1,26
"Mar 31, 2023",175,"71,608",1,26
"Apr 01, 2023",178,"71,647",1,26
"Apr 02, 2023",180,"71,533",1,26
"Apr 03, 2023",185,"71,911",1,26
"Apr 04, 2023",186,"71,882",1,26
"Apr 05, 2023",188,"71,886",1,26
"Apr 06, 2023",192,"71,891",1,26
"Apr 07, 2023",195,"71,902",1,26
"Apr 08, 2023",196,"71,902",1,26
"Apr 09, 2023",198,"71,957",1,26
"Apr 10, 2023",202,"71,964",1,26
"Apr 11, 2023",206,"71,968",1,26
"Apr 12, 2023",209,"72,000",1,26
"Apr 13, 2023",210,"72,011",1,26
"Apr 14, 2023",211,"72,017",1,26
"Apr 15, 2023",211,"72,023",1,26
"Apr 16, 2023",216,"72,063",1,26
"Apr 17, 2023",216,"72,073",1,26
"Apr 18, 2023",220,"72,102",1,26
"Apr 19, 2023",221,"72,096",1,26
"Apr 20, 2023",222,"72,101",1,26
"Apr 21, 2023",224,"72,107",1,26
"Apr 22, 2023",226,"72,115",1,26
"Apr 23, 2023",228,"72,119",1,26
"Apr 24, 2023",229,"72,123",1,26
"Apr 25, 2023",231,"72,144",1,26
"Apr 26, 2023",231,"72,150",1,26
"Apr 27, 2023",233,"72,316",1,26
"Apr 28, 2023",237,"72,328",1,26
"Apr 29, 2023",237,"72,331",1,26
"Apr 30, 2023",239,"72,335",1,26
"May 01, 2023",241,"72,336",1,26
"May 02, 2023",243,"72,270",1,26
"May 03, 2023",244,"72,290",1,26
"May 04, 2023",245,"72,250",1,26
"May 05, 2023",245,"72,247",1,26
"May 06, 2023",246,"72,250",1,26
"May 07, 2023",250,"72,254",1,26
"May 08, 2023",253,"72,256",1,26
"May 09, 2023",254,"72,256",1,26
"May 10, 2023",255,"72,256",1,26
"May 11, 2023",256,"72,262",1,26
"May 12, 2023",256,"72,261",1,26
"May 13, 2023",255,"72,139",1,26
"May 14, 2023",256,"72,119",1,26
"May 15, 2023",255,"72,099",1,26
"May 16, 2023",257,"72,110",1,26
"May 17, 2023",258,"72,110",1,26
"May 18, 2023",261,"72,114",1,26
"May 19, 2023",263,"72,122",1,26
"May 20, 2023",265,"72,156",1,26
"May 21, 2023",268,"72,165",1,26
"May 22, 2023",268,"72,178",1,26
"May 23, 2023",268,"72,137",1,26
"May 24, 2023",269,"72,146",1,26
"May 25, 2023",269,"72,142",1,26
"May 26, 2023",273,"72,156",1,26
"May 27, 2023",274,"72,149",1,26
"May 28, 2023",275,"72,152",1,26
"May 29, 2023",276,"72,154",1,26
Invalid date,,,,
