"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",993023,2866
"2023-05-28 00:00:00",990157,3469
"2023-05-27 00:00:00",986688,3364
"2023-05-26 00:00:00",983324,3405
"2023-05-25 00:00:00",979919,3521
"2023-05-24 00:00:00",976398,3317
"2023-05-23 00:00:00",973081,2839
"2023-05-22 00:00:00",970242,3041
"2023-05-21 00:00:00",967201,3564
"2023-05-20 00:00:00",963637,3758
"2023-05-19 00:00:00",959879,0
"2023-05-18 00:00:00",959879,8016
"2023-05-17 00:00:00",951863,3867
"2023-05-16 00:00:00",947996,0
"2023-05-15 00:00:00",947996,7325
"2023-05-14 00:00:00",940671,4831
"2023-05-13 00:00:00",935840,4831
"2023-05-12 00:00:00",931009,4735
"2023-05-11 00:00:00",926274,4917
"2023-05-10 00:00:00",921357,4649
"2023-05-09 00:00:00",916708,0
"2023-05-08 00:00:00",916708,8286
"2023-05-07 00:00:00",908422,5300
"2023-05-06 00:00:00",903122,5475
"2023-05-05 00:00:00",897647,5588
"2023-05-04 00:00:00",892059,5696
"2023-05-03 00:00:00",886363,5039
"2023-05-02 00:00:00",881324,5022
"2023-05-01 00:00:00",876302,0
"2023-04-30 00:00:00",876302,12612
"2023-04-29 00:00:00",863690,3732
"2023-04-28 00:00:00",859959,3732
"2023-04-27 00:00:00",856227,7293
"2023-04-26 00:00:00",848934,10449
"2023-04-25 00:00:00",838485,10449
"2023-04-24 00:00:00",828036,6525
"2023-04-23 00:00:00",821511,0
"2023-04-22 00:00:00",821511,11835
"2023-04-21 00:00:00",809677,11835
"2023-04-20 00:00:00",797842,7399
"2023-04-19 00:00:00",790443,7394
"2023-04-18 00:00:00",783049,0
"2023-04-17 00:00:00",783049,12216
"2023-04-16 00:00:00",770833,6873
"2023-04-15 00:00:00",763960,6912
"2023-04-14 00:00:00",757048,7125
"2023-04-13 00:00:00",749923,6692
"2023-04-12 00:00:00",743231,5766
"2023-04-11 00:00:00",737465,5050
"2023-04-10 00:00:00",732415,6171
"2023-04-09 00:00:00",726244,7177
"2023-04-08 00:00:00",719067,8042
"2023-04-07 00:00:00",711025,7229
"2023-04-06 00:00:00",703796,7992
"2023-04-05 00:00:00",695804,0
"2023-04-04 00:00:00",695804,14527
"2023-04-03 00:00:00",681277,0
"2023-04-02 00:00:00",681277,15965
"2023-04-01 00:00:00",665312,9070
"2023-03-31 00:00:00",656242,9028
"2023-03-30 00:00:00",647214,0
"2023-03-29 00:00:00",647214,9090
"2023-03-28 00:00:00",638124,9220
"2023-03-27 00:00:00",628904,17060
"2023-03-26 00:00:00",611844,10851
"2023-03-25 00:00:00",600993,10974
"2023-03-24 00:00:00",590019,11224
"2023-03-23 00:00:00",578795,0
"2023-03-22 00:00:00",578795,23560
"2023-03-21 00:00:00",555235,10229
"2023-03-20 00:00:00",545006,12284
"2023-03-19 00:00:00",532722,14750
"2023-03-18 00:00:00",517972,15307
"2023-03-17 00:00:00",502665,0
"2023-03-16 00:00:00",502665,34296
"2023-03-15 00:00:00",468369,18424
"2023-03-14 00:00:00",449945,0
"2023-03-13 00:00:00",449945,16169
"2023-03-12 00:00:00",433776,56769
"2023-03-11 00:00:00",377007,47441
"2023-03-10 00:00:00",329566,48984
"2023-03-09 00:00:00",280582,50015
"2023-03-08 00:00:00",230567,54305
"2023-03-07 00:00:00",176262,45902
"2023-03-06 00:00:00",130360,0
"2023-03-05 00:00:00",130360,58020
"2023-03-04 00:00:00",72340,0
