Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022",430,"56,040",,
"Aug 14, 2022",513,"60,824",,
"Aug 15, 2022",595,"64,570",,
"Aug 16, 2022",676,"75,838",,
"Aug 17, 2022",730,"77,120",,
"Aug 18, 2022",785,"77,491",,
"Aug 19, 2022",825,"81,353",,
"Aug 20, 2022",850,"73,241",,
"Aug 21, 2022",869,"69,320",,
"Aug 22, 2022",896,"71,805",,
"Aug 23, 2022",923,"72,469",,
"Aug 24, 2022",942,"287,984",,
"Aug 25, 2022",966,"292,619",,
"Aug 26, 2022",999,"296,362",1,172
"Aug 27, 2022","1,027","297,147",1,171
"Aug 28, 2022","1,053","297,347",1,171
"Aug 29, 2022","1,098","300,895",1,171
"Aug 30, 2022","1,136","302,408",1,172
"Aug 31, 2022","1,166","302,253",1,172
"Sep 01, 2022","1,199","302,301",1,172
"Sep 02, 2022","1,240","302,656",1,172
"Sep 03, 2022","1,274","1,083,277",1,172
"Sep 04, 2022","1,296","1,083,044",1,172
"Sep 05, 2022","1,314","1,094,654",1,172
"Sep 06, 2022","1,333","1,101,362",,
"Sep 07, 2022","1,351","1,116,947",,
"Sep 08, 2022","1,360","1,117,270",,
"Sep 09, 2022","1,382","1,137,156",,
"Sep 10, 2022","1,398","1,140,344",,
"Sep 11, 2022","1,417","1,142,811",,
"Sep 12, 2022","1,437","1,143,330",,
"Sep 13, 2022","1,453","1,144,825",,
"Sep 14, 2022","1,469","1,145,188",,
"Sep 15, 2022","1,478","1,145,322",,
"Sep 16, 2022","1,487","1,145,737",,
"Sep 17, 2022","1,499","1,191,740",,
"Sep 18, 2022","1,506","1,191,933",,
"Sep 19, 2022","1,511","1,192,314",,
"Sep 20, 2022","1,520","1,198,703",,
"Sep 21, 2022","1,531","1,199,055",,
"Sep 22, 2022","1,538","1,199,677",,
"Sep 23, 2022","1,550","1,201,253",,
"Sep 24, 2022","1,560","1,155,582",,
"Sep 25, 2022","1,569","1,155,872",,
"Sep 26, 2022","1,584","1,156,410",,
"Sep 27, 2022","1,600","1,161,360",,
"Sep 28, 2022","1,622","1,161,749",,
"Sep 29, 2022","1,633","1,161,902",,
"Sep 30, 2022","1,636","1,167,942",,
"Oct 01, 2022","1,637","1,168,117",,
"Oct 02, 2022","1,641","954,430",,
"Oct 03, 2022","1,650","949,089",,
"Oct 04, 2022","1,664","948,885",,
"Oct 05, 2022","1,669","949,202",,
"Oct 06, 2022","1,679","949,629",,
"Oct 07, 2022","1,700","950,057",,
"Oct 08, 2022","1,713","949,691",,
"Oct 09, 2022","1,720","960,174",,
"Oct 10, 2022","1,734","961,764",,
"Oct 11, 2022","1,744","953,119",,
"Oct 12, 2022","1,755","952,317",,
"Oct 13, 2022","1,766","966,368",,
"Oct 14, 2022","1,778","981,154",,
"Oct 15, 2022","1,781","979,730",,
"Oct 16, 2022","1,823","661,138",,
"Oct 17, 2022","1,862","663,280",,
"Oct 18, 2022","1,916","591,560",,
"Oct 19, 2022","1,950","597,293",,
"Oct 20, 2022","1,986","1,269,773",1,"669,360"
"Oct 21, 2022","2,010","1,272,071",1,"669,891"
"Oct 22, 2022","2,031","1,296,308",2,"691,425"
"Oct 23, 2022","2,043","1,325,635",2,"692,201"
"Oct 24, 2022","2,053","1,326,191",2,"692,904"
"Oct 25, 2022","2,059","1,326,361",2,"693,558"
"Oct 26, 2022","2,067","1,327,346",2,"694,176"
"Oct 27, 2022","2,076","1,328,408",2,"694,874"
"Oct 28, 2022","2,091","1,330,571",2,"695,591"
"Oct 29, 2022","2,104","1,331,526",2,"696,209"
"Oct 30, 2022","2,111","1,332,913",2,"696,616"
"Oct 31, 2022","2,123","1,333,388",2,"697,024"
"Nov 01, 2022","2,142","1,334,081",2,"697,387"
"Nov 02, 2022","2,161","1,335,433",2,"697,698"
"Nov 03, 2022","2,177","1,337,818",2,"697,997"
"Nov 04, 2022","2,191","1,338,662",2,"698,409"
"Nov 05, 2022","2,198","1,339,873",2,"698,920"
"Nov 06, 2022","2,211","1,340,897",2,"699,418"
"Nov 07, 2022","2,222","1,340,857",2,"699,911"
"Nov 08, 2022","2,236","1,341,674",2,"700,405"
"Nov 09, 2022","2,247","1,342,399",2,"700,912"
"Nov 10, 2022","2,254","1,343,216",2,"701,366"
"Nov 11, 2022","2,260","1,345,900",2,"701,866"
"Nov 12, 2022","2,262","1,350,514",2,"702,608"
