"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",24335445,0
"2023-05-13 00:00:00",24335445,185518
"2023-05-12 00:00:00",24149927,85721
"2023-05-11 00:00:00",24064206,84030
"2023-05-10 00:00:00",23980176,0
"2023-05-09 00:00:00",23980176,148631
"2023-05-08 00:00:00",23831545,84490
"2023-05-07 00:00:00",23747056,84490
"2023-05-06 00:00:00",23662566,87709
"2023-05-05 00:00:00",23574858,87709
"2023-05-04 00:00:00",23487149,85277
"2023-05-03 00:00:00",23401872,0
"2023-05-02 00:00:00",23401872,152300
"2023-05-01 00:00:00",23249572,40693
"2023-04-30 00:00:00",23208879,40693
"2023-04-29 00:00:00",23168186,185353
"2023-04-28 00:00:00",22982833,0
"2023-04-27 00:00:00",22982833,192155
"2023-04-26 00:00:00",22790678,88806
"2023-04-25 00:00:00",22701872,77469
"2023-04-24 00:00:00",22624403,87425
"2023-04-23 00:00:00",22536978,94748
"2023-04-22 00:00:00",22442231,94748
"2023-04-21 00:00:00",22347483,89372
"2023-04-20 00:00:00",22258111,87863
"2023-04-19 00:00:00",22170249,87863
"2023-04-18 00:00:00",22082386,72753
"2023-04-17 00:00:00",22009633,0
"2023-04-16 00:00:00",22009633,135905
"2023-04-15 00:00:00",21873728,135905
"2023-04-14 00:00:00",21737823,89303
"2023-04-13 00:00:00",21648520,91410
"2023-04-12 00:00:00",21557110,82780
"2023-04-11 00:00:00",21474330,71563
"2023-04-10 00:00:00",21402767,84894
"2023-04-09 00:00:00",21317873,89428
"2023-04-08 00:00:00",21228445,93317
"2023-04-07 00:00:00",21135128,105046
"2023-04-06 00:00:00",21030082,104613
"2023-04-05 00:00:00",20925469,103447
"2023-04-04 00:00:00",20822022,94274
"2023-04-03 00:00:00",20727748,103078
"2023-04-02 00:00:00",20624670,109304
"2023-04-01 00:00:00",20515366,100864
"2023-03-31 00:00:00",20414502,93732
"2023-03-30 00:00:00",20320770,93022
"2023-03-29 00:00:00",20227748,0
"2023-03-28 00:00:00",20227748,169409
"2023-03-27 00:00:00",20058339,89547
"2023-03-26 00:00:00",19968792,99156
"2023-03-25 00:00:00",19869636,0
"2023-03-24 00:00:00",19869636,211704
"2023-03-23 00:00:00",19657932,105901
"2023-03-22 00:00:00",19552031,100943
"2023-03-21 00:00:00",19451088,85503
"2023-03-20 00:00:00",19365585,95925
"2023-03-19 00:00:00",19269660,106289
"2023-03-18 00:00:00",19163371,107565
"2023-03-17 00:00:00",19055806,0
"2023-03-16 00:00:00",19055806,221478
"2023-03-15 00:00:00",18834328,105747
"2023-03-14 00:00:00",18728581,92559
"2023-03-13 00:00:00",18636022,104349
"2023-03-12 00:00:00",18531673,117318
"2023-03-11 00:00:00",18414355,115281
"2023-03-10 00:00:00",18299074,112075
"2023-03-09 00:00:00",18186999,113961
"2023-03-08 00:00:00",18073038,110619
"2023-03-07 00:00:00",17962419,95859
"2023-03-06 00:00:00",17866560,105216
"2023-03-05 00:00:00",17761344,116557
"2023-03-04 00:00:00",17644787,121632
"2023-03-03 00:00:00",17523155,126567
"2023-03-02 00:00:00",17396588,120751
"2023-03-01 00:00:00",17275837,112451
"2023-02-28 00:00:00",17163386,0
"2023-02-27 00:00:00",17163386,96928
"2023-02-26 00:00:00",17066458,225222
"2023-02-25 00:00:00",16841236,108595
"2023-02-24 00:00:00",16732641,110977
"2023-02-23 00:00:00",16621664,207743
"2023-02-22 00:00:00",16413921,0
"2023-02-21 00:00:00",16413921,84357
"2023-02-20 00:00:00",16329564,92494
"2023-02-19 00:00:00",16237070,104674
"2023-02-18 00:00:00",16132396,0
"2023-02-17 00:00:00",16132396,194664
"2023-02-16 00:00:00",15937732,93932
"2023-02-15 00:00:00",15843800,83033
"2023-02-14 00:00:00",15760767,71419
"2023-02-13 00:00:00",15689348,75238
"2023-02-12 00:00:00",15614110,79668
"2023-02-11 00:00:00",15534442,0
"2023-02-10 00:00:00",15534442,133958
"2023-02-09 00:00:00",15400484,65927
"2023-02-08 00:00:00",15334557,62519
"2023-02-07 00:00:00",15272038,56056
"2023-02-06 00:00:00",15215982,61630
"2023-02-05 00:00:00",15154352,66949
"2023-02-04 00:00:00",15087403,64664
"2023-02-03 00:00:00",15022739,63398
"2023-02-02 00:00:00",14959341,0
"2023-02-01 00:00:00",14959341,130537
"2023-01-31 00:00:00",14828804,54847
"2023-01-30 00:00:00",14773957,62996
"2023-01-29 00:00:00",14710961,69845
"2023-01-28 00:00:00",14641116,70333
"2023-01-27 00:00:00",14570783,80785
"2023-01-26 00:00:00",14489998,85767
"2023-01-25 00:00:00",14404231,84992
"2023-01-24 00:00:00",14319239,74850
"2023-01-23 00:00:00",14244389,72051
"2023-01-22 00:00:00",14172338,0
"2023-01-21 00:00:00",14172338,163988
"2023-01-20 00:00:00",14008350,67986
"2023-01-19 00:00:00",13940364,68750
"2023-01-18 00:00:00",13871614,62350
"2023-01-17 00:00:00",13809264,56722
"2023-01-16 00:00:00",13752542,61352
"2023-01-15 00:00:00",13691190,70125
"2023-01-14 00:00:00",13621065,69287
"2023-01-13 00:00:00",13551778,69038
"2023-01-12 00:00:00",13482740,73076
"2023-01-11 00:00:00",13409664,71774
"2023-01-10 00:00:00",13337890,62634
"2023-01-09 00:00:00",13275256,0
"2023-01-08 00:00:00",13275256,142031
"2023-01-07 00:00:00",13133225,70694
"2023-01-06 00:00:00",13062531,67290
"2023-01-05 00:00:00",12995241,67290
"2023-01-04 00:00:00",12927951,62797
"2023-01-03 00:00:00",12865154,56905
"2023-01-02 00:00:00",12808249,69567
"2023-01-01 00:00:00",12738682,67685
"2022-12-31 00:00:00",12670997,65611
"2022-12-30 00:00:00",12605386,64193
"2022-12-29 00:00:00",12541193,61500
"2022-12-28 00:00:00",12479693,54759
"2022-12-27 00:00:00",12424934,44711
"2022-12-26 00:00:00",12380223,63119
"2022-12-25 00:00:00",12317104,59907
"2022-12-24 00:00:00",12257197,66082
"2022-12-23 00:00:00",12191115,69704
"2022-12-22 00:00:00",12121411,68453
"2022-12-21 00:00:00",12052958,65104
"2022-12-20 00:00:00",11987854,58907
"2022-12-19 00:00:00",11928947,69036
"2022-12-18 00:00:00",11859911,72669
"2022-12-17 00:00:00",11787242,68867
"2022-12-16 00:00:00",11718375,67354
"2022-12-15 00:00:00",11651021,67965
"2022-12-14 00:00:00",11583056,64623
"2022-12-13 00:00:00",11518433,57644
"2022-12-12 00:00:00",11460789,66542
"2022-12-11 00:00:00",11394247,73059
"2022-12-10 00:00:00",11321188,78320
"2022-12-09 00:00:00",11242868,77461
"2022-12-08 00:00:00",11165407,76184
"2022-12-07 00:00:00",11089223,69469
"2022-12-06 00:00:00",11019754,76634
"2022-12-05 00:00:00",10943120,76634
"2022-12-04 00:00:00",10866486,76634
"2022-12-03 00:00:00",10789853,76634
"2022-12-02 00:00:00",10713219,76634
"2022-12-01 00:00:00",10636585,86884
"2022-11-30 00:00:00",10549701,82743
"2022-11-29 00:00:00",10466958,73297
"2022-11-28 00:00:00",10393661,75102
"2022-11-27 00:00:00",10318559,72859
"2022-11-26 00:00:00",10245700,81913
"2022-11-25 00:00:00",10163787,95175
"2022-11-24 00:00:00",10068612,91199
"2022-11-23 00:00:00",9977413,85966
"2022-11-22 00:00:00",9891447,75684
"2022-11-21 00:00:00",9815763,86202
"2022-11-20 00:00:00",9729561,96775
"2022-11-19 00:00:00",9632786,95041
"2022-11-18 00:00:00",9537745,95230
"2022-11-17 00:00:00",9442515,94822
"2022-11-16 00:00:00",9347693,94138
"2022-11-15 00:00:00",9253555,81897
"2022-11-14 00:00:00",9171658,95948
"2022-11-13 00:00:00",9075710,107650
"2022-11-12 00:00:00",8968060,114272
"2022-11-11 00:00:00",8853788,113222
"2022-11-10 00:00:00",8740566,114296
"2022-11-09 00:00:00",8626270,107982
"2022-11-08 00:00:00",8518288,94427
"2022-11-07 00:00:00",8423861,109097
"2022-11-06 00:00:00",8314764,115134
"2022-11-05 00:00:00",8199630,115986
"2022-11-04 00:00:00",8083644,114039
"2022-11-03 00:00:00",7969605,108766
"2022-11-02 00:00:00",7860839,107830
"2022-11-01 00:00:00",7753009,92638
"2022-10-31 00:00:00",7660371,115434
"2022-10-30 00:00:00",7544937,119187
"2022-10-29 00:00:00",7425750,119546
"2022-10-28 00:00:00",7306204,117477
"2022-10-27 00:00:00",7188727,115567
"2022-10-26 00:00:00",7073160,111653
"2022-10-25 00:00:00",6961507,96839
"2022-10-24 00:00:00",6864668,114239
"2022-10-23 00:00:00",6750429,132742
"2022-10-22 00:00:00",6617687,140185
"2022-10-21 00:00:00",6477502,145676
"2022-10-20 00:00:00",6331826,148100
"2022-10-19 00:00:00",6183726,123406
"2022-10-18 00:00:00",6060320,81368
"2022-10-17 00:00:00",5978952,62999
"2022-10-16 00:00:00",5915953,71304
"2022-10-15 00:00:00",5844649,71893
"2022-10-14 00:00:00",5772756,70599
"2022-10-13 00:00:00",5702157,71146
"2022-10-12 00:00:00",5631011,64707
"2022-10-11 00:00:00",5566304,51049
"2022-10-10 00:00:00",5515255,59843
"2022-10-09 00:00:00",5455412,68494
"2022-10-08 00:00:00",5386918,65122
"2022-10-07 00:00:00",5321796,64242
"2022-10-06 00:00:00",5257554,65776
"2022-10-05 00:00:00",5191778,63811
"2022-10-04 00:00:00",5127967,54817
"2022-10-03 00:00:00",5073150,60958
"2022-10-02 00:00:00",5012192,67248
"2022-10-01 00:00:00",4944944,67189
"2022-09-30 00:00:00",4877755,67441
"2022-09-29 00:00:00",4810314,69689
"2022-09-28 00:00:00",4740625,65798
"2022-09-27 00:00:00",4674827,56482
"2022-09-26 00:00:00",4618345,65150
"2022-09-25 00:00:00",4553195,68822
"2022-09-24 00:00:00",4484373,66392
"2022-09-23 00:00:00",4417981,69488
"2022-09-22 00:00:00",4348493,67580
"2022-09-21 00:00:00",4280913,65304
"2022-09-20 00:00:00",4215609,58642
"2022-09-19 00:00:00",4156967,68820
"2022-09-18 00:00:00",4088147,84600
"2022-09-17 00:00:00",4003547,90397
"2022-09-16 00:00:00",3913150,88428
"2022-09-15 00:00:00",3824722,86298
"2022-09-14 00:00:00",3738424,86167
"2022-09-13 00:00:00",3652257,71194
"2022-09-12 00:00:00",3581063,85091
"2022-09-11 00:00:00",3495972,87855
"2022-09-10 00:00:00",3408117,82980
"2022-09-09 00:00:00",3325137,85046
"2022-09-08 00:00:00",3240091,158693
"2022-09-07 00:00:00",3081398,0
"2022-09-06 00:00:00",3081398,73555
"2022-09-05 00:00:00",3007843,88363
"2022-09-04 00:00:00",2919480,104351
"2022-09-03 00:00:00",2815129,98696
"2022-09-02 00:00:00",2716433,97216
"2022-09-01 00:00:00",2619217,93617
"2022-08-31 00:00:00",2525600,84473
"2022-08-30 00:00:00",2441127,75391
"2022-08-29 00:00:00",2365736,86940
"2022-08-28 00:00:00",2278796,88953
"2022-08-27 00:00:00",2189843,79563
"2022-08-26 00:00:00",2110280,82333
"2022-08-25 00:00:00",2027947,106465
"2022-08-24 00:00:00",1921482,102740
"2022-08-23 00:00:00",1818742,150409
"2022-08-22 00:00:00",1668333,150409
"2022-08-21 00:00:00",1517924,150409
"2022-08-20 00:00:00",1367515,150409
"2022-08-19 00:00:00",1217106,150409
"2022-08-18 00:00:00",1066697,210555
"2022-08-17 00:00:00",856142,196959
"2022-08-16 00:00:00",659183,185272
"2022-08-15 00:00:00",473911,231101
"2022-08-14 00:00:00",242810,0
