"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",3874075,0
"2023-05-13 00:00:00",3874075,9446
"2023-05-12 00:00:00",3864629,4466
"2023-05-11 00:00:00",3860163,4402
"2023-05-10 00:00:00",3855761,0
"2023-05-09 00:00:00",3855761,8023
"2023-05-08 00:00:00",3847738,4480
"2023-05-07 00:00:00",3843258,4480
"2023-05-06 00:00:00",3838778,4735
"2023-05-05 00:00:00",3834044,4735
"2023-05-04 00:00:00",3829309,4994
"2023-05-03 00:00:00",3824315,0
"2023-05-02 00:00:00",3824315,8672
"2023-05-01 00:00:00",3815643,2359
"2023-04-30 00:00:00",3813284,2359
"2023-04-29 00:00:00",3810925,9937
"2023-04-28 00:00:00",3800988,0
"2023-04-27 00:00:00",3800988,10058
"2023-04-26 00:00:00",3790930,4865
"2023-04-25 00:00:00",3786065,4117
"2023-04-24 00:00:00",3781948,4747
"2023-04-23 00:00:00",3777201,5397
"2023-04-22 00:00:00",3771804,5397
"2023-04-21 00:00:00",3766407,5545
"2023-04-20 00:00:00",3760862,5262
"2023-04-19 00:00:00",3755600,5262
"2023-04-18 00:00:00",3750338,4555
"2023-04-17 00:00:00",3745783,0
"2023-04-16 00:00:00",3745783,8048
"2023-04-15 00:00:00",3737736,8048
"2023-04-14 00:00:00",3729688,5470
"2023-04-13 00:00:00",3724218,5165
"2023-04-12 00:00:00",3719053,4991
"2023-04-11 00:00:00",3714062,4472
"2023-04-10 00:00:00",3709590,5113
"2023-04-09 00:00:00",3704477,5608
"2023-04-08 00:00:00",3698869,6018
"2023-04-07 00:00:00",3692851,5947
"2023-04-06 00:00:00",3686904,5854
"2023-04-05 00:00:00",3681050,5667
"2023-04-04 00:00:00",3675383,5065
"2023-04-03 00:00:00",3670318,5263
"2023-04-02 00:00:00",3665055,5383
"2023-04-01 00:00:00",3659672,5044
"2023-03-31 00:00:00",3654628,4840
"2023-03-30 00:00:00",3649788,4977
"2023-03-29 00:00:00",3644811,0
"2023-03-28 00:00:00",3644811,9117
"2023-03-27 00:00:00",3635694,4731
"2023-03-26 00:00:00",3630963,5235
"2023-03-25 00:00:00",3625728,0
"2023-03-24 00:00:00",3625728,11397
"2023-03-23 00:00:00",3614331,5335
"2023-03-22 00:00:00",3608996,5086
"2023-03-21 00:00:00",3603910,4578
"2023-03-20 00:00:00",3599332,5323
"2023-03-19 00:00:00",3594009,5550
"2023-03-18 00:00:00",3588459,5646
"2023-03-17 00:00:00",3582813,0
"2023-03-16 00:00:00",3582813,10921
"2023-03-15 00:00:00",3571892,5040
"2023-03-14 00:00:00",3566852,4429
"2023-03-13 00:00:00",3562423,4951
"2023-03-12 00:00:00",3557472,5601
"2023-03-11 00:00:00",3551871,5593
"2023-03-10 00:00:00",3546278,5638
"2023-03-09 00:00:00",3540640,5687
"2023-03-08 00:00:00",3534953,5441
"2023-03-07 00:00:00",3529512,4809
"2023-03-06 00:00:00",3524703,5229
"2023-03-05 00:00:00",3519474,5596
"2023-03-04 00:00:00",3513878,5626
"2023-03-03 00:00:00",3508252,5644
"2023-03-02 00:00:00",3502608,5534
"2023-03-01 00:00:00",3497074,5277
"2023-02-28 00:00:00",3491797,0
"2023-02-27 00:00:00",3491797,4692
"2023-02-26 00:00:00",3487105,10963
"2023-02-25 00:00:00",3476142,5654
"2023-02-24 00:00:00",3470488,5665
"2023-02-23 00:00:00",3464823,11198
"2023-02-22 00:00:00",3453625,0
"2023-02-21 00:00:00",3453625,4835
"2023-02-20 00:00:00",3448790,5523
"2023-02-19 00:00:00",3443267,5978
"2023-02-18 00:00:00",3437289,0
"2023-02-17 00:00:00",3437289,12023
"2023-02-16 00:00:00",3425266,5919
"2023-02-15 00:00:00",3419347,5428
"2023-02-14 00:00:00",3413919,5108
"2023-02-13 00:00:00",3408811,5492
"2023-02-12 00:00:00",3403319,5940
"2023-02-11 00:00:00",3397379,0
"2023-02-10 00:00:00",3397379,12117
"2023-02-09 00:00:00",3385262,5658
"2023-02-08 00:00:00",3379604,5139
"2023-02-07 00:00:00",3374465,4717
"2023-02-06 00:00:00",3369748,5265
"2023-02-05 00:00:00",3364483,5910
"2023-02-04 00:00:00",3358573,5396
"2023-02-03 00:00:00",3353177,5329
"2023-02-02 00:00:00",3347848,5188
"2023-02-01 00:00:00",3342660,5246
"2023-01-31 00:00:00",3337414,4703
"2023-01-30 00:00:00",3332711,5357
"2023-01-29 00:00:00",3327354,6008
"2023-01-28 00:00:00",3321346,5559
"2023-01-27 00:00:00",3315787,5780
"2023-01-26 00:00:00",3310007,5898
"2023-01-25 00:00:00",3304109,5653
"2023-01-24 00:00:00",3298456,5088
"2023-01-23 00:00:00",3293368,5834
"2023-01-22 00:00:00",3287534,0
"2023-01-21 00:00:00",3287534,12936
"2023-01-20 00:00:00",3274598,6481
"2023-01-19 00:00:00",3268117,6120
"2023-01-18 00:00:00",3261997,5465
"2023-01-17 00:00:00",3256532,5381
"2023-01-16 00:00:00",3251151,5847
"2023-01-15 00:00:00",3245304,6653
"2023-01-14 00:00:00",3238651,6620
"2023-01-13 00:00:00",3232031,6678
"2023-01-12 00:00:00",3225353,6799
"2023-01-11 00:00:00",3218554,6467
"2023-01-10 00:00:00",3212087,5797
"2023-01-09 00:00:00",3206290,0
"2023-01-08 00:00:00",3206290,13349
"2023-01-07 00:00:00",3192941,7000
"2023-01-06 00:00:00",3185941,6751
"2023-01-05 00:00:00",3179190,6751
"2023-01-04 00:00:00",3172439,6032
"2023-01-03 00:00:00",3166407,5839
"2023-01-02 00:00:00",3160568,7433
"2023-01-01 00:00:00",3153135,7723
"2022-12-31 00:00:00",3145412,7197
"2022-12-30 00:00:00",3138215,7033
"2022-12-29 00:00:00",3131182,6712
"2022-12-28 00:00:00",3124470,6024
"2022-12-27 00:00:00",3118446,5610
"2022-12-26 00:00:00",3112836,8720
"2022-12-25 00:00:00",3104116,6181
"2022-12-24 00:00:00",3097935,6914
"2022-12-23 00:00:00",3091021,7085
"2022-12-22 00:00:00",3083936,6653
"2022-12-21 00:00:00",3077283,6312
"2022-12-20 00:00:00",3070971,5882
"2022-12-19 00:00:00",3065089,7248
"2022-12-18 00:00:00",3057841,7400
"2022-12-17 00:00:00",3050441,7336
"2022-12-16 00:00:00",3043105,7022
"2022-12-15 00:00:00",3036083,6726
"2022-12-14 00:00:00",3029357,6258
"2022-12-13 00:00:00",3023099,5592
"2022-12-12 00:00:00",3017507,6576
"2022-12-11 00:00:00",3010931,7163
"2022-12-10 00:00:00",3003768,7582
"2022-12-09 00:00:00",2996186,8009
"2022-12-08 00:00:00",2988177,8105
"2022-12-07 00:00:00",2980072,8092
"2022-12-06 00:00:00",2971980,8092
"2022-12-05 00:00:00",2963889,8092
"2022-12-04 00:00:00",2955797,8092
"2022-12-03 00:00:00",2947705,8092
"2022-12-02 00:00:00",2939613,8092
"2022-12-01 00:00:00",2931522,8092
"2022-11-30 00:00:00",2923430,8024
"2022-11-29 00:00:00",2915406,6724
"2022-11-28 00:00:00",2908682,7362
"2022-11-27 00:00:00",2901320,7062
"2022-11-26 00:00:00",2894258,7595
"2022-11-25 00:00:00",2886663,9282
"2022-11-24 00:00:00",2877381,0
"2022-11-23 00:00:00",2877381,17450
"2022-11-22 00:00:00",2859931,7493
"2022-11-21 00:00:00",2852438,8566
"2022-11-20 00:00:00",2843872,9782
"2022-11-19 00:00:00",2834090,9811
"2022-11-18 00:00:00",2824279,9835
"2022-11-17 00:00:00",2814444,9497
"2022-11-16 00:00:00",2804947,9479
"2022-11-15 00:00:00",2795468,8698
"2022-11-14 00:00:00",2786770,10098
"2022-11-13 00:00:00",2776672,11032
"2022-11-12 00:00:00",2765640,10909
"2022-11-11 00:00:00",2754731,10625
"2022-11-10 00:00:00",2744106,10625
"2022-11-09 00:00:00",2733481,10533
"2022-11-08 00:00:00",2722948,9554
"2022-11-07 00:00:00",2713394,10849
"2022-11-06 00:00:00",2702545,12220
"2022-11-05 00:00:00",2690325,10107
"2022-11-04 00:00:00",2680218,9881
"2022-11-03 00:00:00",2670337,9910
"2022-11-02 00:00:00",2660427,10004
"2022-11-01 00:00:00",2650423,9332
"2022-10-31 00:00:00",2641091,11049
"2022-10-30 00:00:00",2630042,11879
"2022-10-29 00:00:00",2618163,11810
"2022-10-28 00:00:00",2606353,12123
"2022-10-27 00:00:00",2594230,11980
"2022-10-26 00:00:00",2582250,11337
"2022-10-25 00:00:00",2570913,10701
"2022-10-24 00:00:00",2560212,12539
"2022-10-23 00:00:00",2547673,14131
"2022-10-22 00:00:00",2533542,15760
"2022-10-21 00:00:00",2517782,16840
"2022-10-20 00:00:00",2500942,17641
"2022-10-19 00:00:00",2483301,16857
"2022-10-18 00:00:00",2466444,12342
"2022-10-17 00:00:00",2454102,10097
"2022-10-16 00:00:00",2444005,11444
"2022-10-15 00:00:00",2432561,11123
"2022-10-14 00:00:00",2421438,11296
"2022-10-13 00:00:00",2410142,11734
"2022-10-12 00:00:00",2398408,10918
"2022-10-11 00:00:00",2387490,9564
"2022-10-10 00:00:00",2377926,11610
"2022-10-09 00:00:00",2366316,12807
"2022-10-08 00:00:00",2353509,12589
"2022-10-07 00:00:00",2340920,12680
"2022-10-06 00:00:00",2328240,12535
"2022-10-05 00:00:00",2315705,12301
"2022-10-04 00:00:00",2303404,10895
"2022-10-03 00:00:00",2292509,12626
"2022-10-02 00:00:00",2279883,14207
"2022-10-01 00:00:00",2265676,13494
"2022-09-30 00:00:00",2252182,13482
"2022-09-29 00:00:00",2238700,14111
"2022-09-28 00:00:00",2224589,13280
"2022-09-27 00:00:00",2211309,12068
"2022-09-26 00:00:00",2199241,14023
"2022-09-25 00:00:00",2185218,15907
"2022-09-24 00:00:00",2169311,15127
"2022-09-23 00:00:00",2154184,15455
"2022-09-22 00:00:00",2138729,15399
"2022-09-21 00:00:00",2123330,15135
"2022-09-20 00:00:00",2108195,14228
"2022-09-19 00:00:00",2093967,16743
"2022-09-18 00:00:00",2077224,17715
"2022-09-17 00:00:00",2059509,16901
"2022-09-16 00:00:00",2042608,17073
"2022-09-15 00:00:00",2025535,17412
"2022-09-14 00:00:00",2008123,17754
"2022-09-13 00:00:00",1990369,15650
"2022-09-12 00:00:00",1974719,18514
"2022-09-11 00:00:00",1956205,22363
"2022-09-10 00:00:00",1933842,23566
"2022-09-09 00:00:00",1910276,25081
"2022-09-08 00:00:00",1885195,46967
"2022-09-07 00:00:00",1838228,0
"2022-09-06 00:00:00",1838228,22578
"2022-09-05 00:00:00",1815650,27166
"2022-09-04 00:00:00",1788484,31554
"2022-09-03 00:00:00",1756930,31462
"2022-09-02 00:00:00",1725468,31655
