"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",13204505,0
"2023-05-13 00:00:00",13204505,42536
"2023-05-12 00:00:00",13161969,20184
"2023-05-11 00:00:00",13141785,19199
"2023-05-10 00:00:00",13122586,0
"2023-05-09 00:00:00",13122586,35105
"2023-05-08 00:00:00",13087481,20314
"2023-05-07 00:00:00",13067167,20314
"2023-05-06 00:00:00",13046853,20070
"2023-05-05 00:00:00",13026784,20070
"2023-05-04 00:00:00",13006714,20300
"2023-05-03 00:00:00",12986414,0
"2023-05-02 00:00:00",12986414,35411
"2023-05-01 00:00:00",12951003,9772
"2023-04-30 00:00:00",12941231,9772
"2023-04-29 00:00:00",12931459,43818
"2023-04-28 00:00:00",12887641,0
"2023-04-27 00:00:00",12887641,45018
"2023-04-26 00:00:00",12842623,21002
"2023-04-25 00:00:00",12821621,18051
"2023-04-24 00:00:00",12803570,21098
"2023-04-23 00:00:00",12782472,23366
"2023-04-22 00:00:00",12759107,23366
"2023-04-21 00:00:00",12735741,0
"2023-04-20 00:00:00",12735741,32000
"2023-04-19 00:00:00",12703742,32000
"2023-04-18 00:00:00",12671742,17443
"2023-04-17 00:00:00",12654299,0
"2023-04-16 00:00:00",12654299,33260
"2023-04-15 00:00:00",12621039,33260
"2023-04-14 00:00:00",12587779,20698
"2023-04-13 00:00:00",12567081,20216
"2023-04-12 00:00:00",12546865,18860
"2023-04-11 00:00:00",12528005,16185
"2023-04-10 00:00:00",12511820,19877
"2023-04-09 00:00:00",12491943,21338
"2023-04-08 00:00:00",12470605,22888
"2023-04-07 00:00:00",12447717,22435
"2023-04-06 00:00:00",12425282,22826
"2023-04-05 00:00:00",12402456,21938
"2023-04-04 00:00:00",12380518,19898
"2023-04-03 00:00:00",12360620,21747
"2023-04-02 00:00:00",12338873,21983
"2023-04-01 00:00:00",12316890,21057
"2023-03-31 00:00:00",12295833,20624
"2023-03-30 00:00:00",12275209,20565
"2023-03-29 00:00:00",12254644,0
"2023-03-28 00:00:00",12254644,37554
"2023-03-27 00:00:00",12217090,20440
"2023-03-26 00:00:00",12196650,21949
"2023-03-25 00:00:00",12174701,0
"2023-03-24 00:00:00",12174701,42432
"2023-03-23 00:00:00",12132269,21398
"2023-03-22 00:00:00",12110871,19979
"2023-03-21 00:00:00",12090892,18082
"2023-03-20 00:00:00",12072810,21437
"2023-03-19 00:00:00",12051373,22646
"2023-03-18 00:00:00",12028727,22742
"2023-03-17 00:00:00",12005985,0
"2023-03-16 00:00:00",12005985,43405
"2023-03-15 00:00:00",11962580,20022
"2023-03-14 00:00:00",11942558,18219
"2023-03-13 00:00:00",11924339,20751
"2023-03-12 00:00:00",11903588,22001
"2023-03-11 00:00:00",11881587,22410
"2023-03-10 00:00:00",11859177,22778
"2023-03-09 00:00:00",11836399,23092
"2023-03-08 00:00:00",11813307,21817
"2023-03-07 00:00:00",11791490,19717
"2023-03-06 00:00:00",11771773,22646
"2023-03-05 00:00:00",11749127,23848
"2023-03-04 00:00:00",11725279,23564
"2023-03-03 00:00:00",11701715,23758
"2023-03-02 00:00:00",11677957,23267
"2023-03-01 00:00:00",11654690,21601
