Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022",538,"80,518",,
"Aug 14, 2022",637,"94,497",,
"Aug 15, 2022",730,"313,656",,
"Aug 16, 2022",809,"329,426",,
"Aug 17, 2022",873,"337,337",,
"Aug 18, 2022",920,"419,118",,
"Aug 19, 2022",983,"420,499",3,619
"Aug 20, 2022",999,"332,549",3,619
"Aug 21, 2022","1,012","326,967",3,619
"Aug 22, 2022","1,037","329,031",3,619
"Aug 23, 2022","1,053","350,431",3,619
"Aug 24, 2022","1,067","349,857",3,619
"Aug 25, 2022","1,081","355,715",3,620
"Aug 26, 2022","1,100","356,335",3,620
"Aug 27, 2022","1,118","439,384",3,619
"Aug 28, 2022","1,120","439,878",2,447
"Aug 29, 2022","1,123","437,924",,
"Aug 30, 2022","1,137","437,246",,
"Aug 31, 2022","1,150","440,901",,
"Sep 01, 2022","1,162","372,948",,
"Sep 02, 2022","1,171","372,587",,
"Sep 03, 2022","1,178","373,048",,
"Sep 04, 2022","1,187","360,733",,
"Sep 05, 2022","1,204","361,114",,
"Sep 06, 2022","1,211","363,992",,
"Sep 07, 2022","1,221","365,444",,
"Sep 08, 2022","1,225","365,811",,
"Sep 09, 2022","1,236","366,769",,
"Sep 10, 2022","1,243","368,639",,
"Sep 11, 2022","1,244","368,439",,
"Sep 12, 2022","1,254","368,857",,
"Sep 13, 2022","1,263","370,842",,
"Sep 14, 2022","1,268","398,125",,
"Sep 15, 2022","1,278","399,106",,
"Sep 16, 2022","1,281","399,311",,
"Sep 17, 2022","1,291","446,135",,
"Sep 18, 2022","1,293","446,195",,
"Sep 19, 2022","1,293","461,032",,
"Sep 20, 2022","1,292","461,552",,
"Sep 21, 2022","1,297","462,272",,
"Sep 22, 2022","1,297","461,601",,
"Sep 23, 2022","1,300","461,919",,
"Sep 24, 2022","1,305","416,767",,
"Sep 25, 2022","1,306","411,400",,
"Sep 26, 2022","1,308","414,093",,
"Sep 27, 2022","1,314","421,037",,
"Sep 28, 2022","1,317","422,249",,
"Sep 29, 2022","1,315","421,895",,
"Sep 30, 2022","1,317","421,864",,
"Oct 01, 2022","1,318","422,351",,
"Oct 02, 2022","1,320","422,844",,
"Oct 03, 2022","1,320","423,139",,
"Oct 04, 2022","1,328","423,663",,
"Oct 05, 2022","1,326","424,542",,
"Oct 06, 2022","1,331","427,822",,
"Oct 07, 2022","1,334","512,855",,
"Oct 08, 2022","1,340","507,578",,
"Oct 09, 2022","1,341","507,894",,
"Oct 10, 2022","1,341","508,430",,
"Oct 11, 2022","1,341","424,513",,
"Oct 12, 2022","1,343","425,182",,
"Oct 13, 2022","1,344","424,700",,
"Oct 14, 2022","1,346","209,621",,
"Oct 15, 2022","1,347","211,460",,
"Oct 16, 2022","1,354","317,551",,
"Oct 17, 2022","1,362","317,398",,
"Oct 18, 2022","1,362","215,058",,
"Oct 19, 2022","1,364","213,060",,
"Oct 20, 2022","1,366","213,494",,
"Oct 21, 2022","1,370","213,927",,
"Oct 22, 2022","1,372","215,028",,
