"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",9261331,0
"2023-05-13 00:00:00",9261331,36059
"2023-05-12 00:00:00",9225272,17192
"2023-05-11 00:00:00",9208080,16908
"2023-05-10 00:00:00",9191172,0
"2023-05-09 00:00:00",9191172,30016
"2023-05-08 00:00:00",9161156,16863
"2023-05-07 00:00:00",9144293,16863
"2023-05-06 00:00:00",9127430,17637
"2023-05-05 00:00:00",9109793,17637
"2023-05-04 00:00:00",9092156,17630
"2023-05-03 00:00:00",9074526,0
"2023-05-02 00:00:00",9074526,31532
"2023-05-01 00:00:00",9042994,8616
"2023-04-30 00:00:00",9034379,8616
"2023-04-29 00:00:00",9025763,39043
"2023-04-28 00:00:00",8986720,0
"2023-04-27 00:00:00",8986720,39881
"2023-04-26 00:00:00",8946839,19164
"2023-04-25 00:00:00",8927675,15981
"2023-04-24 00:00:00",8911694,17736
"2023-04-23 00:00:00",8893958,19842
"2023-04-22 00:00:00",8874117,19842
"2023-04-21 00:00:00",8854275,0
"2023-04-20 00:00:00",8854275,27879
"2023-04-19 00:00:00",8826397,27879
"2023-04-18 00:00:00",8798518,15405
"2023-04-17 00:00:00",8783113,0
"2023-04-16 00:00:00",8783113,29431
"2023-04-15 00:00:00",8753683,29431
"2023-04-14 00:00:00",8724252,19702
"2023-04-13 00:00:00",8704550,19423
"2023-04-12 00:00:00",8685127,18159
"2023-04-11 00:00:00",8666968,16031
"2023-04-10 00:00:00",8650937,19171
"2023-04-09 00:00:00",8631766,20189
"2023-04-08 00:00:00",8611577,21966
"2023-04-07 00:00:00",8589611,21509
"2023-04-06 00:00:00",8568102,21686
"2023-04-05 00:00:00",8546416,21267
"2023-04-04 00:00:00",8525149,18952
"2023-04-03 00:00:00",8506197,20493
"2023-04-02 00:00:00",8485704,20917
"2023-04-01 00:00:00",8464787,19882
"2023-03-31 00:00:00",8444905,19730
"2023-03-30 00:00:00",8425175,19845
"2023-03-29 00:00:00",8405330,0
"2023-03-28 00:00:00",8405330,32897
"2023-03-27 00:00:00",8372433,16994
"2023-03-26 00:00:00",8355439,18884
"2023-03-25 00:00:00",8336555,0
"2023-03-24 00:00:00",8336555,38988
"2023-03-23 00:00:00",8297567,19639
"2023-03-22 00:00:00",8277928,18301
"2023-03-21 00:00:00",8259627,16238
"2023-03-20 00:00:00",8243389,18512
"2023-03-19 00:00:00",8224877,20066
"2023-03-18 00:00:00",8204811,19821
"2023-03-17 00:00:00",8184990,0
"2023-03-16 00:00:00",8184990,40995
"2023-03-15 00:00:00",8143995,19487
"2023-03-14 00:00:00",8124508,17136
"2023-03-13 00:00:00",8107372,19861
"2023-03-12 00:00:00",8087511,21441
"2023-03-11 00:00:00",8066070,21140
"2023-03-10 00:00:00",8044930,21630
"2023-03-09 00:00:00",8023300,20313
"2023-03-08 00:00:00",8002987,19894
"2023-03-07 00:00:00",7983093,16963
"2023-03-06 00:00:00",7966130,18792
"2023-03-05 00:00:00",7947338,20390
"2023-03-04 00:00:00",7926948,19628
"2023-03-03 00:00:00",7907320,20114
"2023-03-02 00:00:00",7887206,18891
"2023-03-01 00:00:00",7868315,17804
"2023-02-28 00:00:00",7850511,16191
"2023-02-27 00:00:00",7834320,0
"2023-02-26 00:00:00",7834320,37711
"2023-02-25 00:00:00",7796609,20323
"2023-02-24 00:00:00",7776286,21314
"2023-02-23 00:00:00",7754972,41391
"2023-02-22 00:00:00",7713581,0
"2023-02-21 00:00:00",7713581,18595
"2023-02-20 00:00:00",7694986,21000
"2023-02-19 00:00:00",7673986,22885
"2023-02-18 00:00:00",7651101,0
"2023-02-17 00:00:00",7651101,45733
"2023-02-16 00:00:00",7605368,22572
"2023-02-15 00:00:00",7582796,20410
"2023-02-14 00:00:00",7562386,18921
"2023-02-13 00:00:00",7543465,21510
"2023-02-12 00:00:00",7521955,23518
"2023-02-11 00:00:00",7498437,0
"2023-02-10 00:00:00",7498437,45795
"2023-02-09 00:00:00",7452642,22099
"2023-02-08 00:00:00",7430543,21049
"2023-02-07 00:00:00",7409494,18916
"2023-02-06 00:00:00",7390578,0
"2023-02-05 00:00:00",7390578,43335
"2023-02-04 00:00:00",7347243,21029
"2023-02-03 00:00:00",7326214,21117
"2023-02-02 00:00:00",7305097,20630
"2023-02-01 00:00:00",7284467,20029
"2023-01-31 00:00:00",7264438,18030
"2023-01-30 00:00:00",7246408,20706
"2023-01-29 00:00:00",7225702,22559
"2023-01-28 00:00:00",7203143,21619
"2023-01-27 00:00:00",7181524,21251
"2023-01-26 00:00:00",7160273,22074
"2023-01-25 00:00:00",7138199,21207
"2023-01-24 00:00:00",7116992,19145
"2023-01-23 00:00:00",7097847,22349
"2023-01-22 00:00:00",7075498,0
"2023-01-21 00:00:00",7075498,45856
"2023-01-20 00:00:00",7029642,22953
"2023-01-19 00:00:00",7006689,22857
"2023-01-18 00:00:00",6983832,20734
"2023-01-17 00:00:00",6963098,19215
"2023-01-16 00:00:00",6943883,20839
"2023-01-15 00:00:00",6923044,24510
"2023-01-14 00:00:00",6898534,23331
"2023-01-13 00:00:00",6875203,23626
"2023-01-12 00:00:00",6851577,23076
"2023-01-11 00:00:00",6828501,22000
"2023-01-10 00:00:00",6806501,19668
"2023-01-09 00:00:00",6786833,0
"2023-01-08 00:00:00",6786833,45390
"2023-01-07 00:00:00",6741443,23166
"2023-01-06 00:00:00",6718277,22269
"2023-01-05 00:00:00",6696009,22269
"2023-01-04 00:00:00",6673740,20048
"2023-01-03 00:00:00",6653692,18833
"2023-01-02 00:00:00",6634859,23191
"2023-01-01 00:00:00",6611668,21998
"2022-12-31 00:00:00",6589670,20667
"2022-12-30 00:00:00",6569003,19948
"2022-12-29 00:00:00",6549055,19215
"2022-12-28 00:00:00",6529840,16379
"2022-12-27 00:00:00",6513461,13631
"2022-12-26 00:00:00",6499830,21946
"2022-12-25 00:00:00",6477884,18127
"2022-12-24 00:00:00",6459757,19248
"2022-12-23 00:00:00",6440509,19908
"2022-12-22 00:00:00",6420601,19374
"2022-12-21 00:00:00",6401227,18274
"2022-12-20 00:00:00",6382953,16530
"2022-12-19 00:00:00",6366423,19439
"2022-12-18 00:00:00",6346984,21020
"2022-12-17 00:00:00",6325964,19757
"2022-12-16 00:00:00",6306207,19605
"2022-12-15 00:00:00",6286602,19352
"2022-12-14 00:00:00",6267250,17886
"2022-12-13 00:00:00",6249364,16219
"2022-12-12 00:00:00",6233145,18928
"2022-12-11 00:00:00",6214217,20388
"2022-12-10 00:00:00",6193829,21787
"2022-12-09 00:00:00",6172042,22021
"2022-12-08 00:00:00",6150021,21681
"2022-12-07 00:00:00",6128340,21512
"2022-12-06 00:00:00",6106828,21512
"2022-12-05 00:00:00",6085316,21512
"2022-12-04 00:00:00",6063804,21512
"2022-12-03 00:00:00",6042293,21512
"2022-12-02 00:00:00",6020781,21512
"2022-12-01 00:00:00",5999269,21512
"2022-11-30 00:00:00",5977757,19426
"2022-11-29 00:00:00",5958331,16769
"2022-11-28 00:00:00",5941562,18199
"2022-11-27 00:00:00",5923363,17219
"2022-11-26 00:00:00",5906144,19003
"2022-11-25 00:00:00",5887141,22278
"2022-11-24 00:00:00",5864863,0
"2022-11-23 00:00:00",5864863,40767
"2022-11-22 00:00:00",5824096,17743
"2022-11-21 00:00:00",5806353,20548
"2022-11-20 00:00:00",5785805,22619
"2022-11-19 00:00:00",5763186,22434
"2022-11-18 00:00:00",5740752,22068
"2022-11-17 00:00:00",5718684,21724
"2022-11-16 00:00:00",5696960,21012
"2022-11-15 00:00:00",5675948,19406
"2022-11-14 00:00:00",5656542,22447
"2022-11-13 00:00:00",5634095,24616
"2022-11-12 00:00:00",5609479,24769
"2022-11-11 00:00:00",5584710,25498
"2022-11-10 00:00:00",5559213,25498
"2022-11-09 00:00:00",5533715,25012
"2022-11-08 00:00:00",5508703,21769
"2022-11-07 00:00:00",5486934,25635
"2022-11-06 00:00:00",5461299,28214
"2022-11-05 00:00:00",5433085,25674
"2022-11-04 00:00:00",5407411,24263
"2022-11-03 00:00:00",5383148,23382
"2022-11-02 00:00:00",5359766,23774
"2022-11-01 00:00:00",5335992,21811
"2022-10-31 00:00:00",5314181,26049
"2022-10-30 00:00:00",5288132,27934
"2022-10-29 00:00:00",5260198,28649
"2022-10-28 00:00:00",5231549,28533
"2022-10-27 00:00:00",5203016,27863
"2022-10-26 00:00:00",5175153,26367
"2022-10-25 00:00:00",5148786,24271
"2022-10-24 00:00:00",5124515,29099
"2022-10-23 00:00:00",5095416,30598
"2022-10-22 00:00:00",5064818,31545
"2022-10-21 00:00:00",5033273,32943
"2022-10-20 00:00:00",5000330,32749
"2022-10-19 00:00:00",4967581,31582
"2022-10-18 00:00:00",4935999,26269
"2022-10-17 00:00:00",4909730,27393
"2022-10-16 00:00:00",4882337,29829
"2022-10-15 00:00:00",4852508,28417
"2022-10-14 00:00:00",4824091,28219
"2022-10-13 00:00:00",4795872,28939
"2022-10-12 00:00:00",4766933,27670
"2022-10-11 00:00:00",4739263,24684
"2022-10-10 00:00:00",4714579,29066
"2022-10-09 00:00:00",4685513,31896
"2022-10-08 00:00:00",4653617,32479
"2022-10-07 00:00:00",4621138,32419
"2022-10-06 00:00:00",4588719,31943
"2022-10-05 00:00:00",4556776,30631
"2022-10-04 00:00:00",4526145,27405
"2022-10-03 00:00:00",4498740,32103
"2022-10-02 00:00:00",4466637,34837
"2022-10-01 00:00:00",4431800,34960
"2022-09-30 00:00:00",4396840,34279
"2022-09-29 00:00:00",4362561,35708
"2022-09-28 00:00:00",4326853,33670
"2022-09-27 00:00:00",4293183,30168
"2022-09-26 00:00:00",4263015,36154
"2022-09-25 00:00:00",4226861,40597
"2022-09-24 00:00:00",4186264,39408
"2022-09-23 00:00:00",4146856,41448
"2022-09-22 00:00:00",4105408,40930
"2022-09-21 00:00:00",4064478,38278
"2022-09-20 00:00:00",4026200,35755
"2022-09-19 00:00:00",3990445,44088
"2022-09-18 00:00:00",3946357,45971
"2022-09-17 00:00:00",3900386,44328
"2022-09-16 00:00:00",3856058,45156
"2022-09-15 00:00:00",3810902,43876
"2022-09-14 00:00:00",3767026,43567
"2022-09-13 00:00:00",3723459,38227
"2022-09-12 00:00:00",3685232,46402
"2022-09-11 00:00:00",3638830,54527
"2022-09-10 00:00:00",3584303,56189
"2022-09-09 00:00:00",3528114,59707
"2022-09-08 00:00:00",3468407,110353
"2022-09-07 00:00:00",3358054,0
"2022-09-06 00:00:00",3358054,52296
"2022-09-05 00:00:00",3305758,62210
"2022-09-04 00:00:00",3243548,70934
"2022-09-03 00:00:00",3172614,71752
"2022-09-02 00:00:00",3100862,73029
"2022-09-01 00:00:00",3027833,74864
"2022-08-31 00:00:00",2952969,71629
"2022-08-30 00:00:00",2881340,68369
"2022-08-29 00:00:00",2812971,82396
"2022-08-28 00:00:00",2730575,91850
"2022-08-27 00:00:00",2638725,90584
"2022-08-26 00:00:00",2548141,94216
"2022-08-25 00:00:00",2453925,118713
"2022-08-24 00:00:00",2335212,114799
"2022-08-23 00:00:00",2220413,171726
"2022-08-22 00:00:00",2048687,171726
"2022-08-21 00:00:00",1876961,171726
"2022-08-20 00:00:00",1705236,171726
"2022-08-19 00:00:00",1533510,171726
"2022-08-18 00:00:00",1361784,244777
"2022-08-17 00:00:00",1117007,244704
"2022-08-16 00:00:00",872303,232774
"2022-08-15 00:00:00",639529,296518
"2022-08-14 00:00:00",343011,0
