"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",708453,5898
"2023-05-27 00:00:00",702555,5898
"2023-05-26 00:00:00",696657,0
"2023-05-25 00:00:00",696657,12147
"2023-05-24 00:00:00",684510,0
"2023-05-23 00:00:00",684510,11766
"2023-05-22 00:00:00",672744,6374
"2023-05-21 00:00:00",666371,6374
"2023-05-20 00:00:00",659997,7167
"2023-05-19 00:00:00",652831,7167
"2023-05-18 00:00:00",645664,7348
"2023-05-17 00:00:00",638316,7047
"2023-05-16 00:00:00",631269,7047
"2023-05-15 00:00:00",624222,0
"2023-05-14 00:00:00",624222,15771
"2023-05-13 00:00:00",608451,9304
"2023-05-12 00:00:00",599147,10352
"2023-05-11 00:00:00",588795,11222
"2023-05-10 00:00:00",577573,10609
"2023-05-09 00:00:00",566964,9269
"2023-05-08 00:00:00",557695,10597
"2023-05-07 00:00:00",547098,6080
"2023-05-06 00:00:00",541018,6080
"2023-05-05 00:00:00",534938,26379
"2023-05-04 00:00:00",508559,13263
"2023-05-03 00:00:00",495296,13291
"2023-05-02 00:00:00",482005,11118
"2023-05-01 00:00:00",470887,0
"2023-04-30 00:00:00",470887,27989
"2023-04-29 00:00:00",442898,15718
"2023-04-28 00:00:00",427180,17472
"2023-04-27 00:00:00",409708,0
"2023-04-26 00:00:00",409708,37619
"2023-04-25 00:00:00",372089,0
"2023-04-24 00:00:00",372089,16458
"2023-04-23 00:00:00",355631,53913
"2023-04-22 00:00:00",301718,42199
"2023-04-21 00:00:00",259519,41956
"2023-04-20 00:00:00",217564,41956
"2023-04-19 00:00:00",175608,43620
"2023-04-18 00:00:00",131988,38358
"2023-04-17 00:00:00",93630,38358
"2023-04-16 00:00:00",55272,0
"2023-04-15 00:00:00",55272,0
