"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",1553974,15301
"2023-05-27 00:00:00",1538674,15301
"2023-05-26 00:00:00",1523373,0
"2023-05-25 00:00:00",1523373,31820
"2023-05-24 00:00:00",1491553,0
"2023-05-23 00:00:00",1491553,30023
"2023-05-22 00:00:00",1461530,16802
"2023-05-21 00:00:00",1444728,16802
"2023-05-20 00:00:00",1427926,18505
"2023-05-19 00:00:00",1409422,18505
"2023-05-18 00:00:00",1390917,19165
"2023-05-17 00:00:00",1371752,17622
"2023-05-16 00:00:00",1354130,17622
"2023-05-15 00:00:00",1336508,0
"2023-05-14 00:00:00",1336508,40155
"2023-05-13 00:00:00",1296353,22294
"2023-05-12 00:00:00",1274059,24078
"2023-05-11 00:00:00",1249981,24025
"2023-05-10 00:00:00",1225956,23748
"2023-05-09 00:00:00",1202208,20010
"2023-05-08 00:00:00",1182198,23718
"2023-05-07 00:00:00",1158480,13873
"2023-05-06 00:00:00",1144608,13873
"2023-05-05 00:00:00",1130735,58919
"2023-05-04 00:00:00",1071816,29898
"2023-05-03 00:00:00",1041918,29203
"2023-05-02 00:00:00",1012715,25907
"2023-05-01 00:00:00",986808,0
"2023-04-30 00:00:00",986808,64841
"2023-04-29 00:00:00",921967,35966
"2023-04-28 00:00:00",886001,38586
"2023-04-27 00:00:00",847415,0
"2023-04-26 00:00:00",847415,82582
"2023-04-25 00:00:00",764833,0
"2023-04-24 00:00:00",764833,35993
"2023-04-23 00:00:00",728840,112768
"2023-04-22 00:00:00",616072,88266
"2023-04-21 00:00:00",527806,89520
"2023-04-20 00:00:00",438286,89520
"2023-04-19 00:00:00",348766,89700
"2023-04-18 00:00:00",259066,76248
"2023-04-17 00:00:00",182819,76248
"2023-04-16 00:00:00",106571,0
"2023-04-15 00:00:00",106571,0
