"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",970491,8042
"2023-05-27 00:00:00",962450,8042
"2023-05-26 00:00:00",954408,0
"2023-05-25 00:00:00",954408,16738
"2023-05-24 00:00:00",937670,0
"2023-05-23 00:00:00",937670,15715
"2023-05-22 00:00:00",921955,8832
"2023-05-21 00:00:00",913124,8832
"2023-05-20 00:00:00",904292,9857
"2023-05-19 00:00:00",894436,9857
"2023-05-18 00:00:00",884579,9960
"2023-05-17 00:00:00",874619,9480
"2023-05-16 00:00:00",865140,9480
"2023-05-15 00:00:00",855660,0
"2023-05-14 00:00:00",855660,22045
"2023-05-13 00:00:00",833615,13403
"2023-05-12 00:00:00",820212,14525
"2023-05-11 00:00:00",805687,14748
"2023-05-10 00:00:00",790939,14140
"2023-05-09 00:00:00",776799,12687
"2023-05-08 00:00:00",764112,14447
"2023-05-07 00:00:00",749665,8083
"2023-05-06 00:00:00",741583,8083
"2023-05-05 00:00:00",733500,35611
"2023-05-04 00:00:00",697889,17134
"2023-05-03 00:00:00",680755,16775
"2023-05-02 00:00:00",663980,14728
"2023-05-01 00:00:00",649252,0
"2023-04-30 00:00:00",649252,37242
"2023-04-29 00:00:00",612010,20974
"2023-04-28 00:00:00",591036,22556
"2023-04-27 00:00:00",568480,0
"2023-04-26 00:00:00",568480,48511
"2023-04-25 00:00:00",519969,0
"2023-04-24 00:00:00",519969,22166
"2023-04-23 00:00:00",497803,72780
"2023-04-22 00:00:00",425023,59345
"2023-04-21 00:00:00",365678,59857
"2023-04-20 00:00:00",305821,59857
"2023-04-19 00:00:00",245964,60151
"2023-04-18 00:00:00",185813,53606
"2023-04-17 00:00:00",132207,53606
"2023-04-16 00:00:00",78601,0
"2023-04-15 00:00:00",78601,0
