Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 15, 2023",12,"39,151",,
"Apr 16, 2023",30,"55,738",,
"Apr 17, 2023",45,"57,555",1,195
"Apr 18, 2023",71,"60,324",1,195
"Apr 19, 2023",128,"61,755",1,195
"Apr 20, 2023",162,"67,117",1,195
"Apr 21, 2023",183,"60,175",1,195
"Apr 22, 2023",207,"54,601",1,195
"Apr 23, 2023",231,"55,053",1,195
"Apr 24, 2023",258,"55,853",1,195
"Apr 25, 2023",290,"56,160",1,195
"Apr 26, 2023",308,"93,390",1,195
"Apr 27, 2023",340,"93,740",1,195
"Apr 28, 2023",356,"94,002",1,195
"Apr 29, 2023",373,"94,191",1,195
"Apr 30, 2023",393,"57,979",1,195
"May 01, 2023",419,"56,081",1,195
"May 02, 2023",439,"56,256",1,195
"May 03, 2023",456,"56,368",1,195
"May 04, 2023",482,"56,594",1,195
"May 05, 2023",503,"56,753",1,195
"May 06, 2023",540,"57,249",1,195
"May 07, 2023",564,"57,493",1,195
"May 08, 2023",591,"57,716",1,195
"May 09, 2023",612,"59,973",1,195
"May 10, 2023",629,"61,036",1,195
"May 11, 2023",654,"62,111",1,195
"May 12, 2023",675,"62,410",1,195
"May 13, 2023",689,"62,422",1,195
"May 14, 2023",710,"62,851",1,195
"May 15, 2023",725,"62,971",1,195
"May 16, 2023",737,"63,171",1,195
"May 17, 2023",745,"63,417",1,195
"May 18, 2023",750,"63,524",1,195
"May 19, 2023",757,"63,627",1,195
"May 20, 2023",765,"63,778",1,195
"May 21, 2023",773,"63,816",1,195
"May 22, 2023",773,"63,938",1,195
"May 23, 2023",775,"64,007",1,195
"May 24, 2023",781,"64,085",1,195
"May 25, 2023",787,"64,149",1,195
"May 26, 2023",793,"64,219",1,195
"May 27, 2023",796,"64,252",1,195
"May 28, 2023",799,"64,285",1,194
"May 29, 2023",804,"64,314",1,194
Invalid date,,,,
