Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 15, 2023",13,"18,918",,
"Apr 16, 2023",34,"35,015",,
"Apr 17, 2023",56,"38,344",1,195
"Apr 18, 2023",95,"43,337",1,195
"Apr 19, 2023",185,"45,107",1,195
"Apr 20, 2023",244,"184,886",1,195
"Apr 21, 2023",274,"178,042",1,195
"Apr 22, 2023",320,"177,466",1,195
"Apr 23, 2023",346,"178,512",1,195
"Apr 24, 2023",391,"216,049",1,195
"Apr 25, 2023",432,"217,264",1,195
"Apr 26, 2023",464,"217,605",1,195
"Apr 27, 2023",507,"181,111",1,195
"Apr 28, 2023",539,"182,615",1,195
"Apr 29, 2023",569,"178,340",1,195
"Apr 30, 2023",598,"179,252",1,195
"May 01, 2023",631,"179,532",1,195
"May 02, 2023",664,"179,973",1,195
"May 03, 2023",690,"180,763",1,195
"May 04, 2023",732,"180,256",1,195
"May 05, 2023",775,"180,663",1,195
"May 06, 2023",822,"181,455",1,195
"May 07, 2023",862,"182,037",1,195
"May 08, 2023",890,"182,352",1,195
"May 09, 2023",930,"178,371",1,195
"May 10, 2023",962,"181,037",1,195
"May 11, 2023",996,"182,704",1,195
"May 12, 2023","1,024","183,078",1,195
"May 13, 2023","1,040","183,267",1,195
"May 14, 2023","1,077","183,993",1,195
"May 15, 2023","1,099","184,186",1,195
"May 16, 2023","1,117","184,600",1,195
"May 17, 2023","1,130","184,849",1,195
"May 18, 2023","1,137","184,925",1,195
"May 19, 2023","1,148","185,001",1,195
"May 20, 2023","1,162","185,606",1,195
"May 21, 2023","1,174","185,654",1,195
"May 22, 2023","1,181","185,792",1,195
"May 23, 2023","1,186","186,217",1,195
"May 24, 2023","1,195","186,370",1,195
"May 25, 2023","1,205","186,491",1,195
"May 26, 2023","1,216","186,580",1,195
"May 27, 2023","1,224","187,274",1,195
"May 28, 2023","1,233","187,394",1,194
"May 29, 2023","1,238","187,412",1,194
Invalid date,,,,
