"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",804753,8828
"2023-05-27 00:00:00",795925,8828
"2023-05-26 00:00:00",787097,0
"2023-05-25 00:00:00",787097,17610
"2023-05-24 00:00:00",769487,0
"2023-05-23 00:00:00",769487,16662
"2023-05-22 00:00:00",752825,9238
"2023-05-21 00:00:00",743587,9238
"2023-05-20 00:00:00",734349,10077
"2023-05-19 00:00:00",724273,10077
"2023-05-18 00:00:00",714196,10360
"2023-05-17 00:00:00",703836,9958
"2023-05-16 00:00:00",693879,9958
"2023-05-15 00:00:00",683921,0
"2023-05-14 00:00:00",683921,22130
"2023-05-13 00:00:00",661791,12169
"2023-05-12 00:00:00",649622,12689
"2023-05-11 00:00:00",636933,12862
"2023-05-10 00:00:00",624071,12516
"2023-05-09 00:00:00",611555,11292
"2023-05-08 00:00:00",600263,12592
"2023-05-07 00:00:00",587671,7344
"2023-05-06 00:00:00",580328,7344
"2023-05-05 00:00:00",572984,30266
"2023-05-04 00:00:00",542718,15362
"2023-05-03 00:00:00",527356,14943
"2023-05-02 00:00:00",512413,13714
"2023-05-01 00:00:00",498699,0
"2023-04-30 00:00:00",498699,32112
"2023-04-29 00:00:00",466587,18135
"2023-04-28 00:00:00",448452,19089
"2023-04-27 00:00:00",429363,0
"2023-04-26 00:00:00",429363,41851
"2023-04-25 00:00:00",387512,0
"2023-04-24 00:00:00",387512,18528
"2023-04-23 00:00:00",368984,60087
"2023-04-22 00:00:00",308897,44946
"2023-04-21 00:00:00",263951,44232
"2023-04-20 00:00:00",219720,44232
"2023-04-19 00:00:00",175488,43460
"2023-04-18 00:00:00",132028,41101
"2023-04-17 00:00:00",90927,41101
"2023-04-16 00:00:00",49826,0
"2023-04-15 00:00:00",49826,0
