"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",978650,13796
"2023-05-27 00:00:00",964854,13796
"2023-05-26 00:00:00",951058,0
"2023-05-25 00:00:00",951058,27298
"2023-05-24 00:00:00",923760,0
"2023-05-23 00:00:00",923760,25378
"2023-05-22 00:00:00",898382,14015
"2023-05-21 00:00:00",884368,14015
"2023-05-20 00:00:00",870353,15093
"2023-05-19 00:00:00",855260,15093
"2023-05-18 00:00:00",840167,15498
"2023-05-17 00:00:00",824669,14687
"2023-05-16 00:00:00",809983,14687
"2023-05-15 00:00:00",795296,0
"2023-05-14 00:00:00",795296,33218
"2023-05-13 00:00:00",762078,18589
"2023-05-12 00:00:00",743489,19374
"2023-05-11 00:00:00",724115,19597
"2023-05-10 00:00:00",704518,20460
"2023-05-09 00:00:00",684058,18513
"2023-05-08 00:00:00",665545,20719
"2023-05-07 00:00:00",644826,11158
"2023-05-06 00:00:00",633669,11158
"2023-05-05 00:00:00",622511,36500
"2023-05-04 00:00:00",586011,17376
"2023-05-03 00:00:00",568635,17001
"2023-05-02 00:00:00",551634,15343
"2023-05-01 00:00:00",536291,0
"2023-04-30 00:00:00",536291,37266
"2023-04-29 00:00:00",499025,20786
"2023-04-28 00:00:00",478239,21717
"2023-04-27 00:00:00",456522,0
"2023-04-26 00:00:00",456522,46980
"2023-04-25 00:00:00",409542,0
"2023-04-24 00:00:00",409542,21469
"2023-04-23 00:00:00",388073,63839
"2023-04-22 00:00:00",324234,46115
"2023-04-21 00:00:00",278119,46151
"2023-04-20 00:00:00",231968,46151
"2023-04-19 00:00:00",185817,46809
"2023-04-18 00:00:00",139008,43254
"2023-04-17 00:00:00",95755,43254
"2023-04-16 00:00:00",52501,0
"2023-04-15 00:00:00",52501,0
