"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",467152,3764
"2023-05-27 00:00:00",463389,3764
"2023-05-26 00:00:00",459625,0
"2023-05-25 00:00:00",459625,7855
"2023-05-24 00:00:00",451770,0
"2023-05-23 00:00:00",451770,7591
"2023-05-22 00:00:00",444179,4206
"2023-05-21 00:00:00",439973,4206
"2023-05-20 00:00:00",435767,4577
"2023-05-19 00:00:00",431191,4577
"2023-05-18 00:00:00",426614,4681
"2023-05-17 00:00:00",421933,4700
"2023-05-16 00:00:00",417233,4700
"2023-05-15 00:00:00",412533,0
"2023-05-14 00:00:00",412533,10185
"2023-05-13 00:00:00",402348,5675
"2023-05-12 00:00:00",396673,5978
"2023-05-11 00:00:00",390695,6146
"2023-05-10 00:00:00",384549,6092
"2023-05-09 00:00:00",378457,5660
"2023-05-08 00:00:00",372797,6286
"2023-05-07 00:00:00",366511,3445
"2023-05-06 00:00:00",363066,3445
"2023-05-05 00:00:00",359621,14243
"2023-05-04 00:00:00",345378,7226
"2023-05-03 00:00:00",338152,7126
"2023-05-02 00:00:00",331026,6539
"2023-05-01 00:00:00",324487,0
"2023-04-30 00:00:00",324487,15987
"2023-04-29 00:00:00",308500,9309
"2023-04-28 00:00:00",299191,10138
"2023-04-27 00:00:00",289053,0
"2023-04-26 00:00:00",289053,22010
"2023-04-25 00:00:00",267043,0
"2023-04-24 00:00:00",267043,10152
"2023-04-23 00:00:00",256891,36611
"2023-04-22 00:00:00",220280,30085
"2023-04-21 00:00:00",190195,30394
"2023-04-20 00:00:00",159802,30394
"2023-04-19 00:00:00",129408,31464
"2023-04-18 00:00:00",97944,30545
"2023-04-17 00:00:00",67400,30545
"2023-04-16 00:00:00",36855,0
"2023-04-15 00:00:00",36855,0
