Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 07, 2022",1,7,,
"Oct 08, 2022",51,"1,193,024",1,"1,122,964"
"Oct 09, 2022",55,"1,194,674",1,"1,123,184"
"Oct 10, 2022",63,"1,197,377",1,"1,123,373"
"Oct 11, 2022",66,"1,197,619",1,"1,123,611"
"Oct 12, 2022",70,"1,197,844",1,"1,123,795"
"Oct 13, 2022",74,"1,197,317",1,"1,124,047"
"Oct 14, 2022",80,"1,198,017",1,"1,124,336"
"Oct 15, 2022",83,"1,197,563",1,"1,124,577"
"Oct 16, 2022",83,"1,131,348",1,"1,124,868"
"Oct 17, 2022",85,"1,142,801",1,"1,125,233"
"Oct 18, 2022",87,"1,143,847",1,"1,125,538"
"Oct 19, 2022",89,"1,142,928",1,"1,125,823"
"Oct 20, 2022",92,"1,143,198",1,"1,126,027"
"Oct 21, 2022",105,"1,145,055",1,"1,126,262"
"Oct 22, 2022",104,"1,144,602",1,"1,126,433"
"Oct 23, 2022",102,"1,144,784",1,"1,126,658"
"Oct 24, 2022",102,"1,144,999",1,"1,126,864"
"Oct 25, 2022",104,"1,145,216",1,"1,127,048"
"Oct 26, 2022",104,"1,145,425",1,"1,127,265"
"Oct 27, 2022",106,"1,145,806",1,"1,127,559"
"Oct 28, 2022",108,"1,154,265",1,"1,127,825"
"Oct 29, 2022",107,"1,154,509",1,"1,128,110"
"Oct 30, 2022",109,"1,154,579",1,"1,128,370"
"Oct 31, 2022",108,"1,154,438",1,"1,128,592"
"Nov 01, 2022",110,"1,154,929",1,"1,128,791"
"Nov 02, 2022",113,"1,155,310",1,"1,129,024"
"Nov 03, 2022",116,"1,155,631",1,"1,129,278"
"Nov 04, 2022",118,"1,155,944",1,"1,129,571"
"Nov 05, 2022",120,"1,156,432",1,"1,130,003"
"Nov 06, 2022",119,"1,156,800",1,"1,130,354"
"Nov 07, 2022",117,"1,156,943",1,"1,130,830"
"Nov 08, 2022",116,"1,157,236",1,"1,131,202"
"Nov 09, 2022",116,"1,157,559",1,"1,131,566"
"Nov 10, 2022",119,"1,157,953",1,"1,131,944"
"Nov 11, 2022",126,"1,167,701",1,"1,132,349"
"Nov 12, 2022",126,"1,168,110",1,"1,132,732"
"Nov 13, 2022",128,"1,169,082",1,"1,133,070"
"Nov 14, 2022",128,"1,169,442",1,"1,133,418"
"Nov 15, 2022",129,"1,169,871",1,"1,133,806"
"Nov 16, 2022",128,"1,170,139",1,"1,134,227"
"Nov 17, 2022",127,"1,170,536",1,"1,134,620"
"Nov 18, 2022",122,"1,170,654",1,"1,134,728"
"Nov 19, 2022",122,"1,170,464",1,"1,134,541"
"Nov 20, 2022",123,"1,170,374",1,"1,134,572"
"Nov 21, 2022",124,"1,170,704",1,"1,134,898"
"Nov 22, 2022",125,"1,171,061",1,"1,135,236"
"Nov 23, 2022",124,"1,171,352",1,"1,135,533"
"Nov 24, 2022",125,"1,172,186",1,"1,136,350"
"Nov 25, 2022",124,"1,173,196",1,"1,137,435"
"Nov 26, 2022",124,"1,173,910",1,"1,138,145"
"Nov 27, 2022",121,"26,728",,
"Nov 28, 2022",123,"26,743",,
"Nov 29, 2022",127,"26,764",,
"Nov 30, 2022",127,"26,762",,
"Dec 01, 2022",128,"27,062",,
"Dec 02, 2022",128,"27,108",,
"Dec 03, 2022",126,"27,204",,
"Dec 04, 2022",126,"18,555",,
"Dec 05, 2022",124,"18,533",,
"Dec 06, 2022",124,"18,540",,
"Dec 07, 2022",121,"18,515",,
"Dec 08, 2022",120,"18,254",,
"Dec 09, 2022",119,"18,253",,
"Dec 10, 2022",120,"6,175",,
"Dec 11, 2022",120,"5,561",,
"Dec 12, 2022",121,"5,645",,
"Dec 13, 2022",122,"5,667",,
"Dec 14, 2022",122,"5,829",,
"Dec 15, 2022",123,"5,830",,
"Dec 16, 2022",122,"5,694",,
"Dec 17, 2022",122,"5,700",,
"Dec 18, 2022",122,"5,710",,
"Dec 19, 2022",121,"5,558",,
"Dec 20, 2022",121,"5,289",,
"Dec 21, 2022",122,"4,061",,
"Dec 22, 2022",122,"4,158",,
"Dec 23, 2022",123,"5,069",,
"Dec 24, 2022",120,"4,862",,
"Dec 25, 2022",121,"5,045",,
"Dec 26, 2022",120,"4,416",,
"Dec 27, 2022",118,"3,675",,
"Dec 28, 2022",119,"4,445",,
"Dec 29, 2022",118,"4,214",,
