Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 07, 2022",1,7,,
"Oct 08, 2022",44,"4,212",,
"Oct 09, 2022",48,"4,449",,
"Oct 10, 2022",52,"5,957",,
"Oct 11, 2022",62,"6,409",,
"Oct 12, 2022",69,"6,756",,
"Oct 13, 2022",71,"6,769",,
"Oct 14, 2022",78,"24,010",,
"Oct 15, 2022",78,"21,832",,
"Oct 16, 2022",78,"21,448",,
"Oct 17, 2022",77,"20,473",,
"Oct 18, 2022",78,"20,487",,
"Oct 19, 2022",82,"19,277",,
"Oct 20, 2022",86,"19,912",,
"Oct 21, 2022",91,"19,950",,
"Oct 22, 2022",91,"20,023",,
"Oct 23, 2022",94,"22,075",,
"Oct 24, 2022",94,"21,906",,
"Oct 25, 2022",97,"21,924",,
"Oct 26, 2022",97,"21,902",,
"Oct 27, 2022",101,"22,004",,
"Oct 28, 2022",103,"22,295",,
"Oct 29, 2022",101,"22,246",,
"Oct 30, 2022",103,"22,260",,
"Oct 31, 2022",102,"22,235",,
"Nov 01, 2022",104,"22,528",,
"Nov 02, 2022",110,"22,679",,
"Nov 03, 2022",112,"22,709",,
"Nov 04, 2022",116,"22,809",,
"Nov 05, 2022",116,"22,866",,
"Nov 06, 2022",115,"35,234",,
"Nov 07, 2022",117,"35,198",,
"Nov 08, 2022",117,"35,214",,
"Nov 09, 2022",118,"35,236",,
"Nov 10, 2022",119,"35,252",,
"Nov 11, 2022",122,"35,505",,
"Nov 12, 2022",122,"35,520",,
"Nov 13, 2022",118,"26,481",,
"Nov 14, 2022",119,"26,487",,
"Nov 15, 2022",119,"26,514",,
"Nov 16, 2022",119,"26,519",,
"Nov 17, 2022",119,"26,522",,
"Nov 18, 2022",115,"26,568",,
"Nov 19, 2022",115,"26,567",,
"Nov 20, 2022",116,"26,588",,
"Nov 21, 2022",118,"26,614",,
"Nov 22, 2022",120,"26,625",,
"Nov 23, 2022",120,"26,720",,
"Nov 24, 2022",121,"26,744",,
"Nov 25, 2022",120,"26,685",,
"Nov 26, 2022",122,"26,692",,
"Nov 27, 2022",122,"26,699",,
"Nov 28, 2022",127,"27,174",,
"Nov 29, 2022",129,"27,184",,
"Nov 30, 2022",129,"27,189",,
"Dec 01, 2022",131,"27,494",,
"Dec 02, 2022",131,"27,544",,
"Dec 03, 2022",128,"33,957",,
"Dec 04, 2022",131,"36,917",,
"Dec 05, 2022",124,"36,642",,
"Dec 06, 2022",124,"36,669",,
"Dec 07, 2022",122,"36,768",,
"Dec 08, 2022",121,"36,523",,
"Dec 09, 2022",119,"36,517",,
"Dec 10, 2022",119,"35,809",,
"Dec 11, 2022",122,"36,075",,
"Dec 12, 2022",122,"36,098",,
"Dec 13, 2022",123,"36,271",,
"Dec 14, 2022",123,"36,178",,
"Dec 15, 2022",124,"36,192",,
"Dec 16, 2022",124,"36,063",,
"Dec 17, 2022",123,"35,686",,
"Dec 18, 2022",120,"17,808",,
"Dec 19, 2022",121,"18,025",,
"Dec 20, 2022",121,"17,751",,
"Dec 21, 2022",124,"18,026",,
"Dec 22, 2022",125,"18,128",,
"Dec 23, 2022",124,"18,159",,
"Dec 24, 2022",120,"17,612",,
"Dec 25, 2022",121,"26,452",,
"Dec 26, 2022",121,"26,457",,
"Dec 27, 2022",124,"29,437",,
"Dec 28, 2022",124,"29,730",,
"Dec 29, 2022",124,"29,735",,
"Dec 30, 2022",121,"29,724",,
"Dec 31, 2022",116,"29,548",,
"Jan 01, 2023",114,"29,195",,
"Jan 02, 2023",115,"29,500",,
"Jan 03, 2023",109,"26,344",,
"Jan 04, 2023",111,"26,400",,
"Jan 05, 2023",111,"26,557",,
"Jan 06, 2023",109,"26,444",,
"Jan 07, 2023",109,"26,445",,
"Jan 08, 2023",109,"26,443",,
"Jan 09, 2023",109,"26,446",,
"Jan 10, 2023",112,"29,347",,
"Jan 11, 2023",114,"29,684",,
"Jan 12, 2023",117,"29,951",,
"Jan 13, 2023",116,"29,959",,
"Jan 14, 2023",116,"29,784",,
"Jan 15, 2023",117,"29,786",,
"Jan 16, 2023",202,"31,335",,
"Jan 17, 2023",201,"31,332",,
"Jan 18, 2023",201,"31,347",,
"Jan 19, 2023",202,"31,348",,
"Jan 20, 2023",202,"31,360",,
"Jan 21, 2023",202,"31,366",,
"Jan 22, 2023",202,"31,376",,
"Jan 23, 2023",200,"31,337",,
"Jan 24, 2023",201,"31,347",,
"Jan 25, 2023",202,"31,342",,
"Jan 26, 2023",202,"31,341",,
"Jan 27, 2023",202,"31,358",,
"Jan 28, 2023",202,"31,359",,
"Jan 29, 2023",202,"31,370",,
"Jan 30, 2023",202,"31,383",,
"Jan 31, 2023",202,"31,382",,
"Feb 01, 2023",202,"31,396",,
"Feb 02, 2023",202,"31,403",,
"Feb 03, 2023",202,"31,402",,
"Feb 04, 2023",202,"31,418",,
"Feb 05, 2023",202,"31,429",,
"Feb 06, 2023",202,"31,433",,
"Feb 07, 2023",203,"31,435",,
"Feb 08, 2023",203,"31,432",,
"Feb 09, 2023",204,"31,438",,
"Feb 10, 2023",203,"31,445",,
"Feb 11, 2023",204,"31,474",,
"Feb 12, 2023",203,"31,468",,
"Feb 13, 2023",202,"31,333",,
"Feb 14, 2023",202,"31,334",,
"Feb 15, 2023",202,"31,359",,
"Feb 16, 2023",202,"31,360",,
"Feb 17, 2023",202,"28,525",,
"Feb 18, 2023",202,"28,531",,
"Feb 19, 2023",201,"28,522",,
"Feb 20, 2023",201,"28,534",,
"Feb 21, 2023",201,"28,545",,
"Feb 22, 2023",202,"28,573",,
"Feb 23, 2023",202,"28,577",,
"Feb 24, 2023",202,"28,576",,
"Feb 25, 2023",202,"28,579",,
"Feb 26, 2023",202,"28,596",,
"Feb 27, 2023",202,"28,598",,
"Mar 01, 2023",202,"28,609",,
"Mar 02, 2023",202,"28,615",,
"Mar 03, 2023",200,"28,172",,
"Mar 04, 2023",201,"28,181",,
"Mar 05, 2023",202,"28,189",,
"Mar 06, 2023",202,"28,191",,
"Mar 07, 2023",202,"28,191",,
"Mar 08, 2023",202,"28,190",,
"Mar 09, 2023",203,"28,197",,
"Mar 10, 2023",203,"28,199",,
"Mar 11, 2023",203,"28,203",,
"Mar 12, 2023",204,"28,211",,
"Mar 13, 2023",204,"28,216",,
"Mar 14, 2023",205,"28,221",,
"Mar 15, 2023",205,"28,222",,
"Mar 16, 2023",206,"28,223",,
"Mar 17, 2023",206,"28,230",,
"Mar 18, 2023",206,"28,233",,
"Mar 19, 2023",206,"28,232",,
"Mar 20, 2023",207,"28,296",,
"Mar 21, 2023",208,"28,654",,
"Mar 22, 2023",208,"28,657",,
"Mar 23, 2023",209,"28,661",,
"Mar 24, 2023",209,"28,675",,
"Mar 25, 2023",213,"28,811",,
"Mar 26, 2023",214,"28,823",,
"Mar 27, 2023",216,"28,826",,
"Mar 28, 2023",217,"28,845",,
