"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",24016893,64373
"2023-04-30 00:00:00",23952520,34955
"2023-04-29 00:00:00",23917566,34955
"2023-04-28 00:00:00",23882611,35003
"2023-04-27 00:00:00",23847608,0
"2023-04-26 00:00:00",23847608,33815
"2023-04-25 00:00:00",23813793,42355
"2023-04-24 00:00:00",23771438,42355
"2023-04-23 00:00:00",23729083,0
"2023-04-22 00:00:00",23729083,64827
"2023-04-21 00:00:00",23664256,33274
"2023-04-20 00:00:00",23630982,33274
"2023-04-19 00:00:00",23597708,32511
"2023-04-18 00:00:00",23565197,26221
"2023-04-17 00:00:00",23538976,0
"2023-04-16 00:00:00",23538976,59033
"2023-04-15 00:00:00",23479943,28006
"2023-04-14 00:00:00",23451937,26124
"2023-04-13 00:00:00",23425813,25527
"2023-04-12 00:00:00",23400286,22854
"2023-04-11 00:00:00",23377432,19652
"2023-04-10 00:00:00",23357780,21542
"2023-04-09 00:00:00",23336238,23760
"2023-04-08 00:00:00",23312478,25939
"2023-04-07 00:00:00",23286539,25562
"2023-04-06 00:00:00",23260977,25962
"2023-04-05 00:00:00",23235015,25131
"2023-04-04 00:00:00",23209884,21227
"2023-04-03 00:00:00",23188657,22250
"2023-04-02 00:00:00",23166407,25576
"2023-04-01 00:00:00",23140831,26253
"2023-03-31 00:00:00",23114578,25870
"2023-03-30 00:00:00",23088708,25982
"2023-03-29 00:00:00",23062726,26028
"2023-03-28 00:00:00",23036698,21799
"2023-03-27 00:00:00",23014899,23055
"2023-03-26 00:00:00",22991844,0
"2023-03-25 00:00:00",22991844,51861
"2023-03-24 00:00:00",22939983,26891
"2023-03-23 00:00:00",22913092,26581
"2023-03-22 00:00:00",22886511,25972
"2023-03-21 00:00:00",22860539,21996
"2023-03-20 00:00:00",22838543,23158
"2023-03-19 00:00:00",22815385,26253
"2023-03-18 00:00:00",22789132,27929
"2023-03-17 00:00:00",22761203,0
"2023-03-16 00:00:00",22761203,56481
"2023-03-15 00:00:00",22704722,28295
"2023-03-14 00:00:00",22676427,24724
"2023-03-13 00:00:00",22651703,26485
"2023-03-12 00:00:00",22625218,30735
"2023-03-11 00:00:00",22594483,31590
"2023-03-10 00:00:00",22562893,32100
"2023-03-09 00:00:00",22530793,32984
"2023-03-08 00:00:00",22497809,32673
"2023-03-07 00:00:00",22465136,0
"2023-03-06 00:00:00",22465136,57217
"2023-03-05 00:00:00",22407919,36626
"2023-03-04 00:00:00",22371293,36051
"2023-03-03 00:00:00",22335242,34621
"2023-03-02 00:00:00",22300621,0
"2023-03-01 00:00:00",22300621,57609
"2023-02-28 00:00:00",22243012,22449
"2023-02-27 00:00:00",22220563,24129
"2023-02-26 00:00:00",22196434,26892
"2023-02-25 00:00:00",22169542,27509
"2023-02-24 00:00:00",22142033,27450
"2023-02-23 00:00:00",22114583,27837
"2023-02-22 00:00:00",22086746,26371
"2023-02-21 00:00:00",22060375,23513
"2023-02-20 00:00:00",22036862,25789
"2023-02-19 00:00:00",22011073,29352
"2023-02-18 00:00:00",21981721,30204
"2023-02-17 00:00:00",21951517,0
"2023-02-16 00:00:00",21951517,60580
"2023-02-15 00:00:00",21890937,29209
"2023-02-14 00:00:00",21861728,26406
"2023-02-13 00:00:00",21835322,27978
"2023-02-12 00:00:00",21807344,32087
"2023-02-11 00:00:00",21775257,33857
"2023-02-10 00:00:00",21741400,33853
"2023-02-09 00:00:00",21707547,34345
"2023-02-08 00:00:00",21673202,31276
"2023-02-07 00:00:00",21641926,26196
"2023-02-06 00:00:00",21615730,26919
"2023-02-05 00:00:00",21588811,29703
"2023-02-04 00:00:00",21559108,29911
"2023-02-03 00:00:00",21529197,28526
"2023-02-02 00:00:00",21500671,28317
"2023-02-01 00:00:00",21472354,27343
"2023-01-31 00:00:00",21445011,23554
"2023-01-30 00:00:00",21421457,24911
"2023-01-29 00:00:00",21396546,0
"2023-01-28 00:00:00",21396546,28814
"2023-01-27 00:00:00",21367732,59155
"2023-01-26 00:00:00",21308577,0
"2023-01-25 00:00:00",21308577,56581
"2023-01-24 00:00:00",21251996,23431
"2023-01-23 00:00:00",21228565,25109
"2023-01-22 00:00:00",21203456,28927
"2023-01-21 00:00:00",21174529,31551
"2023-01-20 00:00:00",21142978,32843
"2023-01-19 00:00:00",21110135,32097
"2023-01-18 00:00:00",21078038,30328
"2023-01-17 00:00:00",21047710,27536
"2023-01-16 00:00:00",21020174,27787
"2023-01-15 00:00:00",20992387,33138
"2023-01-14 00:00:00",20959249,33099
"2023-01-13 00:00:00",20926150,33555
"2023-01-12 00:00:00",20892595,30587
"2023-01-11 00:00:00",20862008,29168
"2023-01-10 00:00:00",20832840,24852
"2023-01-09 00:00:00",20807988,27253
"2023-01-08 00:00:00",20780735,29239
"2023-01-07 00:00:00",20751496,29608
"2023-01-06 00:00:00",20721888,28848
"2023-01-05 00:00:00",20693040,28711
"2023-01-04 00:00:00",20664329,0
"2023-01-03 00:00:00",20664329,48130
"2023-01-02 00:00:00",20616199,26799
"2023-01-01 00:00:00",20589400,28762
"2022-12-31 00:00:00",20560638,28973
"2022-12-30 00:00:00",20531665,29048
"2022-12-29 00:00:00",20502617,28332
"2022-12-28 00:00:00",20474285,24658
"2022-12-27 00:00:00",20449627,20288
"2022-12-26 00:00:00",20429339,24373
"2022-12-25 00:00:00",20404966,28708
"2022-12-24 00:00:00",20376258,30591
"2022-12-23 00:00:00",20345667,31037
"2022-12-22 00:00:00",20314630,31398
"2022-12-21 00:00:00",20283232,30693
"2022-12-20 00:00:00",20252539,24456
"2022-12-19 00:00:00",20228083,28728
"2022-12-18 00:00:00",20199355,31605
"2022-12-17 00:00:00",20167750,33521
"2022-12-16 00:00:00",20134229,32592
"2022-12-15 00:00:00",20101637,32405
"2022-12-14 00:00:00",20069232,32301
"2022-12-13 00:00:00",20036931,28176
"2022-12-12 00:00:00",20008755,29569
"2022-12-11 00:00:00",19979186,33253
"2022-12-10 00:00:00",19945933,36235
"2022-12-09 00:00:00",19909698,36883
"2022-12-08 00:00:00",19872815,36564
"2022-12-07 00:00:00",19836251,36206
"2022-12-06 00:00:00",19800045,37920
"2022-12-05 00:00:00",19762125,37920
"2022-12-04 00:00:00",19724206,37920
"2022-12-03 00:00:00",19686286,37920
"2022-12-02 00:00:00",19648367,37920
"2022-12-01 00:00:00",19610447,33711
"2022-11-30 00:00:00",19576736,31990
"2022-11-29 00:00:00",19544746,27437
"2022-11-28 00:00:00",19517309,28217
"2022-11-27 00:00:00",19489092,29143
"2022-11-26 00:00:00",19459949,29652
"2022-11-25 00:00:00",19430297,34136
"2022-11-24 00:00:00",19396161,33325
"2022-11-23 00:00:00",19362836,32417
"2022-11-22 00:00:00",19330419,28249
"2022-11-21 00:00:00",19302170,31263
"2022-11-20 00:00:00",19270907,36238
"2022-11-19 00:00:00",19234669,38269
"2022-11-18 00:00:00",19196400,38847
"2022-11-17 00:00:00",19157553,37966
"2022-11-16 00:00:00",19119587,37558
"2022-11-15 00:00:00",19082029,30906
"2022-11-14 00:00:00",19051123,33499
"2022-11-13 00:00:00",19017624,40149
"2022-11-12 00:00:00",18977475,40554
"2022-11-11 00:00:00",18936921,39393
"2022-11-10 00:00:00",18897528,38483
"2022-11-09 00:00:00",18859045,38987
"2022-11-08 00:00:00",18820058,33400
"2022-11-07 00:00:00",18786658,34705
"2022-11-06 00:00:00",18751953,39399
"2022-11-05 00:00:00",18712554,41166
"2022-11-04 00:00:00",18671388,40472
"2022-11-03 00:00:00",18630916,38601
"2022-11-02 00:00:00",18592315,38976
"2022-11-01 00:00:00",18553339,33189
"2022-10-31 00:00:00",18520150,37429
"2022-10-30 00:00:00",18482721,45823
"2022-10-29 00:00:00",18436898,44680
"2022-10-28 00:00:00",18392218,44988
"2022-10-27 00:00:00",18347230,44640
"2022-10-26 00:00:00",18302590,43184
"2022-10-25 00:00:00",18259406,0
"2022-10-24 00:00:00",18259406,76651
"2022-10-23 00:00:00",18182755,46127
"2022-10-22 00:00:00",18136628,45570
"2022-10-21 00:00:00",18091058,44618
"2022-10-20 00:00:00",18046440,45690
"2022-10-19 00:00:00",18000750,43813
"2022-10-18 00:00:00",17956937,37174
"2022-10-17 00:00:00",17919763,41713
"2022-10-16 00:00:00",17878050,47776
"2022-10-15 00:00:00",17830274,48883
"2022-10-14 00:00:00",17781391,48094
"2022-10-13 00:00:00",17733297,47454
"2022-10-12 00:00:00",17685843,46547
"2022-10-11 00:00:00",17639296,39964
"2022-10-10 00:00:00",17599332,43004
"2022-10-09 00:00:00",17556328,51312
"2022-10-08 00:00:00",17505016,57096
"2022-10-07 00:00:00",17447920,58203
"2022-10-06 00:00:00",17389717,57741
"2022-10-05 00:00:00",17331976,52775
"2022-10-04 00:00:00",17279201,40892
"2022-10-03 00:00:00",17238309,44406
"2022-10-02 00:00:00",17193903,50105
"2022-10-01 00:00:00",17143798,51619
"2022-09-30 00:00:00",17092179,51580
"2022-09-29 00:00:00",17040599,51126
"2022-09-28 00:00:00",16989473,49364
"2022-09-27 00:00:00",16940109,42202
"2022-09-26 00:00:00",16897907,47634
"2022-09-25 00:00:00",16850273,54842
"2022-09-24 00:00:00",16795431,54894
"2022-09-23 00:00:00",16740537,56570
"2022-09-22 00:00:00",16683967,57487
"2022-09-21 00:00:00",16626480,55081
"2022-09-20 00:00:00",16571399,46826
"2022-09-19 00:00:00",16524573,50599
"2022-09-18 00:00:00",16473974,58948
"2022-09-17 00:00:00",16415026,62176
"2022-09-16 00:00:00",16352850,62015
"2022-09-15 00:00:00",16290835,62966
"2022-09-14 00:00:00",16227869,67442
"2022-09-13 00:00:00",16160427,46009
"2022-09-12 00:00:00",16114418,48737
"2022-09-11 00:00:00",16065681,54416
"2022-09-10 00:00:00",16011265,56738
"2022-09-09 00:00:00",15954527,55461
"2022-09-08 00:00:00",15899066,107827
"2022-09-07 00:00:00",15791239,0
"2022-09-06 00:00:00",15791239,44600
"2022-09-05 00:00:00",15746639,45303
"2022-09-04 00:00:00",15701336,51791
"2022-09-03 00:00:00",15649545,52877
"2022-09-02 00:00:00",15596668,53563
"2022-09-01 00:00:00",15543105,52715
"2022-08-31 00:00:00",15490390,51393
"2022-08-30 00:00:00",15438997,45290
"2022-08-29 00:00:00",15393707,48755
"2022-08-28 00:00:00",15344952,56327
"2022-08-27 00:00:00",15288625,56478
"2022-08-26 00:00:00",15232147,57298
"2022-08-25 00:00:00",15174849,56057
"2022-08-24 00:00:00",15118792,54954
"2022-08-23 00:00:00",15063838,0
"2022-08-22 00:00:00",15063838,72701
"2022-08-21 00:00:00",14991137,72701
"2022-08-20 00:00:00",14918437,72701
"2022-08-19 00:00:00",14845736,60102
"2022-08-18 00:00:00",14785634,59834
"2022-08-17 00:00:00",14725800,60569
"2022-08-16 00:00:00",14665231,55143
"2022-08-15 00:00:00",14610088,58662
"2022-08-14 00:00:00",14551426,65030
"2022-08-13 00:00:00",14486396,64297
"2022-08-12 00:00:00",14422099,63901
"2022-08-11 00:00:00",14358198,64333
"2022-08-10 00:00:00",14293865,64573
"2022-08-09 00:00:00",14229292,58130
"2022-08-08 00:00:00",14171162,63176
"2022-08-07 00:00:00",14107986,69253
"2022-08-06 00:00:00",14038733,71271
"2022-08-05 00:00:00",13967462,72598
"2022-08-04 00:00:00",13894864,73625
"2022-08-03 00:00:00",13821239,73325
"2022-08-02 00:00:00",13747914,65197
"2022-08-01 00:00:00",13682717,71009
"2022-07-31 00:00:00",13611708,80412
"2022-07-30 00:00:00",13531296,81605
"2022-07-29 00:00:00",13449691,81428
"2022-07-28 00:00:00",13368263,81301
"2022-07-27 00:00:00",13286962,78788
"2022-07-26 00:00:00",13208174,68525
"2022-07-25 00:00:00",13139649,75023
"2022-07-24 00:00:00",13064626,84973
"2022-07-23 00:00:00",12979653,86012
"2022-07-22 00:00:00",12893641,86239
"2022-07-21 00:00:00",12807402,86995
"2022-07-20 00:00:00",12720407,86338
"2022-07-19 00:00:00",12634069,77148
"2022-07-18 00:00:00",12556921,85763
"2022-07-17 00:00:00",12471158,95448
"2022-07-16 00:00:00",12375710,97507
"2022-07-15 00:00:00",12278203,98992
"2022-07-14 00:00:00",12179211,102105
"2022-07-13 00:00:00",12077106,104034
"2022-07-12 00:00:00",11973072,91450
"2022-07-11 00:00:00",11881622,101143
"2022-07-10 00:00:00",11780479,113231
"2022-07-09 00:00:00",11667248,119188
"2022-07-08 00:00:00",11548060,121097
"2022-07-07 00:00:00",11426963,121094
"2022-07-06 00:00:00",11305869,114274
"2022-07-05 00:00:00",11191595,105972
