"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",49344891,141669
"2023-04-30 00:00:00",49203222,78754
"2023-04-29 00:00:00",49124468,78754
"2023-04-28 00:00:00",49045714,76602
"2023-04-27 00:00:00",48969112,0
"2023-04-26 00:00:00",48969112,76255
"2023-04-25 00:00:00",48892857,101623
"2023-04-24 00:00:00",48791234,101623
"2023-04-23 00:00:00",48689611,0
"2023-04-22 00:00:00",48689611,160415
"2023-04-21 00:00:00",48529196,82849
"2023-04-20 00:00:00",48446348,82849
"2023-04-19 00:00:00",48363499,78820
"2023-04-18 00:00:00",48284679,66274
"2023-04-17 00:00:00",48218405,0
"2023-04-16 00:00:00",48218405,151922
"2023-04-15 00:00:00",48066483,69120
"2023-04-14 00:00:00",47997363,65179
"2023-04-13 00:00:00",47932184,0
"2023-04-12 00:00:00",47932184,121832
"2023-04-11 00:00:00",47810352,48191
"2023-04-10 00:00:00",47762161,55672
"2023-04-09 00:00:00",47706489,60226
"2023-04-08 00:00:00",47646263,65861
"2023-04-07 00:00:00",47580402,64755
"2023-04-06 00:00:00",47515647,65714
"2023-04-05 00:00:00",47449933,62678
"2023-04-04 00:00:00",47387255,53497
"2023-04-03 00:00:00",47333758,57593
"2023-04-02 00:00:00",47276165,65694
"2023-04-01 00:00:00",47210471,66665
"2023-03-31 00:00:00",47143806,65024
"2023-03-30 00:00:00",47078782,63995
"2023-03-29 00:00:00",47014787,62483
"2023-03-28 00:00:00",46952304,53673
"2023-03-27 00:00:00",46898631,59301
"2023-03-26 00:00:00",46839330,65896
"2023-03-25 00:00:00",46773434,66834
"2023-03-24 00:00:00",46706600,69051
"2023-03-23 00:00:00",46637549,68557
"2023-03-22 00:00:00",46568992,65462
"2023-03-21 00:00:00",46503530,54621
"2023-03-20 00:00:00",46448909,60622
"2023-03-19 00:00:00",46388287,68590
"2023-03-18 00:00:00",46319697,69664
"2023-03-17 00:00:00",46250033,0
"2023-03-16 00:00:00",46250033,142155
"2023-03-15 00:00:00",46107878,0
"2023-03-14 00:00:00",46107878,129518
"2023-03-13 00:00:00",45978360,67378
"2023-03-12 00:00:00",45910982,75541
"2023-03-11 00:00:00",45835441,0
"2023-03-10 00:00:00",45835441,152793
"2023-03-09 00:00:00",45682648,77605
"2023-03-08 00:00:00",45605043,75897
"2023-03-07 00:00:00",45529146,0
"2023-03-06 00:00:00",45529146,137063
"2023-03-05 00:00:00",45392083,85132
"2023-03-04 00:00:00",45306951,84479
"2023-03-03 00:00:00",45222472,82696
"2023-03-02 00:00:00",45139776,0
"2023-03-01 00:00:00",45139776,144896
"2023-02-28 00:00:00",44994880,58752
"2023-02-27 00:00:00",44936128,64241
"2023-02-26 00:00:00",44871887,71672
"2023-02-25 00:00:00",44800215,70765
"2023-02-24 00:00:00",44729450,71787
"2023-02-23 00:00:00",44657663,71092
"2023-02-22 00:00:00",44586571,69182
"2023-02-21 00:00:00",44517389,59954
"2023-02-20 00:00:00",44457435,66892
"2023-02-19 00:00:00",44390543,75468
"2023-02-18 00:00:00",44315075,74182
"2023-02-17 00:00:00",44240893,0
"2023-02-16 00:00:00",44240893,148095
"2023-02-15 00:00:00",44092798,70933
"2023-02-14 00:00:00",44021865,63565
"2023-02-13 00:00:00",43958300,70889
"2023-02-12 00:00:00",43887411,81841
"2023-02-11 00:00:00",43805570,84112
"2023-02-10 00:00:00",43721458,84417
"2023-02-09 00:00:00",43637041,84627
"2023-02-08 00:00:00",43552414,76466
"2023-02-07 00:00:00",43475948,62417
"2023-02-06 00:00:00",43413531,67616
"2023-02-05 00:00:00",43345915,73285
"2023-02-04 00:00:00",43272630,71485
"2023-02-03 00:00:00",43201145,69028
"2023-02-02 00:00:00",43132117,68597
"2023-02-01 00:00:00",43063520,65839
"2023-01-31 00:00:00",42997681,56591
"2023-01-30 00:00:00",42941090,63540
"2023-01-29 00:00:00",42877550,0
"2023-01-28 00:00:00",42877550,72369
"2023-01-27 00:00:00",42805181,140805
"2023-01-26 00:00:00",42664376,69307
"2023-01-25 00:00:00",42595069,65331
"2023-01-24 00:00:00",42529738,56082
"2023-01-23 00:00:00",42473656,62579
"2023-01-22 00:00:00",42411077,70590
"2023-01-21 00:00:00",42340487,70278
"2023-01-20 00:00:00",42270209,71693
"2023-01-19 00:00:00",42198516,71020
"2023-01-18 00:00:00",42127496,65764
"2023-01-17 00:00:00",42061732,57282
"2023-01-16 00:00:00",42004450,63010
"2023-01-15 00:00:00",41941440,73079
"2023-01-14 00:00:00",41868361,73196
"2023-01-13 00:00:00",41795165,75220
"2023-01-12 00:00:00",41719945,73238
"2023-01-11 00:00:00",41646707,69743
"2023-01-10 00:00:00",41576964,59296
"2023-01-09 00:00:00",41517668,66327
"2023-01-08 00:00:00",41451341,70359
"2023-01-07 00:00:00",41380982,70604
"2023-01-06 00:00:00",41310378,69824
"2023-01-05 00:00:00",41240554,68950
"2023-01-04 00:00:00",41171604,0
"2023-01-03 00:00:00",41171604,117366
"2023-01-02 00:00:00",41054238,67094
"2023-01-01 00:00:00",40987144,71652
"2022-12-31 00:00:00",40915492,71175
"2022-12-30 00:00:00",40844317,72183
"2022-12-29 00:00:00",40772134,69400
"2022-12-28 00:00:00",40702734,59673
"2022-12-27 00:00:00",40643061,46216
"2022-12-26 00:00:00",40596845,60485
"2022-12-25 00:00:00",40536360,71023
"2022-12-24 00:00:00",40465337,75852
"2022-12-23 00:00:00",40389485,75679
"2022-12-22 00:00:00",40313806,74818
"2022-12-21 00:00:00",40238988,71884
"2022-12-20 00:00:00",40167104,59844
"2022-12-19 00:00:00",40107260,71621
"2022-12-18 00:00:00",40035639,78210
"2022-12-17 00:00:00",39957429,79364
"2022-12-16 00:00:00",39878065,77490
"2022-12-15 00:00:00",39800575,77433
"2022-12-14 00:00:00",39723142,75382
"2022-12-13 00:00:00",39647760,66016
"2022-12-12 00:00:00",39581744,72758
"2022-12-11 00:00:00",39508986,80248
"2022-12-10 00:00:00",39428738,85658
"2022-12-09 00:00:00",39343080,86502
"2022-12-08 00:00:00",39256578,84682
"2022-12-07 00:00:00",39171896,80911
"2022-12-06 00:00:00",39090985,88365
"2022-12-05 00:00:00",39002620,88365
"2022-12-04 00:00:00",38914255,88365
"2022-12-03 00:00:00",38825889,88365
"2022-12-02 00:00:00",38737524,88365
"2022-12-01 00:00:00",38649159,76638
"2022-11-30 00:00:00",38572521,74117
"2022-11-29 00:00:00",38498404,64723
"2022-11-28 00:00:00",38433681,68384
"2022-11-27 00:00:00",38365297,70381
"2022-11-26 00:00:00",38294916,71175
"2022-11-25 00:00:00",38223741,81417
"2022-11-24 00:00:00",38142324,78955
"2022-11-23 00:00:00",38063369,75071
"2022-11-22 00:00:00",37988298,65428
"2022-11-21 00:00:00",37922870,76021
"2022-11-20 00:00:00",37846849,84684
"2022-11-19 00:00:00",37762165,88275
"2022-11-18 00:00:00",37673890,88351
"2022-11-17 00:00:00",37585539,86514
"2022-11-16 00:00:00",37499025,83299
"2022-11-15 00:00:00",37415726,70100
"2022-11-14 00:00:00",37345626,80062
"2022-11-13 00:00:00",37265564,88768
"2022-11-12 00:00:00",37176796,89146
"2022-11-11 00:00:00",37087650,87774
"2022-11-10 00:00:00",36999876,87005
"2022-11-09 00:00:00",36912871,84103
