"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",13401093,27076
"2023-04-30 00:00:00",13374017,14865
"2023-04-29 00:00:00",13359152,14865
"2023-04-28 00:00:00",13344287,14754
"2023-04-27 00:00:00",13329533,0
"2023-04-26 00:00:00",13329533,14864
"2023-04-25 00:00:00",13314669,19303
"2023-04-24 00:00:00",13295367,19303
"2023-04-23 00:00:00",13276064,0
"2023-04-22 00:00:00",13276064,29924
"2023-04-21 00:00:00",13246140,16055
"2023-04-20 00:00:00",13230086,16055
"2023-04-19 00:00:00",13214031,15970
"2023-04-18 00:00:00",13198061,12982
"2023-04-17 00:00:00",13185079,0
"2023-04-16 00:00:00",13185079,28639
"2023-04-15 00:00:00",13156440,12875
"2023-04-14 00:00:00",13143565,11628
"2023-04-13 00:00:00",13131937,11947
"2023-04-12 00:00:00",13119990,10377
"2023-04-11 00:00:00",13109613,8752
"2023-04-10 00:00:00",13100861,9878
"2023-04-09 00:00:00",13090983,10375
"2023-04-08 00:00:00",13080608,11718
"2023-04-07 00:00:00",13068890,11576
"2023-04-06 00:00:00",13057314,11626
"2023-04-05 00:00:00",13045688,11107
"2023-04-04 00:00:00",13034581,9639
"2023-04-03 00:00:00",13024942,10065
"2023-04-02 00:00:00",13014877,11506
"2023-04-01 00:00:00",13003371,11905
"2023-03-31 00:00:00",12991466,11557
"2023-03-30 00:00:00",12979909,11906
"2023-03-29 00:00:00",12968003,11868
"2023-03-28 00:00:00",12956135,10447
"2023-03-27 00:00:00",12945688,10522
"2023-03-26 00:00:00",12935166,0
"2023-03-25 00:00:00",12935166,23380
"2023-03-24 00:00:00",12911786,12066
"2023-03-23 00:00:00",12899720,11763
"2023-03-22 00:00:00",12887957,11732
"2023-03-21 00:00:00",12876225,9979
"2023-03-20 00:00:00",12866246,10732
"2023-03-19 00:00:00",12855514,12139
"2023-03-18 00:00:00",12843375,12527
"2023-03-17 00:00:00",12830848,0
"2023-03-16 00:00:00",12830848,26430
"2023-03-15 00:00:00",12804418,12916
"2023-03-14 00:00:00",12791502,11392
"2023-03-13 00:00:00",12780110,12183
"2023-03-12 00:00:00",12767927,14307
"2023-03-11 00:00:00",12753620,15288
"2023-03-10 00:00:00",12738332,15757
"2023-03-09 00:00:00",12722575,16028
"2023-03-08 00:00:00",12706547,15922
"2023-03-07 00:00:00",12690625,0
"2023-03-06 00:00:00",12690625,28144
"2023-03-05 00:00:00",12662481,17887
"2023-03-04 00:00:00",12644594,17628
"2023-03-03 00:00:00",12626966,16887
"2023-03-02 00:00:00",12610079,0
"2023-03-01 00:00:00",12610079,27348
"2023-02-28 00:00:00",12582731,10720
"2023-02-27 00:00:00",12572011,11276
"2023-02-26 00:00:00",12560735,12738
"2023-02-25 00:00:00",12547997,13144
"2023-02-24 00:00:00",12534853,13221
"2023-02-23 00:00:00",12521632,13155
"2023-02-22 00:00:00",12508477,12806
"2023-02-21 00:00:00",12495671,11215
"2023-02-20 00:00:00",12484456,12180
"2023-02-19 00:00:00",12472276,13733
"2023-02-18 00:00:00",12458543,13989
"2023-02-17 00:00:00",12444554,0
"2023-02-16 00:00:00",12444554,28198
"2023-02-15 00:00:00",12416356,13776
"2023-02-14 00:00:00",12402580,12464
"2023-02-13 00:00:00",12390116,13208
"2023-02-12 00:00:00",12376908,15284
"2023-02-11 00:00:00",12361624,16666
"2023-02-10 00:00:00",12344958,16862
"2023-02-09 00:00:00",12328096,17025
"2023-02-08 00:00:00",12311071,15000
"2023-02-07 00:00:00",12296071,12075
"2023-02-06 00:00:00",12283996,12588
"2023-02-05 00:00:00",12271408,13834
"2023-02-04 00:00:00",12257574,14110
"2023-02-03 00:00:00",12243464,13514
"2023-02-02 00:00:00",12229950,13763
"2023-02-01 00:00:00",12216187,12743
"2023-01-31 00:00:00",12203444,11268
"2023-01-30 00:00:00",12192176,11541
"2023-01-29 00:00:00",12180635,0
"2023-01-28 00:00:00",12180635,13195
"2023-01-27 00:00:00",12167440,27487
"2023-01-26 00:00:00",12139953,0
"2023-01-25 00:00:00",12139953,26100
"2023-01-24 00:00:00",12113853,10659
"2023-01-23 00:00:00",12103194,11297
"2023-01-22 00:00:00",12091897,13387
"2023-01-21 00:00:00",12078510,15274
"2023-01-20 00:00:00",12063236,16233
"2023-01-19 00:00:00",12047003,15672
"2023-01-18 00:00:00",12031331,14838
"2023-01-17 00:00:00",12016493,12844
"2023-01-16 00:00:00",12003649,13421
"2023-01-15 00:00:00",11990228,16390
"2023-01-14 00:00:00",11973838,17318
"2023-01-13 00:00:00",11956520,16003
"2023-01-12 00:00:00",11940517,14234
"2023-01-11 00:00:00",11926283,13715
"2023-01-10 00:00:00",11912568,11604
"2023-01-09 00:00:00",11900964,13311
"2023-01-08 00:00:00",11887653,14499
"2023-01-07 00:00:00",11873154,13820
"2023-01-06 00:00:00",11859334,13736
"2023-01-05 00:00:00",11845598,13576
"2023-01-04 00:00:00",11832022,0
"2023-01-03 00:00:00",11832022,22631
"2023-01-02 00:00:00",11809391,12266
"2023-01-01 00:00:00",11797125,13504
"2022-12-31 00:00:00",11783621,13654
"2022-12-30 00:00:00",11769967,13864
"2022-12-29 00:00:00",11756103,13051
"2022-12-28 00:00:00",11743052,11342
"2022-12-27 00:00:00",11731710,9375
