"DateTime","Spotify Streams","Change"
"2023-05-01 00:00:00",55028959,182517
"2023-04-30 00:00:00",54846442,98878
"2023-04-29 00:00:00",54747565,98878
"2023-04-28 00:00:00",54648687,96358
"2023-04-27 00:00:00",54552329,0
"2023-04-26 00:00:00",54552329,93764
"2023-04-25 00:00:00",54458565,121007
"2023-04-24 00:00:00",54337559,121007
"2023-04-23 00:00:00",54216552,0
"2023-04-22 00:00:00",54216552,183772
"2023-04-21 00:00:00",54032780,95159
"2023-04-20 00:00:00",53937622,95159
"2023-04-19 00:00:00",53842463,93104
"2023-04-18 00:00:00",53749359,77927
"2023-04-17 00:00:00",53671432,0
"2023-04-16 00:00:00",53671432,174144
"2023-04-15 00:00:00",53497288,80942
"2023-04-14 00:00:00",53416346,77447
"2023-04-13 00:00:00",53338899,76302
"2023-04-12 00:00:00",53262597,69685
"2023-04-11 00:00:00",53192912,59127
"2023-04-10 00:00:00",53133785,66309
"2023-04-09 00:00:00",53067476,71806
"2023-04-08 00:00:00",52995670,80172
"2023-04-07 00:00:00",52915498,78935
"2023-04-06 00:00:00",52836563,79385
"2023-04-05 00:00:00",52757178,77030
"2023-04-04 00:00:00",52680148,65357
"2023-04-03 00:00:00",52614791,70460
"2023-04-02 00:00:00",52544331,82187
"2023-04-01 00:00:00",52462144,82482
"2023-03-31 00:00:00",52379662,81204
"2023-03-30 00:00:00",52298458,80740
"2023-03-29 00:00:00",52217718,80880
"2023-03-28 00:00:00",52136838,68053
"2023-03-27 00:00:00",52068785,72631
"2023-03-26 00:00:00",51996154,76946
"2023-03-25 00:00:00",51919208,76543
"2023-03-24 00:00:00",51842665,76569
"2023-03-23 00:00:00",51766096,77282
"2023-03-22 00:00:00",51688814,75785
"2023-03-21 00:00:00",51613029,63665
"2023-03-20 00:00:00",51549364,69338
"2023-03-19 00:00:00",51480026,79066
"2023-03-18 00:00:00",51400960,80821
"2023-03-17 00:00:00",51320139,0
"2023-03-16 00:00:00",51320139,164110
"2023-03-15 00:00:00",51156029,0
"2023-03-14 00:00:00",51156029,152082
"2023-03-13 00:00:00",51003947,77206
"2023-03-12 00:00:00",50926741,87340
"2023-03-11 00:00:00",50839401,0
"2023-03-10 00:00:00",50839401,178855
"2023-03-09 00:00:00",50660546,91280
"2023-03-08 00:00:00",50569266,90860
"2023-03-07 00:00:00",50478406,0
"2023-03-06 00:00:00",50478406,161940
"2023-03-05 00:00:00",50316466,100533
"2023-03-04 00:00:00",50215933,97788
"2023-03-03 00:00:00",50118145,96268
"2023-03-02 00:00:00",50021877,0
"2023-03-01 00:00:00",50021877,166322
"2023-02-28 00:00:00",49855555,66749
"2023-02-27 00:00:00",49788806,72928
"2023-02-26 00:00:00",49715878,81624
"2023-02-25 00:00:00",49634254,82264
"2023-02-24 00:00:00",49551990,82968
"2023-02-23 00:00:00",49469022,82340
"2023-02-22 00:00:00",49386682,80752
"2023-02-21 00:00:00",49305930,70258
